sama	samade
siis	siis
es	es
siis	siis
es	es
olema	ole
ju	ju
mootor	`moottorisi
mitte	`mette
ja	ja
siis	siis
nemad	nad
tooma	tõit
kala	kala
vahest	vahest
olema	oli
üsna	üsna
palju	pailu
kala	kala
tooma	tõit
mägi	`mäele
siis	siis
siis	siis
olema	oli
kala	kala
nii	nii
palju	pailu
et	et
inimene	inimesed
käima	käisit
jälle	`jälle
kes	kes
kes	kes
kaugel	`kaugel
olema	ol'i
meri	mere
äärest	`äärest
nemad	need
käima	käisid
jälle	jälle
siit	siit
ostma	`ostmas
kala	kalu
siis	siis
ja	ja
siis	siis
hommik	oomingu
laps	lapsed
minema	läksid
kodu	kodust
siis	siis
meri	mere
äärde	`ääre
abi	abi
kala	kalu
võrk	võrgust
ära	ära
päästma	`päästma
ja	ja
siis	siis
saama	said
kala	kalad
ära	ära
päästma	päästettud
kala	kalad
siis	siis
tooma	`toodi
tursa+kala	tursa+kalu
ja	ja
räime+kala	`räime+kalu
ja	ja
kõik	`kõikki
tooma	`toodi
mägi	`mäele
ja	ja
siis	siss
inimene	inimesed
ostma	`ostsid
ja	ja
viima	`viisid
siis	siis
oma	omale
kes	kess
kes	kess
es	ess
olema	ole
meri	mere
ääres	`ääres
elama	ela
mitte	`mette
ning	ning
mets	`metsade
sees	sees
elama	elasid
nemad	need
viima	`viisid
jälle	`jälle
siit	siit
oma	omale
ostma	`ostsid
kala	kalad
kaks+kümmend	kaks+kümend
kopikas	koppikkat
olema	oli
nüüd	nüid
olema	on
teka	tekka
aga	aga
siis	siis
hüüdma	`üitti
külim	külemit
kaks+kümmend	kaks+kümend
kopikas	koppikkat
olema	oli
külim	külemit
ja	ja
kala	kala
olema	oli
siis	siis
siis	siis
igat+pidi	igatti+pidi
küll	küll
kohe	kohe
inimene	inimestel
saama	`saaea
räim	`räimed
tursk	tursad
ja	ja
siis	siis
jälle	`jälle
see	nende
mõrd	`mõrdadega
püüdma	`püitti
ahven	ahvenat
ja	ja
ja	ja
kõik	kõik
siuke	`siuksed
kala	kalad
angerjas	angerjad
ja	ja
suitsetamine	suitsettamine
meie	mee
olema	pole
maa	maal
mitte	`mette
suitsetama	suitsettand
linn	`linnas
olema	oli
seal	sääl
olema	oli
suitsu+kala	suitsu+kalad
maa	maal
olema	pole
mitte	`mette
siin	sii
suitsetama	suitsettud
kala	kalu
aga	aga
nüüd	nüid
küll	küll
suitsutama	suitsuttavad
kala	kala
juba	juba
nüüd	nüid
suitsu+kala	suitsu+kala
ahi	ahjud
olema	on
nüüd	nüid
ja	ja
nüüd	nüid
ajama	`aettasse
suur	suure
varras	`varda
sisse	`sisse
siuke	`siukse
suur	suure
traat	raadi
varras	`varda
sisse	`sisse
puha	puhas
ning	ning
siis	siis
olema	on
sihuke	`seukke
ahi	ahi
ahi	ahi
kus	kuss
alt	alt
tegema	tehatse
suits	`suitsu
lepa+puu	leppa+puudest
suits	suits
pidama	peab
olema	olema
see	see
ep	p
aitama	`aitta
kõik	kõigist
puu	puudest
mitte	`mitte
ning	ning
mänd	männa
kurt	`kurttidest
siis	siis
siis	siis
tegema	tehatse
seuke	`seukkest
väike	`väikkest
tuli	tuld
ja	ja
siis	siis
kala	kalad
olema	on
puha	puhas
puha	puhas
sedasi	sedasi
ripakil	rippakkile
suur	surde
traat	`raattide
sees	sees
olema	on
seal	sääl
ahi	`ahjus
ja	ja
siis	siis
see	see
suits	suits
käima	käib
see	nendest
läbi	läbi
ning	ning
soe	soe
käima	käib
ka	kaa
läbi	läbi
siis	siis
nagu	nigu
küpsetama	küpsettab
ka	kaa
ise	ise
see	neid
ning	ning
see	see
ise	ise
suitsutama	suitsuttab
ka	kaa
ja	ja
saama	saand
siis	siss
see	need
valmis	`valmis
saama	saand
võtma	`võettakse
see	see
täis	täis
ära	ära
ning	ning
panema	pannakse
teine	teine
teine	teine
liik	liik
jälle	`jälle
sedasi	sedasi
suur	surde
varras	varraste
sisse	`sisse
siis	sis
silm	silmast
pistma	pistettakse
kala	kala
silm	silmast
läbi	läbi
see	see
varras	varras
ning	ning
siis	siis
olema	on
ripakil	rippakkili
sedasi	`seasi
rippuma	`rippuvad
ja	ja
siis	siis
suitsutama	suitsuttakse
siis	siis
panema	pannasse
suur	sured
korv	korvid
olema	on
niuke	`niuksed
täis	täis
siis	siis
jälle	`jälle
siis	siis
viima	viijatse
ning	ning
sööma	süijatse
ning	ning
ka	ka
müüma	müijakse
kõik	`kõikki
tegema	`tehtakse
siis	siis
tegema	`tehti
ka	ka
jälle	`jälle
nii	nii
olema	oli
see	see
asi	asi
et	et
kuidas	kuidas
meie	me
kaevik	kaivikkus
olema	olime
ja	ja
ja	ja
jooksma	`jooksime
mets	`metsa
ja	ja
kaksi+pidi	kaksi+pidi
sõda	sõea
ja	ja
kuul	`kuulide
eest	eest
ja	ja
aga	äga
aga	äga
ikka	`ikka
minema	läks
seda+moodi	seda+`moodi
mööda	`mööda
et	et
olema	pole
ükski	`ükskid
ükski	`ükskid
inimene	inimene
surma	`surma
ega	äga
haavama	aavattud
ühtid	`ühtid
siin	sii
meie	`meitte
ligidal	ligidal
saama	saand
mujal	maeal
koht	kohas
küll	küll
kaugem	`kaugemal
saama	sai
ju	ju
surma	`surma
aga	aga
surma+hirm	surma+`irmu
olema	on
ikka	`ikka
nägema	`nähtud
ka	kaa
olema	pole
muidu	muidu
ühtid	`ühtid
olema	`oldud
jah	jahh
olema	oli
see	sellest
olema	oli
jah	jaahh
see	seda
mina	ma
rääkima	`rääksime
eile	`eile
õhtu+ki	`õhtagid
üks	ühe
naine	naisega
kes	kelle
mees	mees
ära	ära
tapma	tappetti
seal	sääl
kui	kui
Roomas+saare	Roomas+sares
naine	naine
olema	oli
käima	käis
eile	`eile
õhtu	`õhtu
meie	meil
siis	siis
rääkima	`rääksime
see	seda
et	et
kuidas	kuidas
kuidas	kuidas
see	see
sõda	sõda
olema	oli
see	see
olema	oli
see	see
olema	oli
küll	küll
et	et
olema	ole
ju	ju
nemad	nendel
siis	siis
ajama	`aetti
suur	sur
üles+tõus	üles+tõus
olema	oli
äkkist	äkkist
ühe+korraga	ühe+korraga
hakkama	akkatti
mees	mehi
välja	`välja
kutsuma	`kutsuma
et	et
kõik	kõik
pidama	peavad
välja	`välja
Kures+saare	Kure+saare
linn	linna
peale	`peale
et	et
et	et
sinna	`sönna
siis	siis
nüüd	nüid
vastu	`vastu
hakkama	akkatta
et	et
valge	`valged
tulema	tulad
Tallinn	Talinast
ja	ja
nemad	nendele
vastu	`vastu
hakkama	`akkama
siis	siis
es	s
olema	ole
nemad	nendel
leib	`leiba
siis	siis
käima	`käidi
küla	külast
leib	`leiba
korjama	`korjamas
hobune	obusega
mees	mehed
käima	käisid
siis	siis
jälle	`jälle
regi	regedega
ja	ja
viima	viisid
jälle	`jälle
leib	`leiba
Uppa	Uppale
järgi	`järge
sinna	`sönna
linn	linna
juures	`juures
see	see
Uppa	Uppa
küla	küla
olema	oli
umbes	`umbest
seal	sääl
Kures+saare	Kure+saare
linn	linna
all	all
sinna	`sönna
viima	`viidi
siis	siis
siis	siis
seal	sääl
Uppa	Uppal
olema	oli
nemad	nende
suur	suur
staap	staap
kus	kuss
nemad	nad
siis	siis
koos	koos
kogu	kogu
minema	läksid
ja	ja
seal	sääl
nemad	nad
olema	ol'id
nii+kaua	nii+kauwa
kui	kut
kui	kui
nemad	nad
ikka	`ikka
ootama	`oottasid
ikka	`ikka
kui	kui
ikka	`ikka
abi	abi
juurde	`juure
tulema	tuleb
olema	pole
abi	abi
juurde	`juure
tulemine	tulemist
mis+ki	midad
mitte	`mette
Tallinn	Talinast
olema	ol'id
see	nee
valge	`valgette
vägi	vääd
kutsuma	kutsutti
ja	ja
see	need
tulema	tulid
ja	ja
siis	siis
siis	siis
hakkama	`akkas
laskmine	`laskmine
üks+teise	ühe+deise
siis	siss
siis	siss
siis	siis
jooksma	joosit
üks	üks
siia	`siija
teine	teine
sinna	`senna
kus	kuss
kus	kuss
pääsema	pääsit
kus	kuss
kuul	kuulid
lendama	`lentsid
siit	siit
surnu	`surnu
ait	`aidas
olema	ol'id
ikka	`ikka
teine	teine
liik	liik
ja	ja
teine	teised
olema	ol'id
siin	sii
meie	meije
küla	küla
taga	taga
ja	ja
siis	siis
siis	siis
ajama	aisid
vastamisi	`vastumisi
meie	me
olema	olime
puha	puhas
põrand	paranda
peal	peal
patsakil	patsakkili
et	et
jälle	`jälle
kuul	kuulid
minema	lähvad
muidu	muidu
sein	seinttest
tulema	tulavad
läbi	läbi
ning	ning
tapma	`tapvad
inimene	inimesed
ka	koo
ära	ära
no	no
siis	siis
nemad	nad
minema	läksid
nii+kaua	nii+kauwa
kui	kut
linn	`lenna
seal	sääl
võtma	`võõtti
siis	siss
nüüd	nüid
see	need
üles+tõusja	üles+`tõusjad
puha	puhas
enamasti	änamasti
vang	`vangi
ja	ja
panema	`pandi
kinni	`kinni
ja	ja
siis	siis
hakkama	`akkas
maha+laskmine	maha+`laskmine
nemad	nendel
ja	ja
siis	siis
tulema	tuli
siin	sii
siin	sii
olema	oli
vana	vana
üks	üks
valla+maja	valla+maea
siin	sii
meie	me
põld	põllu
taga	taga
siin	sii
olema	oli
suur	suur
staap	staap
jälle	`jälle
nemad	nendel
koos	koos
kus	kuss
nemad	nad
tulema	tulid
siis	siis
tulema	tuli
siia	`siija
nii	nii
palju	pailu
siis	siis
nemad	nendel
tulema	tuli
kasukas	kassukkad
tooma	`toodi
järgi	`järge
nemad	nendele
suur	sured
valge	`valged
kasukas	kassukkad
nemad	nendele
siis	siis
olema	oli
talve+aeg	`talve+aeg
ju	ju
külm	külm
olema	oli
siis	siis
siis	siis
olema	oli
üks	üks
siit	siit
kirik	kirikku
köster	`köstri
naine	naisel
ning	ning
kõik	kõik
viima	`viidi
ikka	`ikka
uurimine	`uurimisele
ikka	`ikka
kes	kess
ikka	`ikka
seal	sääl
vastu+hakkaja	`vastu+`akkaeatte
poolt	poolt
olema	oli
või	või
olema	oli
nemad	nendel
punane	punaste
poolt	poolt
olema	ol'id
et	et
nemad	neid
uurima	uuritti
siis	siis
ning	ning
viima	`viidi
valla+maja	valla+maease
ning	ning
seal	sääl
nemad	nad
pidama	`peetti
kinni	`kinni
siis	siis
siis	siis
olema	oli
küsima	küsittud
et	et
kas	kas
olema	on
kes+gi	kedagit
kes	kess
oskama	`oskab
ka	kaa
kasukas	kassukka
ümber	`ümber
tegema	teha
üks	üks
suur	sur
leitnant	`leitnant
olema	oli
ja	ja
siis	siis
olema	oli
tahtma	`tahtand
oma	omal
kasukas	kassukkat
uuesti	uuwesti
ümber	`ümber
tegema	teha
et	et
ja	ja
siis	siis
see	see
köstri+naine	`köstri+naine
olema	oli
juhatama	juhattand
et	et
mina	maa
oskama	`oskadõ
kasukas	kasukkat
ümber	`ümber
tegema	tehja
noh	nohh
mina	ma
õmblema	`õmblesi
enne	`enne
enne	`enne
ka	kaa
ju	ju
teine	teistel
ning	ning
mina	mind
kutsuma	kutsutti
valla+maja	valla+maease
mina	ma
ütlema	`ütsi
oh	ohh
sina	sa
jumal	jumal
küll	küll
mina	ma
värisema	värisesi
küll	küll
süda	süda
lööma	lõi
sedasi	sedasi
rind	`rindus
et	et
et	et
nüüd	nüid
mina	ma
minema	lähe
nüüd	nüid
üks	`ühte
joon	`jooni
nüüd	nüid
tapma	tappetti
ning	ning
viima	viijakse
nemad	neid
vang	`vangi
et	et
mis	miss
siis	siis
mina	`moole
nüüd	nüid
olema	on
mina	ma
olema	pole
mitte	`mette
miski	`miskid
asi	asi
olema	olnd
mis	miss
mina	moost
sinna	`sönna
kutsuma	kutsuttakse
et	et
muidu	muidu
mina	mind
ei	ei
kutsuma	kutsutta
nüüd	nüid
olema	on
miski	midagid
mina	mu
peale	`peale
kaevama	kaevattud
siis	siis
et	et
kas	kass
mina	ma
kasukas	kassukka
võima	võin
tegema	tehja
nemad	nendele
ümber	`ümber
oh	oh
mina	mool
lööma	lõi
silm	silmad
üsna	üsna
must	mustaks
suur	suur
suur	suur
suur	suurde
tärn	`tärnide
seljas	seljas
mees	mees
olema	oli
ja	ja
siis	siis
kasukas	kassukkast
tahtma	tahetti
et	et
lühem	lühemaks
tegema	teha
ja	ja
siis	siis
tagant	tagant
lõhki	`lõhki
ja	ja
ja	ja
siia	siija
hark	argi
peale	`peale
pidama	pidi
siis	siis
karune	karune
rihm	rihm
panema	`pandud
saama	`saama
ning	ning
alt	alt
karune	karuse
rihm	rihmaga
pidama	pidi
panema	`pandud
saama	`saama
ning	ning
käis	`käise
ots	otsad
pidama	pidid
karune	karused
ja	ja
krae	krae
pidama	pidi
karune	karune
panema	`pandud
saama	`saama
rääkima	`rääkkis
mina	`moole
mina	mool
lööma	lõid
silm	silmad
üsna	üsna
must	mustaks
et	et
kuidas+moodi	kuda+`moodi
mina	ma
oskama	`oska
see	selle
tegema	tehja
ning	ning
kui	kui
mina	maa
ep	p
saama	saa
seuke	`seukseks
mitte	`mette
kui	kut
tema	ta
pidama	peab
olema	olema
et	et
siis	siis
mina	ma
saama	saa
peksa	`peksa
tõesti	`tõõsti
nemad	nende
käest	kääst
mina	mina
võtma	`võtsi
siis	siis
kasukas	kassukka
ning	ning
tulema	tuli
kodu	koduse
ning	ning
hakkama	`akkasi
tegema	tegema
küll	küll
mina	mina
paluma	palusi
jumal	jumalad
et	et
oh	ohh
sina	sina
jumal	jumal
et	et
et	et
mina	maa
ep	p
mõistma	mõista
mitte	`mette
ise	ise
see	seda
kasukas	kassukkat
tegema	tehja
kui	kui
sina	saa
nüüd	nüid
õpetama	õppettad
kuidas+moodi	kuida+`moodi
see	see
tegema	tehja
tulema	tuleb
ning	ning
hakkama	`akkasi
see	seda
kasukas	kassukkat
tegema	tegema
ning	ning
tegema	tegi
siis	siis
see	selle
kasukas	kassukka
valmis	`valmis
mina	maa
ep	p
mäletama	määletta
enam	änam
mitu	mittu
mitu	mittu
päev	`pääva
mina	ma
siin	sii
siis	siis
tegema	tegi
ning	ning
minema	läksi
see	seda
kasukas	kassukkat
siis	siis
valla+maja	valla+maease
tagasi	tagasi
viima	`viima
nii	nii
kui	ku
aga	aga
siis	siis
olema	oli
teine	teine
sihuke	`seukke
värin	värin
et	et
kui	kui
nüüd	nüid
olema	pole
kasukas	kassukkas
õige	`õige
mitte	`mette
aga	aga
mis	miss
nemad	nad
siis	siis
mina	mooga
tegema	teevad
siis	siis
mina	mu
siin	sii
mina	mool
andma	`anttase
tõesti	tööst
peksa	`peksa
või	või
laskma	`lastatse
maha	maha
siis	siis
minema	läksi
kasukas	kassukkat
sinna	`sönna
viima	`viima
ning	ning
panema	`pandi
siis	siis
see	selle
ülemus	ülemusele
kasukas	kassukkas
selg	`selga
ning	ning
oh	ohh
kui	kui
ilusasti	ilusast
see	see
mina	mu
oma	oma
nägema+ki	näheskid
istuma	`istus
ilusasti	ilusast
selg	`selgas
ning	ning
siis	siis
hakkama	`akkasid
kiitma	`kiitma
kui	kui
ilus	ilusad
ning	ning
siis	siis
tõstma	tõstetti
mina	mind
üles	üless
sinna	`sönna
lagi	lae
alla	`alla
hurraa	ur`raa
mis	miss
kure+sõrm	kure+sõrm
maksma	maksab
hurraa	ur`raa'
mis	miss
kure+sõrm	kure+sõrm
maksma	maksab
tõstma	tõstetti
mina	mind
üles	üless
see	selle
kasukas	kassukkaga
ning	ning
mina	ma
palk	`palkka
siis	siis
aga	aga
mina	ma
ei	ei
teadma	tea
kui	kui
palju	pailu
nemad	nad
tema	ta
maksma	`maksis
hulka	`ulkka
raha	raha
andma	`andis
mina	`moole
see	selle
kasukas	kassukka
tegemine	tegemise
eest	eest
siis	siis
et	et
mina	ma
kasukas	kassukka
ringi	`ringi
tegema	tegin
mina	mina
tulema	tuli
siis	siis
nii	nii
tiitsasti	`tiitsest
kodu	koduse
et	et
et	et
nõnda	nönda
hirmus	`irmpsa
hirm	irmuga
mina	ma
see	seda
kasukas	kassukkat
õmblema	`õmblesi
ning	ning
kasukas	kassukkat
viima	viisi
ning	ning
kasukas	kassukkat
tooma	`toomas
käima	käisi
aga	äga
aga	äga
ei	äi
kõik	kõik
minema	läks
üsna	üsna
kenasti	kenasti
olema	pole
viga	viga
miski	midagid
kord	`korda
saarlane	`saarlased
hakkama	`akkasid
vastu	`vastu
et	et
tahtma	`tahtsid
mõisnik	`mõisnikkud
ära	ära
kaotama	`kaotta
et	et
mõis	`mõisatte
käes	kääs
olema	olid
maa	maad
ja	ja
tahtma	`tahtsid
selle+pärast	selle+pärast
vastu	`vastu
hakkama	akkatta
et	et
siis	siss
parem	paremad
tahtma	`tahtsid
kohe	kohe
ikka	`ikka
nõnda	nõnda
et	et
mõisnik	`mõisnikkude
alt	alt
pidama	pidid
lahti	`lahti
saama	`saama
ja	ja
siis	siis
minema	läksid
selle+pärast	selle+bärast
tõusma	`tõusid
üles	üless
elu	elu
olema	oli
raske	`raske
jah	jahh
nüüd	nüid
tahtma	`tahtsid
jah	jahh
nüüd	nüid
olema	on
Roomas+saare	Roomas+sares
Roomas+saare	Roomas+sares
seal	sääl
nemad	nad
olema	on
puha	puhas
üks+teise	ühe+dese
üks+teise	ühe+dese
juurde	`juurde
maha	maha
laskma	`lastud
ning	ning
kui	ku
viima	`viidi
mis	miss
aga	aga
vähe	vähe
kätte	`kätte
saama	`saadi
see	see
kes	kelle
peale	`peale
ükski	`ükskid
näpp	näppuga
näitama	`näittas
vat	vatt
see	see
olema	oli
ja	ja
see	see
olema	oli
ja	ja
see	see
ikka	`ikka
maha+laskmine	maha+`laskmisele
viima	`viidi
kolhoos	koloosid
tulema	tulid
tulema	tulid
siis	siis
tulema	tuli
see	see
muutus	`muuttus
et	et
et	et
hakkama	`akkasime
ühiselt	ühiselt
töö	tööd
tegema	tegema
kõik	kõik
esimene	esimese
kord	korra
kui	kui
tulema	tulid
siis	siis
olema	olid
inimene	inimestel
kõik	kõik
põld	põllud
põld	põllud
olema	olid
külvama	külvattud
ja	ja
kõik	kõik
e	e
kartul	karttulad
olema	ol'id
juba	juba
maa	maas
ja	ja
siis	siis
kolhoos	koloos
algama	`algas
ja	ja
siis	siss
siis	siis
võtma	`võetti
puha	puhas
üle	üle
kõik	kõik
minema	läks
kolhoos	koloosile
hobune	obused
lehm	lehmad
lammas	`lambad
kõik	kõik
mis	miss
olema	olid
kõik	kõik
töö	töö
põllu+töö	põllu+töö
riist	riistad
kõik	kõik
kõik	kõik
minema	läks
kolhoos	ko`loosi
ühiselt	ühiselt
ja	ja
siis	siss
hakkama	`akkasime
siis	siis
töötama	`tööttama
see	seda
seda+moodi	seda+`moodi
kuidas	kuidas
siis	siis
panema	`pandi
suur	surt
esimene	esimeseks
olema	on
lüli+vanem	lüli+vanemad
kes	kess
siis	siis
käsutama	käsuttasid
töö	`tööle
kus+pool	kus+`poole
minema	`minna
olema	on
või	või
mis	miss
mis	miss
töö	tööd
täna	täna
seal	seal
siis	s
tegema	teha
olema	on
lüli+vanem	lüli+vanem
olema	oli
esimene	esimese
aasta	`oasta
pärast	pärastse
panema	`pandi
siis	siss
suur	sured
brigadir	prigadiirid
ja	ja
siis	siis
hakkama	`akkasime
ühiselt	ühiselt
töötama	`tööttama
ja	ja
es	s
olema	ole
viga	viga
miski	midagid
mitte	mette
niitma	`niitsime
ja	ja
niitma	`niitsime
hein	einad
ühiselt	ühiselt
ja	ja
koristama	koristasime
vili	viljad
ja	ja
rehi	rehed
peksma	peksetti
kõik	kõik
ja	ja
siis	siis
maksma	maksetti
siis	siis
kuidas	kuda
kuidas	kuda
keegi	`keegid
päev	`päivi
tegema	teind
olema	oli
päev	päävad
panema	`pandi
kiri	`kirja
siis	siis
sügis	sügise
maksma	maksetti
siis	siis
palk	`palkka
kuidas	kudas
ükski	`ükskid
saama	saand
olema	oli
või	või
tegema	teind
töö	tööd
olema	oli
ja	ja
kõik	kõik
jääma	jähid
rahule	rahule
et	et
elu	elul
olema	ole
viga	viga
miski	midagid
noh	nohh
raamat	raamattud
olema	olid
seal	sääl
mis	miss
seal	sääl
olema	olid
piibli+lugu	`piibli+loo
raamat	raamat
palve+raamat	`palve+raamat
Jaagupson	Jaagupson
see	see
olema	oli
siis	siis
kui	kui
see	see
muidu	muidu
lugu	loo
raamat	raamat
aga	aga
paljalt	`paljit
palve	`palvid
panema	`pandi
õppima	`õppima
muu	muud
es	es
olema	ole
kui	kut
palve	`palved
pidama	pidid
pea	peas
olema	olema
vat	vatt
see	see
palve	palve
ja	ja
see	see
palve	palve
nt	nt
homme	`oome
sina	sool
ära	ära
lugema	lugeda
ja	ja
pea	piha
õppima	`õppida
kõik	kõik
pidama	pidid
pea	pias
olema	olema
piibli+lugu	`piibli+loost
andma	`antti
jälle	`jälle
üks	üks
tükk	tükk
sina	sul
õppima	`õppida
õppima	õppi
pea	piha
ja	ja
siis	siiss
siis	siis
panema	`pandi
vene	vene
keel	keelt
ka	kaa
õppima	`õppima
vene	vene
keel	keele
palve	`palvid
ka	kaa
juba	juba
hakkama	akkatti
õppima	`õppima
ning	ning
vene	vene
keel	keele
salm	`sal'me
no	no
siis	siis
käima	käisit
suur	surt
kool	kool
kool	`koolis
kiriku+õpetaja	kirikku+õppettaea
käima	käis
seal	sääl
kool	`kooli
katsuma	`katsumas
tulema	tuli
kooli+laps	kooli+`lapsi
katsuma	`katsuma
kas	kass
kas	kass
laps	lapsed
kuidas	kudas
laps	lapsed
oskama	`oskavad
lugema	lugeda
või	või
sedasi	sedasi
siis	siis
nemad	need
käima	käisid
kusagil	kuhugil
vaatama	`vaattamas
ja	ja
kooli+õpetaja	kooli+õppettaea
elama	elas
elama	elas
seal+samas	seal+samas
siis	siis
meie	meil
olema	oli
kooli+maja	kooli+maea
taga	taga
olema	oli
siis	siss
pisike	pisikke
kamber	`kamber
kus	kuss
kooli+õpetaja	kooli+õppettaea
ise	ise
sees	sees
olema	oli
laps	lapsed
käima	käisid
kaugelt	`kaugeld
kaugelt	`kaugeld
kokku	kogu
neli	neli
viis+kümmend	viis+kümend
laps	last
olema	oli
kool	`koolis
kohe	kohe
siis	siis
olema	oli
sedasi	sedasi
et	et
tahvel	`tahvlid
meie	meil
olema	olid
kivi+tahvel	kivi+`tahvlid
olema	olid
ja	ja
rihvel	`rihvlid
olema	ol'id
meie	`meittel
olema	pole
vihik	vihikkut
palju	paelu
olema	old
mitte	mette
tahvel	`tahvlitte
peale	`peale
siis	sis
kirjutama	kirjuttasime
iga+üks	iga+ühel
olema	oli
oma	oma
tahvel	`tahvel
ning	ning
siis	sis
leiva+kott	leiva+kot't
kott	kottis
hommik	oomikkul
tulema	tuled
leiva+kott	leva+`kottis
olema	oli
ikka	`ikka
tahvel	`tahvel
ning	ning
leib	leib
olema	oli
kott	`kottis
ja	ja
siis	siiss
piima+pudel	piima+pudel
olema	oli
kott	`kottis
see	see
olema	oli
laps	lapsel
selg	`selgas
minema	läks
kool	`kooli
hommik	oomingu
ning	ning
õhtu	`õhta
tulema	tuli
kool	koolist
kodu	koduse
ja	ja
siis	siis
kodu	kodu
pidama	pidi
siis	siis
siis	siis
nüüd	nüid
mis	miss
sina	sool
õppima	õppetta
andma	`antti
see	neid
sina	sa
pidama	pidid
siis	siis
kodu	kodu
õppima	`õppima
ja	ja
hommik	oomikku
jälle	`jälle
kool	`kooli
siis	siis
sina	sa
pidama	pidid
ära	ära
vastama	`vastama
mis	miss
siis	siis
küsima	küsitti
seal	sääl
ja	ja
ja	ja
siis	siss
kui	kui
sina	sa
siis	siis
seal	sääl
eksima	`eksind
olema	olid
siis	siis
panema	`pandi
püsti	`püsti
laud	lauwa
taha	taha
kui	kui
väike	vähikke
karistus	karistus
olema	oli
siis	siis
laud	lauwa
taha	taha
püsti	`püsti
kui	kui
suurem	suurem
karistus	karistus
olema	oli
siis	siis
ajama	`aetti
uks	ukse
nurk	`nurkka
põlvili	põlveli
olema	ole
nurk	`nurkkas
põlvili	põlveli
ning	ning
ja	ja
vahest	vahest
panema	`pandi
muidu	muidu
püsti	`püsti
ka	kaa
nurk	`nurkka
aga	aga
kui	kui
kõige	kõige
suurem	suurem
süü	süi
olema	oli
siis	siis
panema	`pandi
põlvili	põlveli
nurk	`nurkka
siis	siis
karistama	karistatti
sedasi	sedasi
see	see
olema	oli
nii+sama	nii+samma
kui	kut
praegu	`paergus
mis	miss
siis	sii
mina+gi	minulgid
muidu	muidu
vana	vana
lihtne	`lihtne
vana	vana
vahe+sein	vahe+seinttega
tuba	tuba
olema	oli
ja	ja
seal	sääl
es	s
olema	ole
muu	muud
mitte	`mette
miski	midagid
mitte	`mette
siis	siis
üks	üks
puu	puu
must	must
tahvel	`tahvel
olema	oli
ka	kaa
seal	sääl
veel	veel
kriit	`riitti
ka	kaa
siis	siis
see	selle
peal	peal
siis	siis
vahest	vahest
panema	`pandi
mõni	mõni
sõna	sõna
kirjutama	kirjuttatti
ning	ning
see	see
see	see
olema	oli
seal	sääl
sein	seina
peal	peal
tunni+kell	tunni+kell
olema	oli
ka	kaa
siis	siss
sein	seina
peal	peal
ja	ja
muu	muud
asi	`asja
es	es
olema	ole
seal	sääl
mitte	`mette
mis+ki	midad
nägema	näe
ahi	ahi
olema	oli
kus	kuss
ahi	`ahju
kütma	`köötti
seal	sääl
ja	ja
siis	siis
ja	ja
iga+üks	iga+üks
võtma	`võttis
hommik	oomingu
leiva+kott	leiva+kotti
kui	kui
kaasa	`kaasa
kui	kui
tema	ta
kool	`kooli
minema	läks
ja	ja
siis	siis
olema	oli
üks	üks
tuba	tuba
kus	kuss
leiva+kott	leva+kottid
olema	olid
laps	lastel
seal	sääl
olema	olid
suur	sured
suur	sured
nagi	nagid
või	või
varn	varnad
kus	kuss
leiva+kott	leva+kottid
otsas	`otsas
olema	ol'id
kodune	kodusest
linane	linasest
riie	`riidest
õmblema	õmmeldud
valge	`valge
kott	kot't
suur	sur
pael	pael
taga	taga
ja	ja
siis	siss
see	see
saama	sai
kael	`kaela
hommik	oomingu
viskama	vissattud
ning	ning
siit	siit
kinni	`kinni
siduma	`siuttud
ning	ning
minema	mine
kool	`kooli
pätt	pättid
olema	olid
jalg	`jalgas
pätt	pättid
olema	ol'id
nii	nii
märg	märjad
kui	kui
sula+lumi	sula+lumi
olema	oli
ja	ja
märg	märg
lumi	lumi
olema	oli
mõtlema	mtle
jalg	jalad
külmetama	külmettasid
päev	pääva
otsa	`otsa
kooli+tuba	kooli+toas
laps	lastel
ei	äi
olema	ole
ööbija	`ööbija
ööbija	`ööbija
koht	`kohta
mitte	`mette
seal	sääl
siin	sii
ühtid	`ühtid
kus	kuss
mina	maa
olema	oli
aga	aga
siin	sii
kirik	kirikku
juures	juures
see	see
kutsuma	kutsutti
kihel+kond	kihel+gonna
kool	koel
seal	sääl
olema	olid
juba	juba
ööbima	`ööbisid
seal	sääl
olema	olid
siis	siss
hüüdma	`öötti
suur	sured
nari	narid
olema	olid
jälle	`jälle
sihuke	`sõukke
suur	suur
lai	lai
lai	lai
laud	laud
olema	oli
ja	ja
seal	sääl
peal	peal
olema	olid
iga+üks	iga+üks
olema	oli
siis	siis
kodu	kodust
oma	omale
alus+kott	alus+kotti
või	või
mis	miss
sealt	säält
tooma	toond
ning	ning
padi	padi
olema	oli
tekk	tekk
olema	oli
aga	äga
ühine	ühine
suur	suur
suur	suur
lai	lai
voodi	`voodi
olema	oli
kus	kuss
kus	kuss
nemad	nad
magama	magasid
see	need
kahe+kordne	kahe+`kortsed
teine	teised
olema	ol'id
ülal	ülal
peal+pool	peal+pool
kahe+kordne	kahe+`korne
olema	oli
siis	siis
see	need
kutsuma	kutsutti
nari	narid
nari	naride
peal	peal
magama	magasid
mis	miss
olema	olid
siis	siss
kaugelt	`kaugelt
laps	lapsed
ah	ah
