plats	`laatside
ning	ning
jälle	`jälle
hakkama	akkatti
siis	siis
võtma	`võetti
plagu	plaod
üles	ülese
plagu	plaod
olema	olid
ülal	üläl
ja	ja
siis	siis
e	e
sööma	`süedi
jooma	`juedi
keetma	kiedetti
seal	siäl
selts	`sel'tsis
ja	ja
e	e
leib	`leibä
tegema	`tehti
sedasi	sedäsi
et	ett
peenike	piinikkest
jahu	jahu
või	või
sihuke	`siokkõst
noh	nohh
saia+leib	saija+`leibä
see	sedä
viima	`viidi
siis	siis
e	e
see	sedä
viima	`viidi
siis	siis
ise	ise
iga	egä
üks	üks
viima	viis
oma	oma
kodunt	kodont
veel	viel
ja	ja
tegema	`tehti
sai	`saija
e	e
tegema	`tehti
sai	`saija
ja	ja
siis	siis
e	e
seal	siäl
pidama	`pietti
suur	suurt
e	e
pidu	pidu
siis	siis
a	a
kadri+päev	kadri+bäe
see	sie
olema	oli
ikka	`ikka
suur	suur
suur	suur
tähtis	`tähtjäs
päev	päe
kadri	kadrid
olema	olid
kõik	kõik
sihuke	`sioksõs
riie	`riides
et	ett
nägu	njaod
olema	olid
kate	`kattõd
olema	olid
näo+kate	njao+`gattõd
olema	olid
ees	ies
ja	ja
sihuke	`sioksõd
riie	`riided
olema	olid
kõik	kõik
selg	`selgäs
mis	miss
e	e
mis	mis
otsima	ot'sitti
ikka	`ikkaa
sihuke	`sioksi
tegema	`tehti
valmis	`val'mis
e	e
riie	riijettest
tegema	`tehti
sihuke	`sioksõd
mis	miss
mitte	`mitte
keegi	`kiegi
tundma	tunnõ
siis	siis
e	e
inimene	inimest
aga	aga
siis	siis
kõik	kõik
olema	olid
ikka	ikka
tegema	`tehtüd
aga	aga
kadri	kadridõl
olema	oli
üks	üks
e	e
noor+paar	nuõr+buär
ka	kua
sihuke	`siokkõ
noorik	nuõrik
ning	ning
peig+mees	peig+mes
noorik	nuõrik
ikka	`ikka
olema	oli
sihuke	`siokkõ
täis	täüs
e	e
täis	täüs
noorik	nuõrikku
riie	`riides
tanu	tanu
olema	oli
pea	piäs
ja	ja
sihuke	`siokkõ
ehitama	ehittet
ee	ee
nagu	nagu
nüüd	nüd
päris	päris
noorik	nuõrikkud
olema	ond
pulm	pulma
aeg	`aõgas
sihuke	`siokkõ
noorik	nuõrik
olema	oli
ning	ning
peig+mees	peig+mes
olema	oli
ka	kua
siis	siis
ikka	`ikka
oma	oma
peig+mees	peig+me
riie	riijettess
üks	üks
paar	puär
olema	oli
sihuke	`sioksi
pill	pill
olema	oli
ka	kua
ligi	ligi
ja	ja
triangel	triijangõl
ning	ning
harmoonika	armoonik
ning	nin
need	nied
olema	olid
ikka	`ikka
ka	kua
ligi	ligi
siis	siis
jah	jah
jah	jahh
tüdruk	tüdrikkud
ning	ning
poiss	poõsid
e	e
selts	`sel'tsis
käima	käösid
poiss	`poissa
olema	oli
vähem	vähäm
aga	aga
tüdruk	tüdrikkud
olema	olid
ikka	`ikka
kõik	kõik
poiss	poõsid
olema	olid
rohkem	`rohkõm
see	se
laulma	`laulsid
uks	uksõ
taga	taga
kadri	kadri
laul	`laulu
laulma	`laultti
mitte	`mitte
keegi	kedägid
ei	ei
mäletama	mälettä
enam	enäm
kui	kui
mina	ma
see	sedä
ka	kua
mitte	mttõ
na	naa
palju	paõlu
pea	piä
vana	vana
ning	ning
laul	`laulu
mina	mia
oskama	`oska
enam	enäm
keegi	kedäd
küll	küll
kadri	kadris
mina	ma
olema	olõ
küll	küll
käima	käin
kas	kass
praegu	`praõgu
ka	kua
veel	viel
pidama	`piettässe
kadri+päev	kadri+`bäevi
pidama	`piettä
mitte	mtte
vist	vist
või	või
pidama	`piettässe
ikka	ikka
mina	mia
ei	i
mäletama	mälettä
pidama	`piettässe
küll	küll
pidama	`piettässe
jah	jahh
küll	küll
pidama	`piettässe
nüüd	nüd
ikka	`ikka
käima	käüwad
rohkem	`rohkõm
veel	viell
e	e
paaris+rahvas	`puaris+rahvas
kõik	kõik
noor	nuõrõd
e	e
inimene	inimesed
ennem	ennemä
ei	ei
ennem	ennemä
naine	naõsõd
ega	egä
mees	mihed
ei	ei
käima	käüss
keegi	kedäd
ennem	ennemä
olema	olid
tüdruk	tüdrikkud
ning	ning
poiss	poõsid
üksi	üksi
aga	aga
nüüd	nüd
käima	käüwäd
noor	`nuõri
naine	`naisi
ning	ning
mees	mehi
ning	ning
kõik	`kõikki
käima	käüwäd
päris	päris
vana	vanu
vist	vist
käima	käüb
küll	küll
päris	päris
vana	vanu
käima	käüwäd
küll	küll
ka	kua
jah	jahh
õhtu	`õhta
ning	ning
päev	`päävä
küll	küll
ka	kua
vana	vanu
inimene	inimesi
ei	ei
need	nied
vana	vanad
inimene	inimesed
e	e
nüüd	nüd
ei	ei
käima	käü
enam	enäm
pere	pere
pere	perelt
ühti	`ühti
need	nied
minema	`lähtväd
ise	ise
sinna	`sjõnna
aga	aga
noh	nohh
kraam	kraam
viima	viijässe
praegu	`praõgu
ikka	`ikka
ka	kua
kokku	`kokko
see	sedä
samuti	samutti
viima	viijässe
sinna	`sjõnna
koha+peale	koha+`biäle
kus	kuss
kadri	kadri
päev	`päävä
pidama	`piettässe
kadri	kadrid
tooma	toovad
sina	sina
mäletama	mälettäd
sedasi	sedäsi
mis	mis
see	se
vana	vana
vana	vanaa
Kustav	`Kustavil
olema	oli
olema	oln
veel	vel
üks	üks
ait	ait
ja	ja
siis	sis
seal	siäl
käima	käün
need	neid
mmhm	mmhm
tuli	tulõsi
põletama	põlõttamas
ning	ning
mis	mis
seal	sial
mis+moodi	miss+`muõdi
see	sie
asi	asi
olema	oli
kõik	kõik
jah	jahh
aga	aga
see	sie
ikka	kka
õige	`õigõ
küll	küll
et	ett
e	e
seal	siäl
ikka	ikka
sihuke	siokkõ
e	e
tule+händ	tulõ+änd
käima	käün
või	või
see	sie
küll	küll
siis	siss
need	nied
Lemsi	`Lempsi
inimene	inimesed
olema	olid
ka	kua
mina	mo
ema	emä
elama	eläs
Lemsi	`Lempsis
ennem	ennemä
kui	ku
tema	ta
noor	nuõr
olema	oli
aga	aga
seal	siäl
olema	oli
päris	päris
e	e
päris	päris
e	e
tule+händ	tulõ+änd
küll	küll
olema	oln
ning	ning
käima	`käüdüd
seal	siäl
vaatama	`uattamas
salaja	salaea
nemad	naad
olema	oln
e	e
köök	`küekkis
no	no
sihuke	`sioksõd
lamu+köögid	lamu+küögid
olema	olid
enne	enne
olema	oln
köök	`küekkis
ning	ning
siis	siis
e	e
siis	siiss
see	sie
vana+mees	vana+mies
mis	miss
need	nende
tont	`ton'ttega
elama	eläs
või	või
see	sie
see	sie
olema	oln
ise	ise
ka	kua
seal	siäl
seal	siäl
need	nende
juures	`juurõs
seal	siäl
köök	`küekkis
aga	aga
see	sie
küll	küll
õige	õigõ
et	t
e	e
sihuke	`siokkõõ
noh	nohh
tule+händ	tulõ+änd
või	või
meie	mee
hüüdma	`üütsime
et	t
pisu+händ	pisu+änd
olema	`olla
see	sie
vedama	vädän
e	e
see	sie
vedama	vädän
nemad	nendele
kokku	kogo
kraam	`kraami
siis	siis
kui	kui
need	nied
tont	ton'did
seal	siäl
tont	`ton'ttõga
nemad	nad
elama	eläsid
aga	aga
see	sie
ikka	`ikka
päris	päris
õige	`õigõ
lugu	lugu
küll	küll
olema	oln
see	sie
tulema	tuli
üle	üle
meri	mere
mina	mia
nägema	nägi
ise	ise
see	sedä
küll	küll
ka	kua
see	sie
meie	mie
mina	mio
aeg	`aõges
olema	oli
ka	kua
veel	viel
e	e
tulema	tuli
sealt	siält
no	no
Kakra	`Kakra
säär	siäre
pealt	piält
või	või
sina	sa
teadma	tiäd
küll	küll
see	selle
küll	küll
jah	jah
Kakra	`Kakra
säär	siäre
pealt	piält
siis	siss
tulema	tuli
sealt	sialt
e	e
läbi	läbi
Kedra	Kedra
poolt	puõlt
või	või
sealt	siält
tulema	tuli
läbi	läbi
ja	ja
siis	siis
tulema	tuli
sinna	`sjõnna
meie	mede
äär	äre
rand	`randa
sinna	`sjõnna
rand	`randa
tulema	tuli
siis	siis
tulema	tuli
maa	maa
peale	piäle
põld	`põldõssõ
meie	mede
tuba	tua
tagant	tagant
minema	läks
ka	kua
läbi	läbi
põld	põllu
pealt	piält
siis	siis
minema	läks
jälle	`jälle
põld	põllalõ
koti+poiss	kotti+poõsid
need	nied
võtma	võtn
püss	püssü
käsi	käde
ning	ning
hakkama	`akkan
see	sedä
laskma	`lasma
püss	püssügä
aga	aga
siis	siis
tema	ta
olema	oli
sedasi	sedäsi
sutsutama	sutsuttama
ka	kua
hakkama	`akkan
sedasi	sedäsi
üles+kohe	üles+kohõ
alla+kohe	`alla+gohõ
teadma	tiä
mitte	mtte
mis	miss
asi	asi
see	sie
olema	oli
kas	kass
e	e
mis	miss
tulema	tuli
tema	tä
olema	oli
aga	aga
noh	nohh
see	sedä
rääkima	`riäkväd
vana	vanad
inimene	inimesed
et	et
üks	üks
sihuke	`siokkõ
tuli	tuli
tema	tä
olema	oli
küll	küll
et	ett
need	nied
e	e
nõid	nõijad
vedama	vädäde
kokku	kogo
see	selle
tuli	tulõga
oma	omalõ
kraam	`kraami
ju	ju
nemad	nad
vedama	vädäsid
siis	siis
materjal	`mattõrjaali
kokku	kogo
see	selle
vana	vana
Kustav	`Kustavi
karv	karva
karp	karbist
või	või
siuke	`siuksest
nõidumine	`nõidumise
värk	värgist
ka	kaa
olema	olõd
kuulma	kuuln
miski	midagi
või	või
mina	mia
see	sedä
küll	küll
ei	ei
mäletama	mälettä
ema	emä
ning	ning
need	nied
rääkima	`rääksid
küll	küll
sina	saa
ehk	ehk
teadma	tiäd
paremini	paramini
ei+noh	ei+noh
või	või
olema	olõd
kuulma	kuuln
rääkima	riägi
sina	sia
mis	mis
sina	sa
kuulma	kuuln
olema	olõd
mina	mia
ei	i
julgema	`julgõ
see	sedä
rääkima	`riäkki
rääkima	riägi
rääkima	riägi
olema	pole
siin	sii
kartma	`kartta
keegi	kedägid
mis	miss
karv	karvad
tema	tall
seal	siäl
korjama	korjattud
olema	olid
või	või
mis+moodi	miss+`muõdi
tema	ta
need	neid
hoidma	`oidis
üks	ühes
koht	kottõs
e	e
karp	`karppis
hoidma	oidn
ning	ning
aga	aga
need	neid
mitte	mtte
olema	põlõ
teine	teeste
käsi	käde
saama	suan
või	või
laskma	lasn
teine	`teisi
vaatama	`uatta
mitte	`mitte
kord	`korda
aga	aga
siiski	`siiskid
e	e
salaja	salaea
olema	oli
järgi	`järgi
vaatama	`uattõt
sealt	siält
need	nied
oma	oma
pere	pere
laps	lapsõd
või	või
need	nied
olema	olid
vaatama	`uattõn
ja	ja
siis	siis
olema	olid
e	e
kõik	`kõikki
sugune	sugusi
karv	`karvu
olema	oli
sinna	`sjõnna
kokku	`kokko
panema	`pandud
ning	ning
see	sedä
tema	taa
kandma	kann
ikka	`ikka
oma	omal
põu	`põuwõs
kandma	kann
põu	`põuwõs
ning	ninn
kus	kuss
minema	läin
või	või
see	sie
need	nied
karp	karbid
olema	oln
tema	tall
ikka	`ikka
juures	`juurõs
aga	aga
üks	üks
sihuke	`siokkõ
sihuke	`siokkõ
kuri	kurja
teenija	`tienijä
tema	ta
olema	oli
ju	ju
kes	kess
teadma	tiäb
see	sedä
nõiutama	nõijuttas
see	sellega
see	sedä
ei	i
teadma	tiä
mitte	mtte
näe	nää
nõiutama	nõijuttas
noh	nohh
kunst	`kun'tsi
tegema	tegi
või	või
nõidus	`nõidust
oma	omalõ
võtma	`võt'tis
suur	suurt
varandus	varandust
see	sellegä
kokku	kogo
aga	aga
kui	ku
tema	ta
surema	surõma
hakkama	`akkas
mis	mis
siis	siis
olema	oli
mina	mia
see	sedä
ei	i
mäletama	mälettä
ja	ja
olema	põlõ
kuulma	kuuln
kuidas	kudas
tema	täll
hing	eng
tahtma	tahas
välja	`vällä
kuidagi	kudagi
minema	`minnä
see	sellest
ei	ei
olema	põlõ
kuulma	kuuln
ah	ah
tema	tämä
see	sie
olema	oli
üks	üks
naiste+rahvas	naõstõ+rahvas
mis	miss
põld	põllu
peal	piäl
olema	oli
pitkas	`pitkäs
ning	ning
e	e
siis	siis
e	e
ning	ning
kärblane	`kärbläne
ikka	`ikka
urisema	urisõn
see	selle
ümber	`ümber
ning	ning
need	nied
teine	teesed
jälle	`jälle
olema	olid
tema	taga
see	selle
naine	naõsõga
sihuke	`sioksi
vigur	vigurisi
tegema	tein
siis	siis
olema	olid
e	e
sinna	`sinna
jalg	jalad
pöörama	püörn
kus	kuss
pea	piä
olema	oli
ning	ning
kärblane	`kärbläne
mitte	mtte
olema	põlõ
enam	enäm
e	e
sisse	`sisse
minema	läin
ning	ning
hing	eng
inimene	inimesel
seest	sist
kaduma	kadun
ning	ning
olema	põlõ
mitte	mttõ
pehme	`pehme
noh	nohh
surema	surn
ning	ning
teine	teesed
tegema	tein
siis	siis
jälle	`jälle
sedasi	sedäsi
vastu	`vasta
et	ett
e	e
pöörama	püörn
e	e
pea	piä
jälle	`jälle
sinna	`sjõnna
kus	kuss
jalg	jalad
olema	olid
ning	ning
siis	siis
kärblane	`kärbläne
kärblane	`kärbläne
minema	läin
sisse	`sisse
ning	ning
hing	eng
tulema	tuln
e	e
taha+kohe	taha+gohõ
sisse	`sisse
inimene	inimesele
noh	nohh
sihuke	`sioksi
olema	oli
ennem	ennemä
siin	sii
olema	oln
mis	mis
asi	asi
see	sie
olema	oli
siis	ss
aga	a
kui	kui
sihuke	`siokkõ
nõid	nõid
ära	ää
hakkama	`akkab
surema	surõma
siis	sis
tema	tämäl
tulema	tulõ
muidu	muidu
surm	surm
mitte	`mitte
kui	kui
pidama	piäb
oma	oma
amet	amõtti
üle	üle
andma	`andma
ju	ju
üks	ühele
jälle	`jälle
no+ja	no+ja
aga	a
mis	miss
kas	kas
sina	sa
see	sedä
olema	põlõ
kuulma	kuuln
et	ett
kuidas	kuidas
Pilli+roo	Pilli+roo
vana	vana
Endrik	Endrikkul
või	või
mis	miss
Endrik	Endrik
olema	oli
vist	vist
või	või
Endrik	Endrik
jah	jahh
et	et
kuidas	kudass
see	selle
surm	surmaga
olema	oli
see	selle
surm	surmaga
mina	mia
ei	i
mäletama	mäletta
ega	egä
teadma	tiä
kuidas	kudass
käima	`käüdi
veel	viel
e	e
tütar	tüdärt
e	e
kutsuma	`kutsmas
sinna	`sjõnna
et	et
tulema	tulõ
vana+mees	vana+mehe
juurde	`juurõ
võtma	võtta
see	see
amet	amõt
vastu	`vasta
muidu	muidu
hing	eng
välja	`vällä
ei	i
minema	lähä
vaatama	`vatta
siin	sii
ju	ju
vist	vist
Alase	Alasõl
olema	oli
ka	kua
sedasi	sedäsi
no+jah	no+jahh
see	selle
e	e
kuidas	kudas
siin	sii
olema	oli
siis	ss
noh	nohh
see	sellel
tulema	tulõ
ootama	`uõtta
mina	ma
mõtlema	`mõtlõ
Sanga	Sangal
no+jah	no+jahh
Sanga	Sangal
vaatama	`vatta
minema	lähäss
ju	ju
ka	kua
mitte	mtte
välja	`vällä
no	no
rääkima	riägi
mis	miss
nõidus	`nõidus
Sanga	Sangal
olema	oli
mis	mis
asi	asi
seal	siäl
olema	oli
lammas	`lambad
e	e
need	nied
käima	käosid
lammas	`lambu
niitma	`niitmes
ning	ning
rääkima	`riäkväd
et	ett
e	e
vald	valla
ait	aõdast
varastama	varastõt
endine	`endisel
aeg	aal
hulk	`ulkka
raha	raha
ära	ää
raha	raha
kapp	kappist
varastama	varastõt
hulk	`ulkka
raha	raha
ära	ää
ning	ning
nemad	nämäd
hoidma	`oitsid
nemad	nämäd
hoidma	`oitsid
see	sedä
raha	raha
siis	siis
e	e
need	nende
varastama	varastõt
lammas	`lamba
vill	`vjõlless
ütlema	üöldi
siis	siis
käima	käürsid
küla	külä
mööda	`müödä
niitma	`niitmes
aga	aga
praegu+gi	`praõgugi
ikka	`ikka
niitma	`niitväd
lammas	`lambu
millal	millas
niitma	`niitmäs
pidama	piäb
käima	`käümä
paast	pastu
aeg	`aõgõs
enne	`enne
paast	`paastu
ning	ning
siis	siis
käima	`käüwäd
enne	`enne
jõulud	`jõulu
või	või
suur	suurõ
paast	pastu
aegu	`aõgõs
kevadel	keväde
käima	käüwad
jälle	`jälle
ja	ja
jah	jahh
aga	aga
kus+kohast	kuss+kohast
e	e
võima	võib
lammas	lammast
niitma	`niittä
pale	palõdõ
pealt	piält
meie	meil
olema	oli
ise	ise
ka	kua
niitma	niidettüd
pale	palõdõ
pealt	piält
niitma	`niitväd
ning	ninn
jalg	`jalgõ
pealt	piält
ning	ning
sihuke	`sioksõ
koht	koha
pealt	piält
kus	kus
vähe	vähä
vill	`vjõllu
saama	suab
jah	jah
e	e
ega	egä
nemad	nad
e	e
lammas	`lamba
pale	pale
lammas	`lamba
pale	palõd
või	või
sihuke	`sioksõd
pea	piä
sealt	siält
nemad	nad
niitma	`niitväd
aga	aga
see	selle
küla	külä
lammas	`lambu
jah	jahh
terve	`terve
vald	vallal
käima	käüwäd
läbi	läbi
üks	ühe
hulk	ulga
lammas	`lambu
ning	ning
muidu	muõdu
nemad	nad
see	sedä
raha	raha
hoidma	`oidvad
siis	siis
seal	siäl
sees	siss
aga	aga
see	sedä
meie	mee
ei	i
teadma	tiä
keegi	`kiegi
mitte	mtte
kui	ku
kaua	kauwa
siis	ss
nemad	nad
nüüd	nüd
see	sedä
raha	raha
hoidma	`oidavd
mitu	mjõttu
põlv	`põlvõ
rahvas	rahvast
juba	juba
aga	aga
miks	miks
siis	siis
iga	egä
aasta	`aasta
pidama	piäväd
käima	`käümä
niitma	`niitmes
teadma	tiä
mitte	mtte
aga	a
iga	egä
aasta	`aasta
need	neid
vill	`vjõllu
korjama	`korjab
kole	kolõ
palju	paõlu
viimaks	viimes
ju	ju
need	ned
vill	vjõllad
olema	`ollõõ
ühes+kohta	ühes+`kohta
põõsas	põõsastõssõ
vahel	vahõl
viima	`viidüd
siis	s
pidama	piäb
vahetama	vahõttama
või	võe
jah	jahh
salaja	salaea
jah	jahh
ning	ning
need	neit
saama	sua
käsi	käde
need	neit
saama	sua
ka	kua
keegi	`kiegid
need	nied
sihuke	`sioksõõ
kunst	`kun'tsiga
niitma	`niitväd
mitte	`mitte
üks	üks
need	neid
kinni	`kindi
ei	ei
saama	sua
võtma	`võtta
no	no
kui	ku
üks	üks
ära	ää
surema	surõb
siis	siis
pidama	piäb
amet	amõtti
jälle	`jälle
teine	teesele
üle	üle
andma	`andma
ju	ju
see	sedä
rääkima	`riäkväd
et	ett
ju	ju
tema	ta
see	selle
tütar	`tütrele
andma	`an'dis
siis	sis
see	selle
Juku	Jukku
Mari	Marilõ
või	või
see	sie
arvama	`arvavad
see	sie
käima	`käüwe
niitma	`niitmes
jah	jahh
käima	käüb
ju	ju
lammas	`lambad
olema	ond
ju	ju
niitma	niidettüd
sihuke	`siokkõ
olema	ond
ju	ju
hull	ull
asi	asi
kõik	kõik
inimene	inimesed
ju	ju
see	sedä
teadma	tiä
mitte	mtte
meie	mee
nõnda	nda
sama	sama
tark	targad
nagu	nao
teie	tee
siin	sii
olema	olõttõ
noh	nohh
keegi	`kiegit
teadma	tiä
see	selle
asi	asjast
aga	a
miks	miks
tema	ta
siis	s
pidama	piäb
hoidma	`oidma
seal	siäl
need	neid
e	e
vill	`vjõllõss
salaja	salaea
see	sedä
raha	raha
selle+pärast	selle+bäräst
et	ett
see	sie
raha	raha
mitte	mtte
üles	üless
tulema	`tulla
aga	aga
mis	miss
nüüdne	`nüütsel
aeg	aal
veel	viel
see	sest
üles	üles
tulemine	tulõmisõst
kartma	`kartta
olema	ond
nüüd	nüd
ju	ju
hakkama	akkatta
need	neid
enam	enäm
mitte	mtte
mõni	mõni
sada	sada
aasta	`aastad
juba	juba
ei	ei
ei	ei
no	no
kui	ku
tema	ta
hõbe	õbõ
olema	ond
siis	siis
maksma	maksab
ikka	`ikka
ju	ju
hõbe	õbõ
raha	raha
see	sie
ehk	hk
maksma	maksab
sihuke	`seoksi
asi	`as'ju
olema	ont
siin	sii
e	e
Kihnu	Kihnu
e	e
vald	valla
raha	raha
hoidma	`oitti
magasi+ait	magasi+`aittas
üks	ühe
öösel	`üöse
tuhat	tuhandõ
üheksa+sada	üheksä+saja
viis+kümmend	viije+`gümne
tuhat	tuhandõ
kaheksa+sada	kahõksa+saea
viis+kümmend	viije+`gümne
teine	teese
aasta	`aasta
lõpp	`lõppuus
sügisel	sügüse
olema	oli
sinna	`sjõnna
sisse	`sisse
murdma	`murttud
või	või
sisse	`sisse
minema	`mindud
vale	valõ
võti	`võtmõttõgä
uks	uksõd
olema	olid
lukus	`lukkis
jälle	`jälle
teine	teese
päev	päävä
leidma	`leütti
et	et
raha	raha
olema	oli
kaduma	kadun
siis	siss
e	e
valla+mees	valla+mehed
tulema	tulid
kokku	kogo
ameti+mees	amõtti+mehed
hakkama	`akkasid
uurima	`uurma
või	või
mõtlema	`mõtlõma
kes+see	kissi
võima	võiks
e	e
lahti	`lahti
võtma	`võtta
siis	s
arvama	arvatti
et	et
mõni	mõni
sepp	sepp
pidama	piäks
olema	olõma
kes	kis
mõistma	mõestab
raud+võti	raud+`võtmõsi
tegema	tehä
siis	siis
e	e
kutsuma	kutsutti
kõik	kõik
need	nied
küla+mees	külä+mehed
kokku	kogo
kes	kellel
võima	võesid
raud+võti	raud+`võtmõd
olema	`olla
no	no
enne	`enne
olema	olid
ikka	`ikka
puu+lukk	puu+lukkud
lukk	lukkid
e	e
puu+võti	puu+`võtmõttõgä
aga	aga
kes	kellel
raud+lukk	raud+lukkid
olema	olid
need	nende
võti	`võtmettegä
siia	siija
vald	valla
ait	aõda
juurde	jurõ
et	ett
proovima	`pruovi
kes	kellel
lahti	`lahti
võtma	võttab
aga	aga
siis	siis
teine	teesed
tooma	tõid
oma	oma
võti	`võtmõd
sinna	`sjõnna
aga	aga
see	sie
Alas	Alas
üks	üks
vana+mees	vana+mees
mina	maa
ei	i
mäletama	mälättä
mis	miss
tema	tä
nimi	nimi
olema	oli
see	sie
jääma	jäi
tulema	tulõmatta
siis	s
minema	`mindi
tema	`talle
koju	koo
järgi	`järgi
siis	sis
tema	tä
ütlema	`ütles
et	ett
e	e
jälle	`jälle
võti	`võtmõsi
olema	põlõ
ja	ja
siin	sii
oma	oma
käsi	`käega
kus	kus
nemad	nad
ei	ei
leidma	levä
üles	üles
need	neid
kusagilt	kusagilt
ega	egä
nagu	nagu
salgama	`salgas
ikka	`ikka
see	sedä
asi	`as'ja
siis	sis
arvama	arvatti
et	et
tema	tämä
olema+ki	oligi
see	se
varas	varas
siis	siis
e	e
vald	valla
kohus	kohos
arutama	aruttas
see	sedä
asi	`as'ja
e	e
siis	siis
see	sie
kutsuma	kutsutti
kohus	`kohto
ette	ede
siis	siis
e	e
enne	`enne
see	sedä
kui	ku
tema	ta
vald	valla
kohtu+maja	`kohto+maea
sisse	`sisse
tulema	tuli
siis	siis
tegema	tegi
vasak	vassakku
jalg	jala
kand	kannaga
oma	omalõ
kolm	kolm
rist	`risti
lävi	läve
peale	`piäle
ette	ede
e	e
tegema	tegi
sihuke	`sioksi
kunst	`kun'tsa
et	et
mitte	mtte
siis	sis
et	et
tema	ta
õige	`õige
et	t
õigus	`õigusõga
välja	`vällä
tulema	tulõb
aga	aga
siis	siis
e	e
vald	valla
kohus	kohos
andma	`an'dis
see	selle
asi	asja
ede+kohe	ede+gohõ
kõrge	`kõrgõma
kohus	`kohto
kätte	käde
siis	sis
lõpetama	lõppõttatti
siin	sii
see	se
asi	asi
ära	ää
mis	miss
tema	tast
välja	`vällä
tulema	tuli
see	sedä
ei	i
teadma	tiä
aga	aga
pärast	päräst
valla+kohus	valla+`kohtu
protokoll	prottogollis
märkima	märgittässe
hiljem	iljemini
et	ett
e	e
e	e
vald	valla
ametnik	amõtnikkud
e	e
e	e
pidama	pidid
see	selle
raha	raha
ise	ise
välja	`vällä
maksma	`maksma
et	et
e	e
hooletumasti	uolettumast
hoidma	`oitsid
või	või
liiga	`liiga
palju	paõlu
raha	raha
hoidma	`oitsid
siin	sii
et	et
mitte	mtte
viima	viis
pank	`pankka
linn	`lenna
üle+aru	üle+aru
raha	raha
olema	oli
siin	sii
laskma	`las'sid
ära	ää
varastama	varasta
siis	siis
e	e
üks+kord	ühe+gorra
Kihnu	Kihnu
või	või
siis	siis
see	sie
mm	mm
see	se
Ala	Ala
mees	mies
see	sie
kes	kedäst
varas	`vargaks
arvama	arvatti
rahvas	rahvas
arvama	`arvas
ka	kua
et	et
see	sie
ikka	`ikka
varastama	varastas
see	see
siis	siis
e	e
otsima	`ot'sis
e	e
e	e
nõid	`nõidõ
juurest	juurõst
e	e
abi	abi
et	et
kuidas	kudas
tema	tämä
saama	suab
see	sedä
vari	varjul
hoidma	oeda
see	sedä
raha	raha
vargus	`vargust
siis	sis
käima	käüs
mais+maa	maõsõ+mal
nõid	`nõidõ
juures	`juurõs
nigu	nigu
nõu	nõu
küsima	küsümäs
siis	siis
kusagil	kusagil
olema	oli
siis	siis
õpetama	õppõttõt
sedasi	sedäsi
et	et
tulema	tulõb
e	e
see	sedä
see	sedä
raha	raha
hoidma	oeda
varastama	varastõt
e	e
vill	`vjõllõss
lammas	`lamba
vill	`vjõllõss
need	nied
vill	vjõllad
pidama	piäb
korjama	`korjama
iga	egä
iga	egä
aasta	`aasta
uus	uijõd
vill	vjõllad
see	sellele
raha	rahalõ
e	e
suur	suurõ
paast	pastu
aegu	`aõgas
märtsi+kuu	märtsi+kuus
sedasi	sedäsi
enne	`enne
või	või
suur	suurõ
paast	pastu
aeg	`aõgas
pidama	piäb
siis	siis
korjama	`korjama
öösel	`üese
küla	külä
laut	`lauttõ
kaudu	kaodu
mm	mm
salaja	salaea
niitma	`niitmä
aga	aga
sihuke	`sioksõ
koht	koha
pealt	piält
pidama	piäb
niitma	`niitmä
kus	kuss
suur	suurõmad
vill	`vjõlla
olema+ki	põlõgid
muidu	muedu
karv	`karvu
üksi	üksi
jalg	`jalgõ
pealt	piält
ning	ning
pea	piä
pealt	piält
ning	ning
siuke	`siokstõ
koht	`kohtadõ
pealt	piält
ning	ning
siis	siis
ä	ä
need	nied
vill	vjõllad
põletama	põlõttab
öösel	`üese
üks	ühes
koht	kohtas
rist+tee	rist+`tiede
peal	piäl
ära	ää
ning	ning
põletama	põlõttõt
karv	`karvu
e	e
nägema	`nähtüd
küll	küll
ka	kua
seal	siäll
Liiva	Liiva
aed	`aidõs
olema	ond
e	e
üks	üks
koht	koht
kus	kus
seal	siäl
tee	tied
käima	käüväd
rist	`risti
see	selle
tee	`tiede
rist	`riste
peal	piäl
olema	ond
nägema	`nähtüd
et	et
seal	siäl
olema	onn
põletama	põlõttõt
siuke	sioksi
karv	`karvu
või	või
siuke	sioksi
lopak	loppakku
siis	sis
panema	panõb
uus	uijed
raha	rahad
jälle	`jälle
sinna	`sjõnna
või	või
raha	rahad
jälle	`jälle
uus	uude
karv	`karvõssõ
jälle	`jällee
lammas	`lamba
karv	`karvõssõ
siis	s
hoidma	oeab
jälle	`jälle
üks	ühe
aasta	`aasta
teine	teese
aasta	`aasta
pidama	piäb
jälle	`jälle
uuesti	uijeste
korjama	`korjama
et	et
siuke	siukke
nuhtlus	`nuhtlus
tema	`talle
see	selle
vargus	`vargusõ
eest	iest
aga	aga
see	sedä
raha	raha
tema	ta
tarvitama	tarvitta
ei	ei
tohtima	tohe
ning	ning
siis	siis
kui	kui
surm	surm
hakkama	akkab
tulema	tulõma
siis	siis
muidu	muõdu
see	sellele
heh	heh
raha	raha
hoidja	`oidjalõ
surm	surm
ei	ei
tulema	tulõ
kui	ku
pidama	piäb
oma	oma
amet	amõtti
mõni	mõnõlõ
teine	teesele
ede+kohe	ede+gohõ
andma	`anma
siis	s
andma	andassõ
