ise	ise
jooma	jõi
sealt	siält
lähker	`lähkrist
töö	tüe
juures	jures
ka	koa
see	seda
hapu+piim	appu+`piimä
ristima	ris'tittud
nimi	nimi
olema	õl'i
Mihkel	`Mihkel
ja	ja
siis	siis
et	et
tema	ta
alati	alat'ti
lähker	`lähkriga
ühes	ühes
käima	käis
siis	sis
tema	tema
nimi	nimi
panema	`pan'di
Lähker	`Lähkri
Mihkel	`Mihkel
et	et
tema	ta
oma	õma
lähker	`lähkrid
millal+ki	millalgi
maha	maha
ei	ei
jätma	jätnd
no	no
jah	jahh
see	sie
olema	õl'i
siis	siis
siis	siis
mina	minu
ema	ema
ja	ja
siin	siin
siin	siin
elama	elasivad
siis	siis
olema	õl'i
siin	siin
olema	õld
siis	siis
nii+sugune	neesukkene
asi	as'i
et	et
seal	sial
olema	õl'i
siis	siis
mõis	`mõisa
ja	ja
mõis	`mõisa
laps	lapsed
ja	ja
siin	siin
olema	õl'i
siis	siis
siin	siin
olema	õl'i
siis	siis
mõis	`mõisa
jälle	jällä
käima	käis'iväd
ikka	ikke
mõis	`mõisa
töö	tüel
ja	ja
siis	siis
siin	siin
olema	õl'i
talu	talu
siin	siin
olema	õl'i
suur	suur
mets	mets
ja	ja
siis	siis
mina	minu
mees	mehe
mina	minu
mees	mehe
isa	isa
mina	minu
mees	mehe
isa	isa
vend	vend
olema	õl'id
nemad	nämad
olema	õl'ivad
siis	siis
olema	õld
jälle	jällä
laps	lapsed
kõik	kõik
ja	ja
ja	ja
siis	siis
jälle	jällä
mõis	`mõisasse
minema	läksiväd
isa	isä
ja	ja
ema	emad
mõis	`mõisa
töö	`tüesse
ja	ja
siis	siis
kask	kased
olema	õl'ivad
jooksma	`juoksnud
mahl	`mahla
vat	vatt
seda+viisi	sedä+viis'i
jälle	jällä
see	sie
mahla+riist	mahla+riist
olema	õl'i
keskel	`keskel
ja	ja
kolm	kolm
kask	`kaske
olema	õl'id
sedasi	sedäsi
nurgiti	nurget'ti
ja	ja
siis	siis
iga	igast
kask	kasest
jooksma	`juoksis
siis	siis
jälle	jällä
mahl	mahl
sinna	`sinna
riist	riista
sisse	`sisse
puu+riist	puu+riista
sisse	`sisse
ja	jaa
ja	ja
laps	lapsed
olema	õl'ivad
võtma	võtnd
õle+kõrs	õle+kõrred
ja	ja
käima	käind
siis	siis
imema	imemas
läbi	läbi
õle+kõrs	õle+kõrre
siis	siis
see	sedä
seal	sääl
siis	siis
olema	õl'i
see	sie
olema	õl'i
siis	siis
mina	minu
mees	mehe
isa	isa
isa	isa
vend	vend
poisi+kene	poisikkene
kolmekesi	kolmekkeisi
olema	õl'id
kolm	kolm
vend	`venda
ja	jaa
ja	ja
tema	tema
minema	läks
jälle	jällä
siis	siis
sinna	sinna
jälle	jällä
olema	õl'ivad
siga	sigu
hoidma	`oidmas
seal	sial
ja	ja
ja	ja
tema	tämä
minema	läks
see	sedä
imema	imema
see	seda
sinna	`sinnä
see	sedä
mahl	`mahla
seal	sial
ja	ja
hunt	un't
tulema	tul'i
mets	metsäst
ja	ja
võtma	`võt'tis
ja	ja
viima	vei
ära	ära
see	selle
poisi+kene	pois'ikkese
mets	`metsä
ja	jaa
ja	ja
siis	siis
teine	tõised
vend	vennad
jooksma	`jooksivad
siis	siis
sinna	sinna
Adraku	Adrakku
kus	koss
mõis	`mõisa
olema	õlnd
sealt	sält
mõis	`mõisast
siis	siis
abi	abi
kutsuma	`kutsuma
noh	nohh
sealt	sialt
olema	õl'id
siis	siis
mina	minu
ema	ema
ütlema	`ütles
et	et
et	et
meie	meije
olema	õl'ime
ütlema	`öelnd
et	et
meie	meije
ema	emad
tulema	tul'ivad
korjama	`kor'jasivad
meie	meid
kõik	kõik
ära	ära
et	t
meie	meij
olema	õl'ime
kõik	kõik
laiali	laijali
mängima	`män'gimas
ja	ja
kuulama	`kuulasivad
et	et
hunt	un't
jo	jo
üks	ühe
laps	lapse
olema	õl'i
ära	ära
viima	veend
ja	ja
siis	siis
tulema	tul'ivad
ja	ja
korjama	`kor'jasivad
meie	meid
kõik	kõik
siis	siis
kokku	`kokku
ja	ja
ratsa+hobune	`ratsa+obustega
tulema	`tul'di
siit	siit
mets	metsäst
siis	siis
siin	siin
taga	taga
ajama	aeama
aga	aga
noh	nohh
hunt	un't
minema	läks
jo	joo
siis	siis
nii+palju	nii+bal'ju
olema	õl'ivad
see	sest
laps	lapsest
siis	siis
kätte	`kätte
saama	saand
et	et
et	et
käsi	käs'i
esimene	es'imese
sõrm	sõrme
ja	ja
pöial	`peidlaga
seda+moodi	seda+`muodi
ja	ja
siis	siis
üks	üks
nisukene	nesukkene
tüki+kene	tükkikkene
pea	pia
nahk	`nahka
juuksed	`juuksed
küljes	kül'les
see	sedä
siis	siis
ema	ema
olema	õl'i
minema	lähnd
järele	järele
see	sedä
ema	ema
olema	õl'i
tooma	tuond
siis	sis
põll	põlle
sees	sies
siis	siis
tagasi	tagasi
see	sie
see	sie
see	sie
paik	paik
olema	on
siin+samas	siin+sama
mõni	mõn'i
samm	sammu
siit	siit
meie	meije
maja	maeast
minema	`mennä
mets	metsä
poole	`puole
kus	koss
see	sie
asi	as'i
sündima	`sün'dis
seda+viisi	seda+viis'i
olema	õl'i
siis	siis
jälle	jälle
siis	siis
see	sell
aeg	aeal
kui	kui
kui	kui
mina	minu
ema	ema
seal	sial
mõis	`mõisas
elama	eläs
mh	mhh
jaa	jaa
hunt	`un'tte
jah	jahh
no	no
need	neid
olema	onn
nüüd+ki	`nüütki
siin	siin`
ühte+lugu	ühte+lugu
aga	aga
nüüd	nüüd
see	seda
siin	siin
ei	eij
olema	õle
see	seda
nüüd	nüüd
olema	õld
et	et
nemad	naad
jälle	jällä
et	et
nemad	nad
inimene	in'imest
olema	onn
jälle	jällä
puutuma	`puuttund
koer	`kueri
viima	vivad
ära	ära
ja	ja
aga	aga
see	sell
aeg	aeal
siin	siin
olema	õl'i
siis	siis
jälle	jällä
Küta+metsa	Kütta+metsa
tema	taa
olema	onn
jälle	jällä
nüüd	nüd
nagu	nagu
kirik	ker'ikku
kiri	kir'jäs
ja	ja
vald	vallas
ja	ja
ja	ja
nõu+kogu	nõu+gogus
kus	koss
olema	onn
siis	siis
olema	onn
Adraku	Adrakku
küla	külä
nimi	nime
all	all
aga	aga
tema	ta
olema	on
nagu	nagu
eraldi	äräldi
siin	siin
siis	siis
jälle	jällä
noh	nohh
Adraku	Adrakku
Küta+metsa	Kütta+metsä
ikka	ikke
ütlema	`üeldässe
siis	sis
siin	siin
olema	õl'i
olema	õld
jälle	jällä
kui	kui
jälle	jällä
mina	minu
jälle	jällä
mees	mehe
isa	isä
ja	ja
ema	ema
siia	`seije
elama	eläma
tulema	tul'ivad
siis	siis
olema	on
siin	siin
olema	õlnd
nii	nii
hirmus	`irmus
suur	suur
mets	mets
et	ett
siin+samas	siin+sama
meie	meije
tuba	tua
taga	taga
ja	ja
siis	siis
olema	on
langema	`langend
need	neid
puu	puid
maha	maha
ja	ja
siis	siis
olema	on
nii	nii
palju	pal'lu
vesi	vett
olema	õld
et	et
jälle	jällä
et	et
kui	kui
astuma	`astusivad
puu	`puitte
peale	`piale
siis	siis
siis	siis
jälle	jällä
see	sie
vesi	ves'i
liikuma	`liikkus
ja	ja
olema	õl'id
siis	sis
niske	`nesked
pull	pullud
olema	on
tulema	tuld
siis	siis
vesi	vee
peale	`piale
siis	siis
hakkama	akkattud
Pullu+murd	Pullu+murd
ütlema	`ütlemä
see	seda
paik	`paikka
ja	ja
olema	on
praegu+ki	`praegugi
meie	meije
talu	talu
nimi	nimi
Pullu+murru	Pullu+murru
ja	ja
vanasti	vanasti
olema	on
sedasi	sedäsi
siis	siis
see	sie
nimi	nimi
tulema	tuld
ja	jaa
ja	ja
nemad	nämad
olema	on
hakkama	akkand
siis	siis
jälle	jällä
ehitama	ehittama
jälle	jällä
siia	`seije
siis	siis
see	sedä
maja	maea
noh	nohh
see	sedä
aeg	`aega
siis	siis
see	sie
enam	enamb
mina	minu
aeg	aeal
ei	eij
olema	õld
see	sie
olema	õl'i
enne	`enne
mina	minu
sündimine	`sün'dimist
aga	aga
aga	aga
vaatama	vaatta
vana	vanad
inimene	in'imesed
jälle	jällä
mina	minu
mina	minu
mina	minu
isa	is'a
mina	minu
mees	mehe
isa	is'a
olema	õl'i
ka	koa
kaheksa+kümmend+kuus	kaheksa+gümmend+kuus
aasta	aastad
vana	vana
kui	ku
ära	ära
surema	suri
siis	siis
tema	täma
ütlema	ütles
olema	õld
veel	vel
ise	ennast
noor	nuor
poisi+kene	pois'ikkene
kui	kui
nemad	nämäd
tulema	tul'ivad
jälle	jällä
Tõnu+saare	Tõnu+saare
küla	küläst
siia	`siije
elama	eläma
ja	ja
siis	siis
siis	siis
isa	isä
ja	ja
ema	ema
olema	on
kahekesi	kahekkesi
hakkama	akkand
siis	siis
oma	omale
siia	`seije
see	sedä
maja	maea
ehitama	ehittama
siit	siit
olema	on
siis	siis
see	sedä
see	sedä
plats	`plat'si
andma	`anttud
no	no
aga	aga
see	sell
aeg	aeal
ei	eij
olema	õld
jälle	jällä
noh	nohh
see	seda
saag	`saage
kes	kellega
puu	puid
lõikama	leigatta
kirves	kervestega
olema	on
raiuma	`räijund
ja	jaa
siis	siis
jälle	jällä
siis	siis
olema	on
Pihkva	`Pihkvas
Pihkva	`Pihkva
linn	linnas
noh	nohh
see	sedä
teadma	tiijatte
jo	jo
küll	küll
kus	koss
Pihkva	`Pihkva
olema	onn
ja	jaa
siis	siis
see	sie
jälle	jällä
isa	isä
olema	on
siis	siis
minema	lähnd
kui	kui
panema	pandud
suur	suur
leiva+kott	leeva+got't
juurde	`juurde
ja	ja
sool	`suola
ka	kaa
ei	eij
olema	õle
mujalt	mõealt
saama	saadud
kui	kui
Pihkva	`Pihkvast
siis	siis
olema	on
tema	ta
minema	lähnd
hobune	obusega
minema	lähnd
siis	siis
Pihkva	`Pihkvast
sool	`suola
tooma	`tuooma
ja	ja
siis	siis
olema	on
jälle	jällä
sealt	sialt
Pihkva	`Pihkvast
saama	saand
saag	sae
noh	nohh
sedasi	sedäsi
kes	kellega
nüüd	nüüd
lõikama	leigattasse
jah	jahh
ja	ja
tooma	tuoond
saag	sae
ja	ja
siis	siis
olema	on
imestama	imestattud
see	seda
saag	`saege
siis	siis
olema	on
tulema	tulnd
vaatama	`vaattama
kõik	kõik
ringi	`rin'gi
siit	siit
inimene	in'imesed
see	sedä
et	et
jälle	jällä
et	et
mis+sugune	mis+sugune
asi	as'i
et	et
mis	mis
nüüd	nüd
puu	puud
katki	`kat'ki
lõikama	`lõikkab
ja	ja
siis	siis
nemad	nämäd
olema	on
hakkama	akkand
siis	siis
puu	puid
lõikama	`lõikkama
ja	ja
ja	ja
mina	mull
olema	on
üks	üks
üks	üks
hoone	uone
veel	vel
üks	üks
ait	ait
olema	on
praegu	`praegu
veel	vel
see	selle
aegne	`aegne
mis	miss
esimene	es'imist
siin	siin
lõikama	lõigatti
see	sie
ait	ait
olema	on
veel	vel
noh	nohh
katus	kattust
olema	on
mitu	mittu
kord	`kõrda
uus	uus
tegema	tehtud
aga	aga
sein	seinad
olema	on
veel	vel
see	selle
aegne	`aeksed
mis	miss
siis	siis
see	selle
saag	`saega
lõikama	lõigat'ti
kui	kui
kui	kui
mis	miss
Pihkva	`Pihkvast
tooma	`toodi
ja	jaa
ja	ja
siis	siis
siis	siis
olema	on
peale	`piale
see	seda
hakkama	akkand
inimene	in'imesed
jo	joo
mitu	`mitmed
olema	onn
käima	käind
ja	ja
mõtlema	`mõtle
kus	koss
kus	koss
võtma	`võet'ti
ette	`ette
hobune	obusega
minema	`mindi
Pihkva	`Pihkvasse
mis	mess
ei	ei
siin	siin
ei	eij
olema	õle
esiteks	`esteks
olema	õld
mitte	`mitte
üks	`ühte
talu	talu
siis	siis
peale	`piale
sõda	sõda
hakkama	akkat'ti
siis	siis
ehitama	ehittama
talu	talusi
üks	üks
talu	talu
olema	onn
siit	siit
kui	kui
siit	siit
Adraku	Adrakku
küla	küla
poole	`poole
minema	`minna
olema	onn
nüüd	nüid
olema	on
tema	ta
jo	jo
väga	väga
lagunema	lagunend
kaks	kaks
vana+inimene	vana+in'imest
elama	elavad
seal	sial
sees	sies
ja	ja
ja	ja
jälle	jällä
tema	ta
tahtma	tahab
praegu	`paergu
pea+aegu	pia+`aegu
et	et
kael	`kaela
kukkuma	`kukkuda
see	sie
olema	onn
ka	koa
siis	sis
see	selle
aegne	`aegne
maja	maea
vat	vat
see	seda
ei	ei
mäletama	mäletta
ka	koa
keegi	`keski
enam	enam
see	selle
põlv	põlve
elama	elavat
kui	kui
vana	vana
see	se
maja	maea
olema	onn
Sipelga	Sippelga
jah	jahh
no	no
Küta+metsa	Küttä+metsä
tulema	tul'i
selle+pärast	selle+bäräst
et	et
jälle	jällä
et	et
siin	siin
mitte	mitte
miski	`mis'ki
keegi	kedägi
muu	muud
ei	eij
olema	õld
kui	ku
jälle	jällä
esmalt	`es'mält
kui	ku
siis	ss
püss	püs'sid
saama	`soadi
ja	ja
siis	siis
siis	siis
käima	käisivad
need	neid
hunt	`un'tta
jälle	jällä
siin	siin
laskma	`laskmas
ja	ja
siis	siis
kütt	küttad
käima	käis'ivad
siin	siin
ja	ja
siis	siis
sedasi	sedäsi
panema	`pan'di
siis	siis
Küta+metsa	Kütta+metsä
siin	siin
olema	õl'i
hirmus	`irmus
suur	suur
mets	mets
ja	ja
ja	ja
ja	ja
siis	siis
see	sell
aeg	aeal
siis	siis
mina	ma
ei	i
teadma	tia
ka	koa
mina	ma
see	sedä
ei	ei
kuulma	kuuld
ega	ega
mäletama	mäletta
kuidas	kuda
need	nied
püss	püs'sid
siis	siis
siginema	sigenesivad
kuidas	kuda
need	nied
esiteks	`estest
tulema	tul'ivad
aga	aga
et	t
siis	siis
ikka	ikke
püss	`püs'sisid
olema	õl'i
juba	juba
olema	õld
ja	ja
ja	jaa
siin	siin
jälle	jällä
noh	nohh
mina+ki	minugi
mees	mehe
isa	isal
olema	õl'i
ikka	kke
püss	püs's
siin	siin
olema	õl'i
nii	nii
palju	paelu
hunt	`un'tta
et	et
mina	minu
aeg	aea
sees	sies
juba	juba
kui	kui
mina	mina
jälle	jällä
juba	juba
siia	`siije
mees	mehele
tulema	tul'in
ja	ja
mina	minul
olema	õl'i
esimene	es'imine
laps	laps
see	si
olema	õl'i
see	selle
pool	puole
peal	päl
maja	maeas
no	no
siin	siin
mina	ma
magama	magasin
ja	ja
siis	siis
seal	sial
ots	õtsas
seal	sial
olema	on
köök	küek
talv	talve
aeg	aeg
olema	õl'i
ja	ja
laps	laps
ei	ei
jääma	jäänd
magama	magama
ja	ja
mina	maa
võtma	võt'tin
tuli	tule
kätte	`kätte
ja	ja
laps	lapse
teine	tõise
käsi+vars	kää+varre
peale	piale
ja	ja
minema	läksin
siis	siis
sinna	sinna
köök	`küekki
see	sie
olema	õl'i
talv	talve
aeg	aeg
siis	siis
minema	läksin
laps	lapsele
jooma	`juuwa
andma	`anma
aga	aga
sinna	`sinna
tuba	tua
otsa	`õtsa
olema	õl'i
palk	`pal'kka
niske	`neskene
suur	suur
riit	riit
palk	`pal'kka
vedama	`veettud
sinna	`sinna
nõnda	nõnna
et	t
vähe	vähä
aken	`aknani
olema	õl'i
ja	jaa
ja	ja
hunt	un't
vahtima	vahib
aken	`akna
ruut	ruuttust
sisse	`sis'se
jah	jahh
seal	sial
palk	`pal'kkide
peal	pial
mina	maa
ei	i
uskuma	`uskund
enne	`enne
see	se
asi	`as'ja
veel	vel
et	et
tulema	tul'in
sealt	sialt
ehmatama	ehmattasin
ära	ärä
ja	ja
tulema	tul'in
tagasi	tagasi
mees	mies
olema	õl'i
jo	juo
riie	`riidest
lahti	`lahti
magama	magamas
ja	ja
mees	mehe
isa	isä
tulema	tul'i
välja	`väl'ja
ja	ja
panema	pan'id
saabas	`saappad
jalg	`jalga
tema	tämal
olema	õl'i
püss	püs's
võtma	võttid
püss	püs'si
ja	ja
minema	läksid
välja	`väl'ja
aga	aga
no	no
siis	siis
olema	õl'i
ära	ära
kaduma	kadund
ja	ja
ütlema	`ütles't
et	et
jälle	jällä
et	et
kõik	kõik
olema	on
jälle	jällä
see+sama	sie+sama
ase	ase
kõik	kõik
värske	`värske
lumi	lumi
olema	õl'i
sadama	sadand
et	et
siis	ss
kui	ku
tema	ta
sedasi	sedasi
saba	sabaga
olema	õl'i
veel	viel
liigutama	liiguttand
kaks	kahele
pool	`puole
veel	vel
see	seda
lumi	lund
sealt	sialt
ära	ära
kõik	kõik
et	et
tema	täma
jälg	jäl'jed
kõik	kõik
ja	ja
karv	karvad
ja	ja
kõik	kõik
siis	siis
seal	siäl
maas	moas
siis	siis
siis	siis
uskuma	`uskusid
kindlasti	`kindlast
et	et
hunt	un't
olema	õl'i
ja	ja
hunt	un'di
jälg	jäl'jed
ja	ja
kõik	kõik
olema	õl'id
see	selle
aeg	aea
sees	sies
veel	vel
kui	kui
mina	mina
siin	siin
juba	juba
elama	eläsin
selle+pärast	selle+bäräst
olema	õl'i
siis	siis
olema	onn
siis	siis
nagu	nagu
Küta+metsa	Kütta+metsa
siin	siin
kuidas	kuda
no	no
eks	eks
eks	eks
nemad	nad
põld	`põldu
hakkama	akkand
sedasi	sedasi
siis	siis
tegema	tegem
et	et
raiuma	`räijusivad
mets	`metsä
maha	maha
ja	ja
ja	ja
jälle	jällä
kui	kui
jo	juo
saag	saed
olema	õl'ivad
võtma	võt'tivad
saag	`saagedega
ja	ja
ja	ja
siis	siis
siis	siss
laskma	las'ivad
need	nied
need	nied
puu	puud
kõik	kõik
seda+viisi	seda+viis'i
siis	siis
jälle	jällä
suur	suured
ja	ja
väike	veek'kesed
ja	ja
kõik	kõik
laskma	las'ivad
kõik	kõik
külili	kül'it'ti
üks	`ühte
hunnik	un'nikkusse
ja	ja
siis	siis
siis	siis
teine	tõine
aasta	`aasta
tegema	tegivad
siis	sis
seda+viisi	sedä+viis'i
ja	ja
siis	sis
jälle	jällä
seisma	`seis'is
talv	talve
ja	ja
teine	tõine
suvi	suvi
juba	juba
ja	ja
siis	siis
kui	kui
ära	ärä
kuivama	kuivivad
need	nied
puu	puud
siis	siis
panema	pan'ivad
põlema	põlema
ja	ja
põletama	põlettat'ti
siis	siis
need	nied
puu	puud
ja	ja
veeretama	vierettat'ti
see	seda
mäletama	mälettan
veel	viel
mina+ki	minagi
veeretama	vierettat'ti
siis	siis
jälle	jälle
need	neid
puu	puid
mööda	möda
maa	maad
nõnda	nõnna
et	t
et	et
et	et
tema	ta
siis	sis
see	selle
maa	maa
ja	ja
juur	juured
ja	ja
noh	nohh
siis	siis
härg	`ärgadega
hakkama	akkat'ti
siis	siis
see	seda
üles	ülesse
kündma	`kündma
sedasi	sedasi
tegema	`tehti
noh	nohh
see	sedä
ütlema	`üeldi
et	et
ale	ale
jah	jahh
kui	kui
jälle	jällä
mees	mehed
võtma	võt'tivad
kirves	`kerved
saag	saed
kätte	`kätte
ja	ja
minema	läksid
noh	nohh
mina	mina
olema	l'in
lapsukene	lapsukkene
veel	vel
et	et
kuhu	kuhu
nüüd	nüd
minema	lähväd
isa	isä
ja	ja
vend	vennad
ja	jaa
minema	lähväd
ale	alet
raiuma	`räijuma
jah	jahh
siis	sis
sedasi	sedäsi
ikka	kke
suur	suured
plats	plat'sid
võtma	võet'ti
mets	`metsä
kõik	kõik
lade	lademesse
kõik	kõik
seda+viisi	sedä+viis'i
need	nied
puu	puud
ja	ja
siis	siis
siis	siis
põletama	põlettet'ti
ära	ära
ja	ja
siis	siis
tegema	`tehti
naeris	`naerid
esiteks	`estest
sinna	sinna
siis	siis
olema	õl'ivad
niskene	`neskesed
noh	nohh
see	seda
sort	`sor'tti
naeris	`naarid
kohe	kõhe
niskene	`neskesed
ümmargune	ümmargused
kõik	kõik
mis	miss
siis	siis
jälle	jällä
tuli	tule
ase	asemette
peal	pial
kasvama	kas'vivad
seda+viisi	sedä+viis'i
olema	õl'i
siis	siis
mina	minu
aeg	aea
sees	sies
jah	jahh
ja	jaa
ja	ja
siis	siis
natuke	nattukkese
olema	õl'i
noh	nohh
vili	`vil'jä
ja	ja
kus	kuss
sirp	`sirppidega
lõikama	`lõikkasime
rukis	`rukkis
ja	ja
ja	ja
koot	`koot'tidega
peksma	peksime
ja	ja
ja	ja
siis	siis
olema	õl'ivad
puu	puust
nisuke	nisukkesed
nagu	nagu
nüüd+ki	`nüütki
olema	onn
nagu	nagu
niuke	niukst
redel	redel'id
panema	`pan'di
vili	vil'i
sinna	`sinna
ja	ja
siis	siis
kui	kui
vili	vil'i
jo	jo
olema	õl'i
kuiv	kuiv
siis	siis
vedama	`veet'ti
noh	nohh
rehe+tuba	rehe+dubad
ja	ja
ja	ja
rehe+alune	rehe+alused
ütlema	`üel'di
siis	siss
seal	sial
rehe+tuba	rehe+duas
olema	õl'i
ahi	ahi
nukk	nukkas
nüüd	nüüd
mis	miss
suits	`suitsu
ja	ja
mis	miss
sisse	`sis'se
küdema	küdes
mitte	`mitte
korsten	`korstnat
peal	pial
ei	eij
olema	õld
siis	siss
seal	sial
olema	õl'ivad
niske	`niskesed
puu	puud
kõik	kõik
siis	siis
üle	üle
see	selle
hoone	`oone
ja	ja
siis	siss
see	sie
vili	vil'i
panema	`pan'di
üles	ülesse
sinna	`sinna
puu	`puitte
peale	`piale
mh	mhh
noh	nohh
need	nied
olema	õl'id
niske	`niskesed
noh	nohh
muidu	muidu
aga	aga
niisuke	niisukkesed
peenike	peen'ikkesed
puu+latt	puu+lat'tid
kus	koss
peal	pial
vili	vil'i
seisma	`seisis
üleval	ülevel
muidu	muidu
muidu	muidu
ei	ei
seisma	seisnd
vili	vil'i
üleval	ülevel
nii	niij
et	et
pars	parred
need	nied
ütlema	`üel'di
rehi	rehe
pars	parred
pars	partte
peale	`piale
panema	`pan'di
jälle	jällä
need	nied
see	sie
vili	vil'i
ja	ja
siis	sis
kütma	küttet'ti
nii	nii
kaua	kavva
kui	kui
vili	vil'i
olema	õl'i
juba	juba
kuiv	kuiv
siis	siis
vara	vara
hommikul	ommukku
juba	juba
nii	nii
kui	kui
vata	vatta
see	sell
aeg	aeal
jo	juo
sügisel	sügise
päev	pääv
olema	õl'i
lühike	lühikkene
siis	siis
pidama	pid'i
jo	juo
nii	nii
kui	ku
vähe+ki	vähägi
valge	`valget
hakkama	`akkas
siis	siis
jälle	jällä
siis	siis
hang	`angudega
siis	siis
laskma	`las'ti
need	neil
puu	puitte
pealt	pialt
vili	vil'i
maha	maha
ja	ja
hang	`angudega
ajama	`aet'ti
kõik	kõik
rehi	rehe
alla	`alla
ajama	`aet'ti
rehi	rehe
alla	`alla
ja	ja
siis	siis
härg	ärjäd
peale	`piale
härg	`ärgadega
siis	siis
jälle	jällä
siis	siis
tallama	tallat'ti
aga	aga
pärast	päräst
olema	õl'id
juba	juba
hobune	obused
no	noo
kaks	kaks
härg	`ärga
olema	õl'i
kaks	kaks
härg	`ärga
olema	õl'i
teine	tõine
olema	õl'i
ees	ies
ja	ja
siis	siis
teine	tõine
teine	tõine
härg	ärg
olema	õl'i
siis	siis
jälle	jällä
käima	käis
teine	tõise
järele	järäle
üks	üks
üks	üks
mees	mies
istuma	`istus
nüüd	nüüd
härg	`ärgadel
olema	õl'id
siis	siis
jälle	jällä
seal	sial
küljes	kül'les
jälle	jällä
need	nied
noh	nohh
pähe	pähä
panema	pandud
nisuke	nesukkesed
ike	`ikked
ütlema	`üel'di
jälle	jällä
siis	siis
need	neije
küljes	kül'les
olema	õl'ivad
köis	kööjed
ja	ja
siis	siis
seda+viisi	sedä+viis'i
nemad	nad
olema	õl'id
ära	ärä
õppima	`õppind
ja	ja
käima	käes'ivad
sedasi	sedäsi
siis	siis
ringi	`ringi
see	sie
olema	õl'i
siis	siis
esiteks	`estest
aga	aga
pärast	päräst
juba	juba
hakkama	akkat'ti
hobune	obustega
pärast	päräst
jälle	jällä
olema	õl'id
hobune	obused
juba	juba
siis	siis
seal	siäl
peal	pial
laskma	`las'ti
siis	siis
ringi	`ringi
hobune	obust
käima	`käija
mees	mies
olema	õl'i
jälle	jällä
hoidma	`oidis
jälle	jällä
hobune	obuse
ratsuti	ratsut'tid
jälle	jällä
pihk	pihus
ja	ja
siis	siis
hobune	obune
käima	käis
sedasi	sedasi
ringi	`ringi
astuma	`astus
jälle	jällä
samm	samu
edesi	edesi
siis	siis
minema	läks
jälle	jällä
ring	`ring
teine	`teisi
koht	`kohta
ja	ja
seda+moodi	seda+mod'i
nii	nii
kaua	kavva
kui	kui
saama	sai
jo	juo
see	sie
rehe+alune	rehe+alune
siis	siis
jo	juo
üle	üle
kõik	kõik
aga	aga
jälle	jällä
eks	eks
siis	siis
olema	õld
seda+moodi	seda+`muodi
et	et
vata	vatta
hobune	obune
tegema	tieb
ju	juo
miski	midagi
miski	midagi
halb	`alba
ju	juo
sinna	sinna
vili	vil'ja
peale	`piale
ja	ja
see	sie
ei	ei
kõlbama	kõlvand
ju	juo
siis	siis
sinna	sinna
hulka	`ulkka
jääma	`jääda
siis	siis
jätma	`jäet'ti
hobune	obune
seisma	`seisma
ja	ja
siis	siis
olema	õl'i
see	selle
jaoks	jaust
jälle	jällä
see	selle
jaoks	jaust
korv	kor'viga
jälle	jälle
üks	üks
lapsukene	lapsukkene
siis	siis
kes	kess
see	selle
ära	ära
korjama	`kor'jas
siis	siis
siis	siis
kui	kui
jälle	jällä
rehi	`rehte
tallama	tallat'ti
siis	siis
siis	siis
olema	õl'i
üks	üks
olema	õl'i
tema	ta
siis	siis
poiss	pois's
või	vai
tütar+laps	tüttar+laps
või	vai
aga	aga
see	sie
olema	õl'i
siis	siis
see	selle
amet	amet'ti
peal	pial
valvama	`valvas
kohe	kõhe
ja	ja
sedasi	sedasi
siis	siis
kui	kui
kaks	kaks
hobune	obust
olema	õl'i
siis	siis
teine	tõine
hobune	obune
olema	õl'i
teine	tõise
saba	sabasse
siduma	`siuttud
siis	siis
käima	käis
kaks	kaks
hobune	obust
seda+viisi	seda+viis'i
ringi	`ringi
nii	nii
kaua	kava
kui	kui
jälle	jällä
juba	juba
vili	vil'ja
tera	terad
jo	juo
kas	kass
kaer	kaer
ehk	ehk
oder	odra
ehk	ehk
tulema	tul'i
pea	`piade
otsast	õtsast
ära	ära
siis	siis
olema	õl'ivad
need	nied
ütlema	`üel'di
reha	reha
siis	siis
jälle	jällä
rehi	rehe
reha	reha
olema	õl'i
see	sie
olema	õl'i
nüüd	nüd
harv	arva
pulk	`pulkkadega
ja	ja
siis	siis
siis	siis
võtma	`võet'ti
seda+moodi	seda+`muodi
jalg	jalg
üles	ülesse
ja	ja
ja	ja
siis	siis
sedasi	sedasi
raputama	rapputtet'ti
siis	siis
see	selle
reha	rehaga
need	nied
põhk	põhud
välja	`väl'ja
tera	terad
põhk	`põhkude
seest	siest
välja	`väl'ja
ja	ja
siis	siis
siis	siis
kandma	`kan'tti
põhk	põhud
jälle	jällä
siis	siis
jälle	jällä
ära	ära
jälle	jällä
oma	oma
paik	`paikka
ja	ja
lakk	`lakkadesse
ja	ja
kuhu	kuhu
põhk	põhud
panema	`pan'di
põhk	põhud
põhk	põhud
ajama	`aet'ti
põhk	põhudele
või	või
sedasi	sedasi
saama	sai
puistama	`puistettud
noh	nohh
see	selle
see	selle
töö	tüe
tegija	tegija
olema	õl'in
mina+ki	minag
ikka	ikke
saama	sai
seda+viisi	seda+vis'i
puistama	`puistettud
siis	siis
tegema	tegime
nisuke	`neskese
pikk	pikka
rida	rida
see	seda
ütlema	`üel'di
mauk	mauk
jah	jahh
siis	siis
see	sie
olema	õl'i
põhk	põhu
mauk	mauk
siis	siis
ja	ja
siis	siis
võtma	`võet'ti
hang	`angudega
