"V1"	"V2"
"viisukene"	"viisokkõsõ"
"villikene"	"villikese"
"voldike"	"voldikkese"
"voonakene"	"oonakkõsõ"
"voonakene"	"oonakkõsõq"
"voonakene"	"voonakkõsi"
"võiraasuke"	"voiraasukkese"
"vähekene"	"vähegene"
"vähekene"	"vähekkene"
"vähekene"	"vähäkke"
"vähekene"	"vähäkkene"
"vähekene"	"vähäkkese"
"vähekene"	"vähäkkäne"
"vähekene"	"väkke"
"vähike"	"vähiksed"
"väikekene"	"väikkokkõsõ"
"väikesekene"	"väikkokkõnõ"
"väikesekene"	"väikkokkõsõ"
"väikesekene"	"väikkokkõsõq"
"väikesekene"	"väikkokõnõ"
"väikesekene"	"väiksekkene"
"väikesekene"	"väiksekkõnõ"
"väikseke"	"väiksekse"
"väiksekene"	"väikkokkõst"
"vöökene"	"vüükkeseq"
"õeke"	"õege"
"õeke"	"õekkõnõ"
"õhvakene"	"õhvakkeseq"
"õlakene"	"olõkkõsõ"
"õlakene"	"õlukkõst"
