kosjas	kosjas
siis	siis
oma	oma
põld	põllu
peal	pial
sina	sa
ümber	`ümmer
ei	ei
saama	saand
pidama	piad
teine	teise
põld	põllu
peal	pial
ümber	`ümmer
pöörama	`pöörama
kui	kue
sina	sa
saama	said
tagasi	tagasi
minema	`minna
jah	jahh
ja	ja
hark+sahk	ar'k+sahad
olema	olid
kõik	kõigil
iga+üks	iga+öhöl
raud+sahk	raud+`sahka
ei	ei
olema	olnd
kevadel	kebadi
vara	vara
olema	olid
põld	põllud
inimene	inimesi
täis	täis
ee	ee
seal	sial
meie	`meittel
olema	olid
iga+üks	iga+ühül
kaks	kaks
hobune	oost
ja	ja
kaks	kaks
inimene	inimest
olema	olid
või	või
naine	naised
või	või
kes	kiss
tahtma	`tahte
olema	olid
sahk	saha
taga	taga
jah	jah
enamasti	änamasti
olema	olid
küll	küll
noor	noored
naine	naised
ega	ega
vana	vanu
naine	`naisa
enam	änam
sahk	saha
taga	taga
palju	paelu
ei	i
olema	ond
aga	aga
mees	mehid
ja	ja
ikka	`ikke
noor	noored
naine	naised
olema	olid
sahk	saha
taga	taga
hommikul	omingu
vara	vara
välja	`väl'la
ja	ja
jah	jahh
ei	ei
palju	paelut
ee	ee
seal	seal
e	e
kus	kuss
mina	mina
raba	rabas
olema	olin
palju	paelut
sügisel	sügisi
ei	ei
kündma	`künttud
see	see
sügisel	sügise
aga	aga
kevadel	kebadi
siis	sis
hakkama	`akkas
kohe	kohe
kündma	`künma
kevadel	kebadi
vara	vara
nii+kui	`nii+gui
maa	maa
lubama	lubab
hakkama	`akkast
enne	enne
kündma	`küntsid
põld	põllu
ära	ära
aga	aga
siis	sis
ee	ee
seeme	`seemne
tegemine	tegemene
nii	nii
ruttu	`ruttu
ei	ei
olema	ond
seeme	`seemne
tegemine	tegemene
olema	oli
ikka	`ikke
naa	naa
üks	üks
e	e
mm	mm
noh	noh
peale	`piale
jüri+päev	juri+bääd
mm	mm
siis	siis
olema	oli
naa	naa
üks	üks
e	e
paar	paar
nädal	nädalid
siis	siiss
olema	oli
kibe	kibe
seeme	`seemne
tegemine	tegemene
juri+päev	juri+bä
see	see
olema	oli
see	see
õõ	õõ
sättima	`säettud
aeg	aeg
siis	siis
minema	läksid
jälle	jälle
siis	s
nemad	nad
kõik	kõik
teo+mees	`teo+meed
ja	ja
sulane	sulased
ja	ja
suiline	`suilest
kes	kiss
keegi	kellegil
kauplema	kaobeldud
jüri+päev	juri+bää
ikka	`ikke
hommikul	omingu
välja	`väl'la
jälle	`jälle
ja	ja
karja+poiss	karja+poiss
minema	läks
ka	koa
jüri+päev	juri+bää
hommikul	omingu
kohe	kohe
välja	`väl'la
jah	jahh
meie	`meittel
olema	olid
karja+poiss	karja+poisid
ka	koa
karja+poiss	karja+boiss
saama	sai
iga	igast
pere	perest
ee	ee
hommikune	ominguse
leiva+kott	leba+kotti
ja	ja
siis	siiss
õhtul	`õhta
minema	läks
ära	ära
et	et
teine	teese
hommikul	omingu
saama	sai
teine	teiss
pere	perest
karja+kott	karja+kotti
ja	ja
käima	köis
suvi	sui
läbi	läbi
kari	`karjas
jah	jah
juri+päev	juri+bä
paiku	`paikku
siis	siis
olema	olid
siis	siis
suiline	`suilised
ja	ja
kõik	kõik
kes	kiss
minema	läkst
teenima	`teenima
jüri+päev	juri+bääba
välja	`väl'la
ja	ja
mihkli+päev	`mihkle+bää
siis	siis
olema	oli
lõpp	lõpp
no	noo
varane	varemal
aeg	aeal
olema	oli
rohi	`rohtu
pidama	piab
ütlema	`ütlema
mina	mina
teadma	tian
kui	kui
mina	mina
poisi+kene	poisikke
olema	olin
kevadel	kebadi
vara	vara
olema	olid
nii	nii
ilus	ilust
soe	soead
päev	pääbad
ja	ja
jüri+päev	juri+bää
olema	oli
rohi	`rohtu
väljas	`väl'las
küll	küll
ja	ja
nii	niij
et	et
loom	loomad
sööma	`süija
saama	said
no	noo
enne	`enne
olema	oli
ju	juu
ka	koa
jälle	`jälle
siis	s
samane	samane
hein	eenad
ja	ja
tegu	teo
aegu	`aegas
olema	oli
ju	juu
inimene	inimest
ei	ei
jõudma	jõun
naa+palju	`naa+baelu
hein	`eine
tegema	tiha
söötma	`söötsid
katus	kattusid
veel	veel
kui	kui
hein	eenad
kevadel	kebadi
otsa	`otsa
saama	said
õlg	õlest
katus	kattused
võtma	`võttis
kevadel	kebadi
katus	kattuse
pealt	pialt
ära	ära
ja	ja
siis	siis
kui	ku
tema	ta
rukis	rukkid
ära	ära
lõikama	`lõikkas
siis	siis
tegema	tegi
jälle	jälle
katus	kattuse
uuesti	uijeste
peale	`piale
jah	jahh
ja	ja
loom	loom
olema	oli
ju	ju
nälg	`näl'gas
minema	läks
närima	näris
lepp	leppa
oks	`oksi
ega	ega
tema	ta
siis	s
ära	ära
surema	surnd
enam	änam
mitte	`mette
kui	ku
tema	ta
välja	`väl'la
minema	läks
jah	jah
seoke	`seokke
olema	oli
see	see
elu	elu
mina	maa
see	sest
ei	ei
teadma	tia
suur	suurt
rääkima	räägi
võib+olla	võib+olla
et	t
mõni	mõni
pidama	pidas
aga	aga
aga	aga
ju	juu
ikka	`ikke
püüdma	`püitti
naa	naa
päev	`päeba
vaatama	vaadatta
ka	koa
lau+päevane	`laubast
päev	`päeba
pidama	`peetti
ikka	ikke
kõige	kõege
hea	paremasse
välja	`väl'la
laskma	`laska
reede	`reede
see	see
olema	oli
küll	küll
vast	vast
neoke	`neokke
see	seda
ei	ei
tahtma	tahettud
töö	töö
alus	aluses
panema	`panna
hästi	`iaste
jah	jahh
ja	ja
no	noo
arv	`arvu
või	või
keegi	kedagi
pidama	pidada
ega	ega
siis	siis
see	see
ee	ee
vana+pagana+tosin	vana+pagana+tosin
olema	oli
kolm+teist	kolm+teist
number	nummert
see	seda
nemad	näd
põlgama	`põlgast
ka	koa
vana+pagan	vana+pagana
tosin	tosin
jah	jahh
jah	jahh
kolm	kolm
kolm	kolm
kolm	`kolmes
järk	`järkkus
olema	olid
siis	siss
kui	kui
mina	mina
poisi+kene	poisikke
olema	olin
üks	üks
olema	oli
kesa	kesa
üks	üks
olema	oli
rukis	`rukki
all	all
üks	üks
olema	oli
siis	sis
kartul	`kardult
oder	odrad
ja	jaa
neoke	neost
õue+maa	õuwe+maade
peal	pial
olema	olid
siis	sis
hernes	`erned
veel	veel
ja	ja
uba	uad
ja	ja
lääts	läätsid
ja	ja
neoke	neost
aga	aga
kolm	kolm
kolm	kolm
külvi+kord	külvi+`korda
olema	oli
rohkem	`rohkem
ei	ei
olema	ond
aga	aga
siin	sii
pärast	pärast
lõpp	`lõppude
lõpp	lõppuks
kui	kui
meie	meil
juba	juba
krunt	rundid
kätte	`kätte
andma	`antti
ja	ja
no	no
siis	siiss
olema	oli
kuus	kuus
seitse	seetse
kord	`korda
ikka	`ekke
ja	ja
siis	siiss
olema	oli
elu	elu
hea	ea
no	no
siis	siiss
ei	ei
olema	ond
meie	`meittel
keegi	kellegil
maksma	`maksa
ka	koa
mitte	`mitte
Vene	vene
riik	riigi
aegu	`aegas
see	see
olema	oli
õõ	õõ
õõ	õõ
meie	meil
kroonu	roonu
vald	vald
õ	õ
maks	`maksu
keegi	kedagi
ei	ei
olema	ond
ja	ja
ee	ee
riik	riik
e	e
tegema	tegi
krunt	rundid
kõik	kõik
valmis	valmisse
ka	koa
ja	ja
andma	`andis
kätte	`kätte
elama	elage
jah	jahh
ja	ja
siis	siiss
olema	oli
elu	elu
kuldne	`kuldne
jah	jah
siis	siiss
juba	juba
pank	pangad
olema	olid
raha	raha
täis	täis
ja	ja
kõik	kõik
jah	jahh
aga	aga
enne	`enne
kui	kui
killu+põld	killu+põllud
olema	olid
siis	siss
ei	ei
olema	ond
ja	ja
siis	sis
olema	oli
meie	meil
rent	ren't
peal	pial
ka	kaa
kui	kui
killu+põld	killu+põllud
olema	olid
jah	jahh
siilu+põld	siilu+põllud
neoke	neost
pisike	pissed
kild	killud
kitsas	`kitsad
olema	olid
iga	igas
kolmandis	kolmandes
olema	oli
viis	viis
põld	`põldu
jah	jahh
ee	ee
kolm	kolm
õ	õ
külvi+kord	kül'vi+`korda
olema	oli
iga	igas
kolmandis	kolmes
olema	oli
viis	viis
põld	`põldu
jah	jahh
kesa	kesa
üks	üks
olema	oli
kesa	kesa
jah	jahh
ja	ja
siis	siiss
e	e
kolmas	kolmanda
peal	pial
olema	oli
kartul	`kardult
oder	odrad
ja	ja
kaer	`kaera
ka	koa
siis	sis
olema	oli
need	need
olema	olid
jah	jahh
need	need
olema	olid
külvi+kord	kül'vi+korrad
jah	jahh
no	no
siis	siss
juba	juba
tegema	`tehti
kõik	`kõikki
e	e
sega+vili	sega+`vil'ja
ja	ja
kõik	`kõikki
ja	ja
ristik+hein	rist+`eina
ja	ja
timut	timuttid
neoke	neokst
kui	kui
kui	kui
jälle	`jälle
siis	s
samane	samane
krunt	rundid
andma	`antti
juba	juba
ah	ah
teine	teiste
peale	`piale
kui	kui
no	no
siis	siiss
olema	oli
rukis	rukki
kesa	kesa
ära	ää
oder	odrad
ja	ja
siis	siss
sega+vili	sega+vili
ja	ja
ristik+hein	`rist+ein
ja	ja
timut	timut
ja	ja
sedasi	sedasi
kõik	kõik
nii	niij
et	et
kuus	kuus
seitse	seitse
külvi+kord	külvi+`korda
olema	oli
joo	joo
kesa	kesa
peal	pial
ei	ei
olema	olnd
miski	midagi
mõni	mõni
tegema	tegi
ka	kaa
aga	aga
see	see
hea	ia
ei	ei
olema	ond
ee	ee
siis	siiss
andma	`andis
ikka	ikke
rukis	rukki
andma	`andis
ikka	ikke
väike	vähema
saak	saagi
hea	ia
ei	ei
olema	ond
jah	jahh
aga	aga
kesa	kesa
ikka	ikke
seisma	`seisis
ja	ja
kesa	kesa
saama	sai
ikka	ikke
ikka	ikke
suvel	sui
ikka	ikke
e	e
läbi	läbi
kündma	`künttud
ka	koa
nii	niij
et	et
rohi	rohi
ei	ei
saama	saand
peale	`piale
kasvama	kasuda
nii	niij
et	et
kesa	kesa
olema	oli
täitsa	täitsa
must	must
jah	jajh
jah	jahh
ja	ja
kesa	kesa
siis	siis
kandma	`kandis
vili	`vil'ja
küll	küll
ka	koa
meie	`meittel
olema	olid
siin	sii
kaunis	kaunis
hea	iad
maa	maad
seal	sial
raba	rabas
ka	koa
e	e
need	neid
kord	`kordi
olema	oli
olema	oli
küll	küll
et	et
ee	ee
kasvama	kasvas
nii	nii
hästi	`iaste
et	et
jätma	`jättis
ilma	ilma
lööma	lõi
maha	maha
jah	jahh
kui	kui
liiga	`liiga
paks	paks
külv	küli
olema	oli
ja	ja
või	või
neoke	`neokke
kevadel	kevadi
väga	väga
hea	ia
aeg	aeg
olema	oli
ja	ja
jah	jahh
ja	ja
see	see
olema	oli
ka	koa
meie	`meittel
ee	ee
vana+rahvas	vana+`rahval
kui	kui
ikka	ikke
rukis	rukki
seeme	`seemne
tegemine	tegemene
olema	oli
püüdma	`püitsid
ikka	ikke
vana	vanas
kuu	kuus
tegema	teha
maha	maha
vana	vana
kuu	kuu
rukis	rukki
ee	ee
vana	vanad
mees	mehed
ütlema	`ütlest
enne	enne
kaduma	kaub
mets	`metsas
paju+põõsas	paiju+põõsas
kui	kui
vana	vana
kuu	kuu
rukis	rukki
aga	aga
noor	noore
kuu	kuu
rukis	rukki
talv	talve
võtma	`võttis
ära	ära
ja	ja
need	neid
kord	`kordi
olema	oli
küll	küll
talvel	talve
kevadel	kevadi
neoke	`neokke
õõ	õõ
pikaldane	pikkalane
sula	sula
olema	oli
ja	ja
jää	jää
ja	ja
lumi	lumi
paistma	`paistis
ära	ära
tõmbama	`tõmmas
nii	nii
puhas	`puhtas
ja	ja
mitte	`mette
üks	üks
lill	lill
ei	ei
tulema	tund
aga	aga
ütlema	`ütsid
et	et
vana	vana
kuu	kuu
rukis	rukki
ei	ei
ei	ei
kartma	`kartvad
jah	jahh
ikka	ikke
püüdma	`püitsid
kui	kui
rohkem	`rohkem
vana	vana
kuu	kuu
olema	oli
aga	aga
noh	noh
kui	kui
aeg	aeg
seoke	`seokke
olema	oli
seeme	`seemne
tegemine	tegemene
aeg	aeg
siis	siss
ikka	ikke
tegema	`tehti
maha	maha
jah	jahh
jah	jahh
ja	jaa
e	e
meie	meittel
olema	oli
ju	ju
loom	`loomade
juures	`juures
käima	`köija
ja	ja
jooksma	`joosime
jälle	jälle
aga	aga
siis	s
nägema	nä
nüüd	nüid
olema	on
nii	nii
võhmatu	võhmattu
et	et
ja	ja
nii	nii
kaua	kauwa
äh	äh
ä	ä
ja	ja
mõtlema	`mõtled
et	et
mina	maa
isa	isa
ema	ema
olema	oli
nii	nii
vana	vana
noh	nohh
kui	kui
nagu	nagu
surma+tänu	surma+tänu
ennem	ennem
ju	ju
kirik	kirikkus
tegema	`tehti
ja	ja
isa	isa
elama	elas
siis	siis
üheksa+kümmend	ühüssa+gümmend
kolm	kolm
neli	neli
päev	`päeba
olema	oli
puudu	`puudu
jääma	jäen
ja	ja
mina	maa
nüüd	nüid
nii	nii
vana	vana
et	et
võeh	võeh
ikka	`ikke
vana	vanemasse
veel	veel
et	et
et	et
seda+moodi	säda+`moodi
jah	jahh
ee	eeq
ee	ee
kuidas	kuda
kari	`karjas
käima	köisime
muud+kui	mutku
jooksma	`joosime
ja	ja
mets	`metsas
kaudu	kauda
ja	ja
ja	jaa
hunt	`un'tta
olema	oli
aga	aga
mina	maa
elu	elus
hunt	`un'tti
ei	eij
olema	ole
nägema	näind
tema	tiä
tegema	tegi
seal	sial
pahandus	pahandust
mitu	`mötmes
aga	aga
ei	ei
mina	minu
loom	`loomade
kallale	kallale
ei	ei
juhtuma	`juhtund
tema	tä
tulema	tulema
lammas	`lambud
ega	ega
sedasi	sedasi
jälle	`jälle
aga	aga
aga	aga
hunt	`un'tta
olema	oli
seal	seal
jälle	jälle
olema	oli
üks	ühül
e	e
lau+päev	`lauba
öösel	`üüsi
üks	ühü
hobune	obuse
varss	varsal
olema	olid
siit	siit
lõua+alune	lõuwa+alust
suur	suured
kraaps	raapsud
aga	aga
jääma	jäi
elama	elama
mõtlema	`mõtlesi
mis	mes
see	see
olema	oo
vaatama	vaatta
ennem	ennem
olema	olid
ju	ju
parun	parunid
ja	ja
siis	siss
jälle	`jälle
kui	ku
kui	ku
nemad	nad
mis	mis
see	see
koera+poiss	koera+poiss
täna	täna
ometi+ki	ommettigi
taga	taga
ajama	aeab
ja	ja
plaksutama	laksuttab
püss	`püs'si
ja	ja
no	no
vaatama	vaatta
poiss	poiss
e	e
see	see
koera+poiss	koera+poiss
olema	oli
sinna	`sinna
tulema	tulnd
e	e
kus	kuss
koht	`kohtas
hunt	un't
nagu	nagu
hobune	obuste
kallal	kallal
seal	seal
olema	oli
olema	oln
meie	me
kuulma	`kuulsime
hunt	un't
aga	aga
ei	ei
jääma	jäi
mina	minol
nägema	nägematta
ei	ei
mina	maa
elu	elos
hunt	`un'tti
ei	eij
olema	ole
nägema	näind
et	et
seda+moodi	seda+`moodi
jah	jahh
pahandus	pahandust
tegema	tögid
lammas	`lambud
murdma	`murtsid
ja	ja
jälle	`jälle
ja	ja
hobuse+varss	obuse+`varsu
ja	ja
sedasi	sädasi
olema	oli
palju	paelu
aga	aga
noh	noh
nüüd	nüid
need	neid
aga	aga
nüüd	nüid
olema	oli
ju	ju
siin+ki	`siigi
alles	alles
õ	õ
mõni	mõni
aasta	`aasta
tagasi	tagasi
kui	kui
nemad	nad
murdma	`murtsid
lammas	`lambud
palju	paelu
meie	meil
oma	omal
olema	oli
ju	ju
siin+samas	sii+samasel
lähedal	lähedal
põld	põllal
ja	ja
ja	ja
murdma	`murdis
ära	ää
aga	aga
mina	maa
ei	i
juhtuma	`juhtund
nägema	nägema
mõtlema	`mõtle
tall	talled
jooksma	`joosid
kaks	kaks
tükk	`tükki
õu	`õuwe
mina	maa
hakkama	`akkasin
need	neid
ajama	aeama
tall	tall
see	see
ei	ei
minema	lähä
no	no
vaatama	vaatta
kisama	kisasin
nagu	nagu
ja	ja
taplema	`taplesin
ja	ja
siis	s
vaatama	`vaattan
vana	vana
pikali	pikkali
maas	maas
minema	lähän
sinna	`sinna
s	s
surema	surnd
jah	jah
ja	ja
vana	vana
olema	oli
kett	`kettis
jah	jahh
selle+pärast	selle+pärast
tema	tää
olema	oles
tema	tä
ära	ää
viima	viind
aga	aga
kett	kett
olema	oli
kõvasti	kõbaste
küll	küll
sirgel	`sirgel
ja	ja
ka	ka
aga	aga
tema	tä
ei	ei
saama	saand
vaatama	vaatta
kett	`kettis
olema	oli
kinni	`kinni
nagu	nagu
jah	jahh
mina	ma
minema+ki	läksingi
peale	`piale
aga	aga
mina	maa
enam	änam
hunt	`un'tti
ei	ei
nägema	näind
mets	mets
olema	oli
seal+samas	seal+samasel
lähedal	lähedal
ja	ja
ja	ja
olema	oli
e	e
mets	`metsa
jälle	`jälle
minema	läind
või	või
kus	kus
kus	kus
tema	ta
saama	sai
aga	aga
ei	ei
nägema	näind
jah	jahh
jah	jah
ei	ei
siis	siiss
olema	oli
küll	küll
ikka	`ikke
nii	nii
häda	äda
siin	sii
Kiisa+ma	Kiisama
küla	külas
seitse	seeitse
lammas	lammast
see	selle
suvine	subise
ütlema	`ütles
murdma	`murdis
ära	ää
jah	jahh
e	e
jah	jahh
e	e
mis	mis
teie	te
ütlema	`ütlesitte
ikka	`ikke
ikka	`ikke
olema	oli
palju	paelu
jah	jahh
aga	aga
ei	ei
mina	ma
ei	ei
jah	jahh
jälle	`jälle
et	et
aga	aga
ei	ei
mina	maa
elusalt	elusalt
ei	ei
nägema	näind
aga	aga
ikka	ikke
pahandus	pahandust
tegema	tegi
küll	küll
aga	aga
mina	minu
loom	`loomi
küll	küll
lammas	`lambud
ega	ega
ei	ei
s	s
murdma	`murnd
mas	mas
ei	eij
olema	olnd
siin	siin
need	neid
aah	aahh
no	no
no	no
mis	miss
tää	tä
elu	elu
olema	oli
see	se
olema	oli
laps	lapsed
olema	oo
laps	lapsed
ega	ega
siis	siis
neoke	`neoksed
olema	põlnd
mitte	`mette
nagu	nagu
nüüd	nüid
need	need
laps	lapsed
olema	oo
sopp	soppa
sees	sees
must	mustad
ja	jaa
räpuline	räppulesed
no	no
muidu	mudu
jälle	jäll
vallatlema	vallatlesime
nagu	nagu
jälle	`jälle
ja	ja
mängima	`mängisime
jah	jahh
igat+moodi	igade+`moodi
nagu	nagu
nood	nood
sööma+nõu	sööma+nõud
olema	olid
ju	ju
kõik	kõik
enamasti	änamaste
puu	puust
jah	jahh
väga	väga
vähe	vähä
olema	oli
mis	miss
nagu	nagu
plekk	lekkist
või	või
sedasi	sädasi
olema	oli
no	noo
need	need
olema	oo
vaang	`vaangad
või	või
siis	s
need	need
olema	olid
küll	küll
juba	juba
savi	sauwest
nagu	nagu
ei	ei
tooma	`tuudi
need	neid
kalts	kaltsu
otsija	`otsijad
ja	ja
sedasi	sädasi
aga	aga
jälle	jälle
ega	ega
siis	s
seoke	seokkeste
nõu	`nõusid
ega	ega
asi	`asju
olema	põlnd
olema	põlnd
ju	ju
see	seda
vaja+ki	vaeagi
naa	naa
puhtus	`puhtust
must	mustad
suitsune	suitsutsed
maja	maead
olema	olid
vana	vanad
maja	maead
olema	olid
ja	ja
aga	aga
meie	mee
meie	mee
elama	elasime
meie	meit
olema	oli
ju	ju
hulk	ulk
laps	`lapsi
ja	ja
saama	saeme
mees	mehele
ja	ja
kõik	kõik
seal	seal
üks	ühüs
tuba	tuas
muud+kui	mutku
suitsu+tuba	suitso+tuba
ja	ja
ja	ja
must	mustad
kõik	kõik
nagu	nagu
ainult	ainult
aken	`aknad
need	need
saama	said
pesema	`pestud
ega	ega
mujalt	muualt
saama	saand
mitte	mette
jah	jahh
mis+moodi	miss+`moodi
ah	ahh
jah	jahh
puu+anum	puu+anum
need	need
olema	olid
neoke	`neokke
kõrv	kõrb
olema	oli
küljes	`kül'ges
hüüdma	`üitti
kapp	kappasse
ja	ja
ja	jaa
ja	ja
ja	ja
vähem	vähemad
olema	olid
kibu	kibo
nimi	nimed
nagu	nagu
et	et
kibu	kibo
olema	oli
ikka	`ikke
kus	kuss
laps	`lapsed
nagu	nagu
veel	vel
piim	`piima
rüüpama	`rüippasid
või	või
sedasi	sedasi
jah	jahh
seoke	`seoksed
olema	olid
ee	ee
plekk+lüpsik	lekk+lüpsik
või	või
lüpsik	lüpsik
olema	oli
puu	puust
jah	jahh
sang	sang
olema	oli
puu	puust
ja	ja
suur	suur
pikk	pikk
toru	toru
olema	oli
kes	kelle
seest	seest
nagu	nagu
piim	piim
läbi	läbi
kurnama	kurnatti
ja	ja
ja	ja
riie	riije
panema	`pandi
peale	`piale
ja	ja
ja	ja
ikka	ikke
olema	oli
nagu	nagu
puhas	puhas
olema	oli
ikka	ikke
see	see
aga	aga
ikka	`ikke
puu	puust
a	a
ja	ja
pesema	`pesti
puhas	`puhtase
no	no
saama	`saadi
siis	ss
toru	torol
olema	oli
auk	auk
olema	oli
sees	sees
ikka	`ikke
sedasi	sedasi
nühkima	`nühkida
saama	sai
ja	ja
ikka	`ikke
puhas	`puhtasse
jah	jahh
ja	ja
liiv	liiba
õõ	õõ
nõu	nõu
olema	oli
ja	ja
liiv	liib
olema	oli
sees	sees
ja	ja
vesi	vesi
ja	ja
see	sellega
pesema	`pesti
puhas	`puhtas
nagu	nagu
iga	iga
lau+päev	`lauba
kõik	kõik
nõu	nõud
olema	olid
pesema	`pestud
mis	miss
nagu	nagu
olema	oli
mina	muu
ema	ema
ikka	ikke
neuke	neukko
hoolas	oolas
ka	koa
jälle	jälle
nagu	nagu
panema	pani
laps	lapsed
töö	tühü
ja	jaa
sedasi	sädasi
ja	ja
ja	ja
olema	oli
aga	aga
jälle	jälle
aga	a
see	see
olema	oli
nagu	nagu
kõik	kõigil
see	see
mood	mood
et	et
ikka	ikke
puu+nõu	puu+nõud
olema	olid
piim	piim
kurnama	kurnatti
ikka	ikke
jälle	jälle
puu+pütt	puu+`püttide
sisse	`sisse
ei	ei
muu	muud
ei	ei
olema	olnd
puu+pütt	puu+püttid
olema	olide
hüüdma	`üütti
pütt	püttid
nagu	nagu
seal	seal
olema	oli
see	see
sisse	`sisse
ja	ja
need	need
pesema	`pesti
puhas	`puhtasse
ja	ja
pada	paea
sees	sees
hautama	`auttatti
see	see
hapu	appu
õhk	õhk
nagu	nagu
ära	ära
ja	ja
sinna	`sinna
sisse	`sisse
piim	piim
panema	pand
ja	ja
hapnema	`apnes
seal	seal
ja	ja
koor	koor
olema	oli
riisuma	riisutti
pealt	pialt
ja	ja
tegema	tegi
või	võid
koor	koorest
jälle	`jälle
jah	jahh
ee	ee
jah	jahh
või	võe
kui	kui
vanuma	vanus
jah	jahh
ja	ja
siis	siss
võtma	`võetti
koor	koor
pealt	pealt
ära	ära
jah	jahh
koor	koor
tegema	`tehti
või	`võisse
kus	kus
tema	ta
panema	`pandi
ikka	`ikke
neoke	`neokke
nõu	nõu
olema	oli
jälle	jälle
kus	kus
tema	ta
panema	`pandi
see	selle
jaoks	jaos
tegema	`tehtud
nagu	nagu
mina	minu
kodus	kodu
see	seda
koore+kirn	koore+kirnus
jah	jahh
et	et
kui	ku
koore+kirn	koore+kirn
jah	jahh
ja	ja
see	säda
ja	ja
ema	ema
ütlema	`ütles
see	seda
ikka	`ikke
laps	lastele
kui	kui
meie	me
pesema	pesime
et	et
teie	te
hool	oolega
puhas	`puhtasse
tegema	teette
et	t
hapnik	`apnek
ära	ää
et	t
mitte	`mette
koor	koor
naa	naa
ei	i
hapnema	`apne
seda+moodi	seda+`moodi
olema	oli
ja	jaa
siis	s
tegema	`tehti
küll	küll
aga	aga
meie	meije
see	söda
nagu	nagu
ei	ei
sööma	söönd
jooma	jõeme
muidu	muido
sedasi	södasi
või	või
noh	nohh
ja	ja
seoke	`seokke
suur	suur
e	e
nõu	nõu
olema	oli
ja	ja
hüüdma	`üütti
kirn	kirn
see	see
pesema	`pesti
puhas	`puhtasse
ja	ja
uus	uus
panema	`pandi
jälle	jälle
sisse	`sisse
kui	kui
pütt	`püt'ta
lahti	`lahti
tahtma	tahetti
tegema	tiha
ja	ja
jälle	jälle
pesema	pesta
ega	ega
siis	ss
iga	iga
pütt	pütti
pärast	päräst
tegema	tehtud
siis	siiss
ikka	ikke
olema	oli
need	neid
mitu	mättu
tükk	`tükki
ja	ja
ennem	ennem
kui	kui
olema	oli
puu+aed	puu+aed
olema	oli
uks	ukse
ees	ees
teivas	`teibad
olema	olid
seal	seal
otsas	`otsas
panema	`pandi
kuivama	`kuima
need	need
kuivama	`kuibsid
ära	ää
ja	ja
jah	jahh
toda+moodi	toda+`moodi
olema	oli
teie	tee
olema	olette
siis	siss
nüüd	nüid
jälle	`jälle
seda+moodi	seda+`moodi
nagu	nagu
teie	te
siis	siiss
käima	köisitte
ah	ahh
ahah	ahahh
mina	maa
ei	i
teadma	tea
mitu	mättu
aasta	`aastat
see	säda
olema	oo
ah	ah
üheksa	ühüksa
aasta	`aastat
pang	pangid
olema	olid
vesi	vee
puu	puust
vee+pang	vee+pangid
jah	jahh
ikka	`ekke
vee+raand	vee+raand
ja	ja
jah	jahh
kaks	kaks
nimi	nime
olema	oli
mõni	mõni
ütlema	`ütles
pang	pan'g
ja	ja
aga	aga
ikka	ikke
vee+raand	vee+`raandad
olema	olid
kõige	kõege
rohkem	`rohkem
ikka	`ikke
ja	jaa
kuidas	kudas
ka	ka
keegi	`keegi
tegema	tegi
noh	nohh
kümme	`kümne
toobine	toobitsed
olema	olid
ikka	ikke
ja	ja
vähem	vähemad
ka	koa
vaatama	vaatta
puu+nõu	puu+nõu
ju	ju
raske	`raske
nagu	nagu
ei	ei
jõudma	jõund
ju	ju
jälle	jälle
nagu	nagu
e	e
vedama	vädada
või	või
tõstma	`tõsta
mitte	`mette
et	et
jaah	jaahh
kes+see	kissi
puhtus	`puhtust
tahtma	tahtis
ja	ja
oma	oma
asi	`asja
kord	`kuorda
see	see
pesemine	pesemine
olema	oli
alati	alatti
peale	pial
lau+päev	`lauba
siis	siiss
olema	oli
veel	viel
sedasi	sädasi
et	et
kõik	kõik
ja	ja
kõik	kõik
tegema	`tehti
puhas	`puhtasse
need	need
pesema	`pesti
ka	koa
puhas	`puhtasse
jälle	`jälle
need	need
kes	kellega
nagu	nagu
sedasi	sedasi
e	e
kael	kaela
peal	pial
ja	ja
pang	pangid
teine	teene
teisel+pool	teene+ppol
otsas	`otsas
kes	kelleg
tooma	`toodi
kael+koogud	kaela+koogod
jah	jahh
e	e
vahel	vahel
ema	ema
ütlema	`ütles
et	et
kas	kas
kael+koogud	kaela+koogod
ka	kaa
puhas	`puhtas
pesema	pesitte
puhas	`puhtad
riie	`riided
ikka	`ikke
pesema	pesime
jah	jahh
ikka	`ikke
ja	ja
ikka	ikke
suur	suured
nõu	nõud
olema	olitte
hüüdma	`üütti
vee+toor	vee+`toored
olema	olid
ja	ja
ja	ja
kõik	kõik
olema	olid
puu	puust
ee	ee
leiva+nõu	leba+nõu
leiva+nõu	leba+nõu
olema	oli
puu	puust
jaah	jaahh
ja	ja
seoke	`seoksed
kolm	kolm
ja	ja
jalg	`jalga
olema	oli
nagu	nagu
pikk	pikkemad
või	või
naa	naa
kolme+jalgne	kolme+`jalgne
nõu	`nõusse
ütlema	`öötti
see	see
olema	oli
e	e
noh	noh
siis	siiss
kui	kui
leib	leib
seest	seest
ära	ää
võtma	`võetti
siis	siis
riisuma	riisotti
lusikas	lusikkaga
tema	tä
puhas	`puhtasse
ja	ja
teine	teise
kord	korra
kui	kui
jälle	jälle
leib	`leiba
hapnema	`apnema
panema	`pandi
tooma	`toodi
jälle	`jälle
ära	ära
ja	ja
äigama	`äigad
vesi	`veega
ka	koo
veel	vel
üle	üle
et	et
