vanasti	vanas'ti
valmis	`val'mis
siis	siis
olema	ol'i
ju	ju
vili	vil'la
koristamine	koristamene
kohe	kohe
käsil	käs'il
no	no
ega	ega
enne	`enni
masin	mas'inad
ei	eij
olema	ond
kõik	kõik
olema	ol'i
käsitsi	käs'itsi
tegemine	tegemene
ei	ei
olema	põnd
hobune	obose
masin	mas'inad
ega	ega
olema	põnd
aur+masin	auru+mas'inaid
oh	ohh
mäng	`män'gu
tegema	tegid
kui	kui
sõnnik	sõn'ikku
vedu	vädu
olema	ol'i
siis	siiss
noor	noored
tegema	tegid
pool	pooleni
öö	ööni
ring+mäng	ring+`mängu
ja	ja
laulma	`laulsid
ja	ja
lööma	`löödi
tants	`tantsu
ja	ja
paaritama	paarittadi
ja	ja
seal	seal
olema	ol'i
ikka	ikke
olema	ol'i
ikka	`ikke
väike	väikkest
ilus	ilusad
nali	`nal'la
küll	küll
jah	jah
jah	jahh
noo	noo
jah	jahh
kes	kiss
see	seda
nüüd	nüid
mõistma	mõestab
nüüd	nüid
seletama	selettama
hakkama	akkatta
kuidas+moodi	kuda+`moodi
see	se
asi	as'i
käima	käis
kes	kiss
olema	ol'id
hea	iäd
nalja+sepp	nal'la+seppäd
need	need
olema	ol'id
siis	siss
tegema	tegid
seal	siäl
vigur	vigurid
ja	ja
siis	siss
teine	teest
saama	said
naerma	naerda
hästi	`iästi
ja	ja
aga	aga
mõis	mõesa
aegu	`aeges
no	no
seal	siäl
ikka	ikki
siis	siss
inimene	inimene
olema	ol'i
ju	jo
nii	nii
tapma	tappettud
ja	ja
peksma	peksettud
no	no
mis	miss
nali	`nal'la
tema	ta
tegema	tegit
siis	s
vat	vat
see	seda
mina	ma
ei	i
teadma	tia
veeretama	veerettand
ah	ahh
see	see
olema	ol'i
ratas	`ratta
viskamine	`viskamene
jah	jahh
küla+poiss	küla+boisid
olema	ol'id
kõik	kõik
koos	koos
naa	naa
kui	ko
väike	väikst
kool+poiss	kool'i+boisid
ja	ja
mina	maa
olema	olen
see	seda
loopima	`looppind
küll	küll
see	seda
ratas	rattast
niuke	`niukke
puu+ratas	puu+rattas
olema	ol'i
natuke	nattukke
suur	suurem
kui	kui
see	see
olema	onn
ja	ja
siis	siiss
teine	teesed
pool	pooled
olema	ol'id
siin+pool	sii+bool
ja	ja
teine	teesed
olema	ol'id
seal+pool	siäl+bol
ja	ja
siis	siiss
see	seda
ratas	rattast
saama	sai
viskama	visattud
seda+moodi	seda+modi
ühte+lugu	üks+lugu
ja	ja
see	see
minema	läks
kange	`kange
aju	aeoga
ja	ja
kes	kis
see	si
vastu	`vastu
oskama	`oskas
lööma	`lüija
lööma	lõi
tagasi	tagassi
see	see
võtma	`võittis
see	selle
maa	maa
enese	enesel
siis	siis
ja	ja
kes	kiss
ei	ei
saama	saand
mitte	mette
minema	läks
mööda	`mööda
ja	ja
see	sell
olema	põlnd
keegi	kedagi
võit	`võittu
ühti	üht
kõik	kõik
olema	ol'i
võit	võedu
tegemine	tegemene
olema	ol'i
muidu	mud'u
laps	lapse
nali	nal'i
see	sell
olema	ol'i
oma	omad
tähtsus	`tähtsused
ka	koa
ikka	ikki
kes	kiss
jälle	jälle
hästi	`iäste
oskama	`oskas
ratas	rattast
viskama	visatta
mina	maa
olema	olen
tema	täda
viskama	visand
küll	küll
vana	vanad
inimene	inimist
küll	küll
ei	ei
sallima	`sal'lind
ühti	üht
mina	minu
isa	isad
ema	emäd
ikka	`ikkä
noh	nohh
seal	siäl
saama	sai
ikka	`ikke
haige	`aiged
ka	koa
vahel	vahel
ratas	`rattaga
ju	jo
ratas	rattas
täis	täije
hoog	`ooga
tulema	tul'i
siis	s
saama	sai
ikka	ikke
pops	popso
pihta	`pihta
ja	ja
niuke	`niukke
puu	puu
labidas	labidas
olema	ol'i
käes	käe
ka	koa
ja	ja
see	sellega
lööma	lõid
siis	sis
ratas	`ratta
vastu	`vastu
ja	ja
kui	ku
ratas	rattas
tagasi	tagasi
jooksma	`juusis
see	see
olema	ol'i
siis	siss
sina	sinu
võit	võedo
maa	maa
jah	jahh
ja	ja
muna+mäng	muna+`mängu
saama	sai
tegema	tehä
ja	ja
jah	jahh
poiss	poisid
olema	ol'id
ümber+ringi	`ümmer+`ringi
ja	ja
siis	siis
üks	üks
auk	auk
tegema	`tehti
kesk+paik	kes+`paikka
ja	ja
siis	siis
üks	üks
hakkama	`akkas
siis	siiss
kepp	keppid
olema	ol'id
käes	käe
ja	ja
siis	siiss
panema	`pan'di
kepp	kepp
panema	`pan'di
sedasi	seäsi
jalg	jala
peale	`piäle
ja	ja
siit	siit
ülevalt	ülevalt
hoidma	`oitti
kinni	`kinne
ja	ja
siis	siiss
jalg	jalaga
saatma	saadet'ti
eemale	`eemale
kaugele	`kaugele
kes	kellele
kepp	kepp
kõige	kõige
ligemale	ligemale
jääma	jäi
see	see
jääma	jäi
siis	siiss
muna+veeretaja	muna+veerettaeaks
ja	ja
siis	siiss
teine	teesed
ümber+ringi	`ümmer+`ringi
seal	siäl
kui	ku
sina	sa
muna	muna
hakkama	`akkad
veeretama	veerettama
hakkama	`akkast
siin	sii
iga+üks	iga+öhöl
olema	ol'i
siis	siiss
see	se
kepp	keppi
auk	auk
kui	kui
tema	ta
hakkama	`akkas
muna	muna
vastu	`vasta
lööma	`lööma
ja	ja
kui	kui
sina	sa
ise	eese
kepp	keppi
sinna	senna
auk	`aukku
sina	sa
panema	pan'id
siis	siiss
olema	ol'i
võit	võit
sina	soo
käes	käe
siis	sis
see	see
hakkama	`akkas
see	sedä
muna	muna
veeretama	veerettama
kes	kiss
muna	muna
tagasi	tagasi
lööma	lõi
kui	kui
sina	sa
sinna	senna
kesk+paik	kes+`paikka
saama	said
siis	siiss
saama	sai
jälle	`jälle
uus	uus
hoog	oog
võtma	`võettud
jälle	jäll
kepp	keppid
laiali	laijale
viskama	visattud
ja	ja
kes	kell
kõige	kõige
kaugemale	`kaugemale
minema	läks
ega	ega
see	see
ei	ei
minema	läind
aga	aga
kes	kess
kes	kiss
kõige	kõege
ligemale	ligemale
jääma	jäi
see	see
hakkama	akkas
jälle	`jälle
muna	muna
veeretama	veerettama
see	see
olema	ol'i
siis	siis
see	se
muna+mäng	muna+mäng
üks+kõik	üks+kõik
va	va
puu+muna	puu+muna
ja	ja
ei	ei
tema	ta
muu	muust
muu	muud
asi	`as'sa
olema	põlnd
ei	eij
olema	ond
lepik	leppukkust
tooma	`toodi
üks	üks
väike	väik
sutikas	sut'tikkas
ära	ära
ja	ja
muu	muut
olema	põle
meie	meil
keegi	kedagi
teine	teist
jah	jahh
ikka	`ikke
noor	noored
kooli+laps	kool'i+lapsed
no	no
ega	ega
siis	s
vana	vanad
mees	mehed
enam	äm
see	seda
mäng	`mängu
tegema	teind
jah	jahh
ei	ei
tegema	teind
see	see
vana	vanad
enam	ääm
huvitama	uuvittas
siis	siiss
kes	kiss
tegema	tegi
õlu	õlot
ja	ja
siis	siiss
olema	ol'id
vana	vanad
mees	med
koos	koos
ka	koa
ja	ja
suitsetama	suetsettasid
piip	`piippu
ja	ja
jooma	jõid
ja	ja
ajama	aeasid
iga+üks	iga+üks
oma	oma
nali	nal'la
lori	lori
ka	koo
kes	kiss
oskama	`oskas
ja	ja
ja	ja
noor	nooremad
olema	ol'id
siis	siiss
oma	oma
kamp	`kamppas
ja	ja
kes	kiss
pill	`pil'li
oskama	`oskas
mängima	`mängi
mängima	`mängis
lugu	lugu
pill	`pille
ja	ja
noor	nooremad
lööma	lõid
tants	`tantsu
ja	ja
mina	maa
tants+mees	tansu+mes
ei	eij
olema	ond
mina	mu
isa	isa
ema	emad
olema	ol'id
see	selle
kallal	kallal
väga	väga
kuri	kurjad
nemad	nämad
ei	ei
tohtima	`tohtind
tantsima	`tantsivad
aga	aga
teine	teesed
oskama	`oskast
tantsima	`tan'tsi
küll	küll
mina	ma
tants+mees	tansu+mees
ei	eij
olema	ole
kui	kui
see	se
õppe+aeg	õppe+aeg
juba	juba
isa	isa
ema	emad
juba	juba
enam	änam
ei	ei
suutma	suut
mina	mind
karistama	karistada
ühti	üht
siis	siis
mina	ma
enam	änam
ei	ei
tahtma	taht
õppima	`õppida
aga	aga
et	et
laps	lapsest
saadik	saadik
noh	nohh
siis	siiss
nemad	näd
olema	ol'id
väga	väga
vali	val'lod
ja	ja
juuksed	`juuksid
ei	ei
tohtima	`tohtind
ka	koa
lõikama	lõegatta
ühtigi	`ühtigi
siis	siiss
olema	ol'id
ka	koa
pikk	pikkäd
kõik	kõik
ja	ja
krae	krae
vahel	vahel
ja	ja
aga	aga
kui	kui
sina	sa
magama	magasid
siis	siiss
olema	ol'i
sammal	`samluid
ja	ja
õlg	õle
pea	päid
täis	täis
ja	ja
siis	siiss
olema	ol'id
paatuma	`paattund
kui	kui
nemad	nad
sugema	sugesid
siis	sis
sina	sa
karjuma	karisid
saama	said
rusikas	rusikkaga
kukal	`kuklasse
ka	koo
mis	mis
sina	sull
häda	ädä
olema	o
et	et
sina	sa
karjuma	karjud
siia	siij
õlg	õlast
saadik	saadik
olema	ol'i
mõni	mõnel
ju	ju
ega	ega
see	see
laps	laps
olema	põnd
ju	ju
enne	`en'ni
kuigi	`kuigi
suur	suur
just	just
nagu	nagu
mets	metsast
leidma	`leittud
meie	meije
aga	aga
kes	kiss
vanem	vanemad
juuksed	`juuksed
laskma	`las'sid
ära	ää
lõikama	lõegatta
see	see
ikka	`ikke
ilus	ilus
puhas	puhas
poiss	poiss
vanasti	vanaste
olema	ol'i
ju	ju
mina	ma
nägema	nägin
ju	ju
vana	vana
Linna+mets	Linna+metsa
isa	isä
see	see
olema	ol'i
suur	suur
lugeja	lugija
ja	ja
tema	temal
olema	ol'id
ju	ju
ikka	`ikke
piht	pihast
saadik	saadik
olema	ol'id
juuksed	`juuksed
ja	ja
rätik	rättik
olema	ol'i
siis	siiss
sedasi	`seäsi
kord	kord
ümber	`ümmer
tõmbama	`tõmma
siit	siit
tagasi	tagasi
jälle	`jälle
ja	ja
siis	sis
siit	siit
need	need
väike	väikst
lühike	lühikst
ots	otsad
olema	ol'id
siia	siija
kurk	kurgu
alla	`alla
kinni	kinni
sõlmima	sõl'mittud
ja	ja
see	see
olema	ol'i
tema	ta
kaela+ehe	kaela+ehe
ja	ja
pikk	pikk
lai	lai
särk	särgi
krae	krae
see	see
olema	ol'i
siis	siiss
üle	üle
kas	kass
üle	üle
pintsak	pinsakku
või	või
olema	ol'i
aga	aga
sama	sama
kui	ku
kasukas	kasukka
krae	raad
olema	ol'i
peal	piäl
see	se
olema	ol'i
vana	vanadel
ja	ja
lühike	lühigsed
püksid	püksid
põlv	põl'vist
saadik	saadik
ja	ja
siis	siiss
olema	ol'id
siit	sii
naa	naa
kõrvalt	kõrvalt
lõhki	`lõhki
ja	ja
siin	sii
olema	ol'id
siis	siiss
vask+nööp	vas'k+nööbid
siis	siiss
siin	sii
kõrval	`kõrves
ei	ei
siis	siis
ei	eij
olema	ond
enam	änäm
mina	maa
oma	oma
isa	isal
ka	koa
ei	ei
nägema	näind
ühti	üht
siis	siiss
see	see
lühike	lühigse
püks	püksi
mood	mood
kaduma	kadus
ära	ää
aga	aga
mõni	mõnel
kes	kiss
väga	väga
vana	vanad
olema	ol'id
siis	siiss
nemad	nettel
mina	ma
nägema	nägin
lühike	lühiksid
püksid	`püksisid
vana	vanad
mees	med
just	jüst
kandma	`kan'tsid
ega	egä
noor	nooremad
enam	äm
ei	ei
kandma	kannod
aga	aga
vanasti	vanaste
olema	ol'i
kõik	kõigil
lühike	lühiksed
püksid	püksid
olema	olnd
sukk	sukkad
olema	`olle
jalas	`jalges
olema	ond
ja	ja
need	nee
sukk	sukkad
olema	ol'id
ju	ju
üle	üle
põlv	põlve
mees	meestel
pael	paelaga
olema	ol'id
siit	siit
ju	ju
õnnal	`õnlast
olema	ol'i
kinni	`kinni
siduma	`seottud
ja	ja
see	seda
mina	ma
olema	oon
nägema	näind
sõnnik	sõn'ikku
vedu	väo
aeg	aeg
olema	ol'i
siis	siiss
üks	üks
käima	käis
üks	öhöl
kord	korral
siis	siss
terve	`terve
küla	külä
minema	läks
üks	`ühte
kokku	`kokko
ja	ja
vedama	vädäsid
see	selle
sõnnik	sõn'ikku
välja	`väl'lä
teine	`teises
teine	`teises
pere	peres
teine	teese
päev	päävä
siis	siiss
ütlema	`öötti
talg	`talgu
jah	jahh
siis	siiss
seal	siäl
siis	siiss
noor	noored
siis	siiss
tegema	tegid
ring+mäng	ring+`mängo
ja	ja
laulma	`laulsid
ja	ja
lööma	lõid
väike	`väikkest
kerge	`kerged
tants	`tentsu
ja	ja
vana	vanad
mees	med
jooma	jõid
õlu	õlut
ja	ja
õhtul	`õhta
ja	ja
ja	jaa
hommikul	omikku
minema	lähme
minema	läksime
teine	`teisi
pere	peresse
jälle	`jälle
see	see
olema	ol'i
see	se
talg	`talgu
ei	ei
muu	muud
mõni	mõn'i
tegema	tegi
siis	siiss
heina+niit	eenä+niidu
talg	`talgud
ka	koa
aga	aga
mina	mina
sinna	`sinna
ei	ei
saama	saand
mets	`metses
niitma	niidet'ti
hein	`einä
püha+päeviti	pühä+vette
mõni	mõn'i
tegema	tegi
talg	`talgud
vanasti	vanaste
kui	kui
mina	maa
väike	`väikke
poiss	poiss
olema	ol'in
siis	siiss
peo	`pioga
kabli	kabliga
tõmbama	tõmmatti
vanker	`vankrest
hunnik	un'ik
maa	maha
ja	ja
tüdruk	tüdrugud
peo	`piuga
laotama	`laottasid
laiali	laijale
aga	aga
siis	siis
viimati	viimatti
see	se
arenema	arenes
välja	`väl'la
ja	ja
siis	siiss
hark	`ar'kkidega
laotama	`laottadi
aga	aga
siis	sis
küünar+nukk	küünas+nukkist
saadik	saadik
olema	ol'id
siis	sis
paks	`paksu
sitt	`sitta
täis	täis
kõik	kõik
käsi	käed
ja	ja
kui	kui
seeme	seeme
maa	maas
enne	`enni
jaani+päev	jaani+bäd
jaani+päev	jaani+bäks
olema	ol'i
ju	ju
kõik	kõik
künd	kün'd
ka	koa
kündma	`künttud
ja	ja
jaani+päev	jaani+bäst
saama	sai
ju	ju
heina+maa	eenä+male
minema	`mindud
no	no
eks	eks
mõni	mõnel
olema	ol'i
kaugel	`kaugel
ja	ja
mõni	mõnel
olema	ol'i
ligidal	ligidäl
meie	meil
ei	eij
olema	ond
kaugel	`kaugel
ühtigi	`ühtigi
see	se
karja+maa	karja+ma
ots	ots
olema	ol'i
suur	suur
heina+maa	eena+ma
ja	ja
see	se
väike	vähäm
heina+maa	eena+maa
olema	ol'i
siis	siiss
kolm	kolm
kilo+meeter	kilu+`meettert
kaugemal	`kaugemal
teine	teeste
heina+maa	eena+maatte
taga	taga
ei	ei
öösiti	`öössitte
saama	sai
mets	`metses
magama	magadud
siis	siis
olema	ol'i
see	se
vana	vana
mood	mood
aga	aga
viimane	viimases
ots	`otses
hakkama	`akkast
inimene	inimest
kodu	kodo
käima	`käima
ja	ja
tegema	tegi
üks	öhö
ja	ja
sama	sama
välja	`väl'la
ka	koa
kui	kui
kui	kui
sina	sa
mets	mets
magama	magasid
siis	siiss
saama	sai
ikka	ik
hobune	obosega
saama	sai
ikka	ikke
leib	`leiba
viima	`viidud
ja	ja
kali	kal'la
ankur	`ankkur
tegema	`tehti
ka	koa
ja	ja
ankur	`ankkur
peale	`piäle
ja	ja
ja	jaa
ja	ja
muu	muud
olema	pond
seal	siäl
keegi	kedagid
ühti	`ühti
vikat	vikkat'tid
ja	ja
reha	rehad
selga	`sel'gä
ja	ja
kui	kuij
olema	ol'i
kuiv	kuib
aeg	aeg
siis	siis
olema	ol'i
hea	iä
hein	`einä
tegema	teha
kui	kui
vihmane	vihmane
siis	siis
olema	ol'i
paha	paha
küll	küll
olema	ol'i
madal	madal
maa	maa
minema	läks
vesi	vett
täis	täis
küün	`küinis
hein	eentte
sees	ses
olema	ol'i
koguni	kogoni
tore	tore
magama	magada
natuke	nattukke
ikka	`ikke
tegema	`tehti
ka	koa
siis	s
aga	aa
ikka	`ikke
kõige	kõege
rohkem	`rohkem
olema	ol'i
ikka	ikke
see	se
silk	silgu
leib	leeva
peal	pial
ja	ja
kali	`kal'la
jooma	`joodi
ja	ja
siis	sis
vahel	vahel
tegema	`tehti
pann	pan'ni
peal	päl
liha	liha
ka	kaa
ja	ja
silk	`silkku
tegema	`tehti
pann	pan'ni
peal	pial
ja	ja
küll	küll
olema	olen
tegema	teind
olema	olen
õlu	õlot
tegema	teind
küll	küll
ja	ja
olema	olen
kali	`kal'la
ka	koa
tegema	teind
no	no
kali	kal'lal
ja	ja
õlu	õllel
olema	on
ikka	`ikke
vahe	vahe
vahel	vahel
jah	jahh
kali	kal'la
põhi	põhi
saama	saab
maa	maha
või	või
paik	`paikka
panema	`pandud
ja	ja
ega	egä
teie	tee
olema	põle
see	seda
põhi	`põhja
nägema	näind
kuidas	kuda
see	se
tegema	teha
noo	noo
jah	jahh
kui	kui
väike	`väikke
astja	as'tas
olema	ol'i
siis	siis
sinna	`sinna
panema	pan'di
õle+kõrs	õle+kõrred
panema	`pan'di
sinna	`senna
alla	`alla
ja	ja
siis	siis
see	selle
kas	kass
põhi	põehal
olema	ol'i
auk	auk
sees	sees
ehk	ehk
külg	kül'le
laud	lauwal
ehk	ehk
naga	naga
olema	ol'i
ees	ees
see	se
olema	ol'i
kaks	`kahte
moodi	`moodi
siis	siis
ja	ja
siis	siiss
panema	`pan'di
leib	leib
sinna	sinna
õlg	`õlgede
peale	`piale
ja	ja
vesi	vesi
panema	`pan'di
takka+otsa	`takka+`otsa
ja	ja
see	see
minema	läks
seal	sial
natuke	nattokke
hapu	appoks
aga	aga
küll	küll
see	se
olema	ol'i
hea	eä
jooma	`juuwa
ega	egä
väga	väga
palju	pal'lo
kui	kui
see	see
vana	vanaks
saama	sai
tegema	`tehti
uus	uut
leib	`leiba
peale	`piäle
ka	ka
kui	kui
tema	ta
väga	väga
vana	vana
olema	ol'i
siis	siiss
laotama	`laottadi
ära	ära
ja	ja
tegema	tehti
jälle	`jälle
puhta	`puhta
uus	uus
siis	siis
olema	ol'i
jälle	`jälle
hea	ead
uus	uut
kali	`kal'la
küll	küll
linnas	linnasse
jahu	jahodest
saama	sai
tegema	`tehtud
ja	ja
jah	jahh
noh	nohh
see	see
saama	said
märg	märjaks
tegema	`tehtud
ja	ja
ahi	`ahju
küpsema	`küpsema
panema	`pandud
see	see
kali	kal'la
leib	leib
õlu	õlot
tegema	`tehti
naa	naa
kuidas	kuas
linnas	linnas
olema	ol'i
kui	kuij
olema	ol'i
hea	ead
linnas	linnased
saama	said
hea	ead
õlu	õlud
ja	ja
kui	kui
vilets	vilets
linnas	linnas
olema	ol'i
siis	sis
saama	said
kehv	kehv
õlu	õlu
ah	ahh
nüüd	nüid
olema	ol'i
mina	mull
ise	`endal
just	jüst
linnas	linnassed
üleval	üleval
kuivama	`kuivanud
olema	oleks
teie	te
meie	`meile
tulema	tund
mina	ma
olema	ooks
näitama	näädand
jah	jahh
jääma	jäid
just	jüst
rest	res'ti
peale	`piäle
olema	ol'id
siin	sii
paar	paar
päev	`pääva
saama	sai
kuivatama	koevattada
või	või
iga	igast
vili	vil'last
võima	võid
tegema	tehä
võima	võid
rukis	`rukkist
tegema	tehä
võima	võid
oder	odrast
tegema	tehä
jaa	jaa
jaa	jaa
ja	ja
nisu	nisudest
ja	ja
jah	jahh
mina	ma
olema	olen
ju	ju
kõik	kõigist
tegema	teind
eks	eks
oder	otr
olema	on
ikka	`ikke
see	see
kõige	kõige
tähtis	`tähtsäm
vanasti	vanast
olema	ol'i
maa+oder	maa+otr
ütlema	`ööl'di
väike	`väikke
oder	otr
no	no
sest	sest
see	see
just	jüst
linnas	linnase
oder	otter
olema+ki	ol'igi
oder	otr
saama	saab
liguma	ligum
panema	`pandud
mõni+kord	mõn'i+gord
saama	saab
kolm	kolm
neli	nel'i
päev	`pääva
naa	naa
kuidas	kuass
täna	täna
nüüd	nüid
olema	ol'i
soe	soe
aeg	aeg
liguma	ligus
kaks	kahe
päev	pääväga
ära	ää
ja	ja
siis	siiss
saama	saab
vesi	veest
välja	`väl'la
võtma	`võettud
ja	ja
põrand	parandale
maa	maha
panema	`pandud
laiali	laijale
siis	siiss
seal	siäl
minema	lähäb
kasvama	kasuma
kui	kui
tema	ta
juba	juba
sedasi	`seasi
hästi	`äs'ti
mätas	`mättas
olema	onn
tups	`tupsus
siis	siis
saama	saab
ära	ää
hõõruma	õeruttud
ja	ja
saama	saab
üles	ülesse
üks	ühe
rest	res'ti
peale	päle
panema	`pandud
ja	ja
ahi	ahi
kütma	`kööttud
ja	ja
soe	`sooea
laskma	`lastud
siis	siiss
see	sellega
saama	saab
siis	siiss
linnas	linnasid
tegema	`tehtud
ja	ja
linnas	linnased
saama	saab
ära	ää
jahvatama	jahvattud
peen	`peeneks
ja	ja
siis	siiss
saama	saab
suur	suur
nisuke	`niskese
astja	`as'ta
sisse	`sisse
panema	`pandud
ja	ja
keema	keeb
vesi	ves'i
takka	`takka
otsa	`otsa
ei	ei
panema	`panda
ahi	`ahju
kui	ku
rukis	`rukki
linnas	linnasest
saama	sai
ahi	`ahju
panema	`pandud
see	se
tegema	tegi
ilus	ilusa
karv	karva
ja	ja
rukis	`rukki
linnas	linnas
ei	eij
andma	and
muidu	mudu
välja	`väl'lä
tema	ta
panema	pan'i
kinni	`kin'ni
saama	sai
leib	leeväks
tegema	`tehtud
ja	ja
siis	siiss
saama	saab
see	see
nii	nii
paks	paks
meski	mõs'ki
et	et
siis	sis
üks	üks
mõla	mõla
saama	sab
püsti	`püs'ti
sinna	sinna
astja	`as'tasse
lööma	`löödud
kui	kui
see	see
püsti	`püs'ti
jääma	jääb
seisma	`seisma
siis	siis
see	se
olema	onn
paras	paras
meski	mõs'ki
see	see
saama	saab
sealt	siält
ära	ärä
tõstma	tõstettud
teine	teese
astja	`aes'ta
sisse	`sisse
see	see
olema	onn
siin	sii
hüüdma	`üitti
kurn+astja	kurna+aes'tas
sinna	`sinna
panema	pannakse
jälle	`jälle
põhk	põhod
alla	`alla
ja	ja
ja	ja
meski	mõs'ki
saama	saab
sinna	`senna
peale	`piäle
panema	`pandud
ja	ja
ja	jaa
siis	siiss
saama	saab
sealt	säält
alt	alt
välja	`väl'la
laskma	`lastud
see	se
tulema	tuleb
siis	siss
puhas	puhas
makk	makki
ja	ja
virre	virre
sealt	siält
see	se
olema	on
ka	koa
hea	iä
jooma	`juuwa
küll	küll
kes	kiss
tema	ta
jooma	`juuwa
tahtma	tahab
ja	ja
siis	siss
kui	kui
tema	ta
ära	ära
jahtuma	`jahtub
siis	siiss
saama	saab
pärm	pärm
peale	`piäle
panema	`pandud
siis	siis
tema	ta
minema	lähäb
käärima	`käärimä
käärima	käärib
paar	paar
või	või
kolm	kolm
päev	`pääva
ja	ja
siis	siis
saama	saab
ankur	`ankrusse
panema	`panna
prunt	prun'did
kõvasti	kõvaste
peale	`piäle
siis	siis
olema	on
siis	sis
tulema	tuleb
siis	sis
mina	maa
mis	mis
kiunuma	kiunub
sealt	säält
välja	`väl'la
ja	ja
see	see
olema	on
ka	kua
hästi	`äs'ti
hea	ia
jooma	`juuwa
ei	ei
sinna	senna
panema	`pandud
keegi	kedagi
tema	ta
käärima	`kääris
ise	is'i
kui	kui
tema	ta
olema	ol'i
hästi	`iästi
rammus	rammus
vili	vil'la
poolest	poolest
minema	läks
kange	`kangeks
küll	küll
aga	aga
kui	kui
tema	ta
vili	vil'la
poolest	poolest
olema	ol'i
lahja	lahja
siis	sis
tema	ta
ei	ei
minema	`läintki
väga	vägä
kange	`kangeks
mõni	mõn'i
tegema	tegi
küll	küll
sedasi	`seäsi
lollisti	lol'listi
et	et
panema	pan'i
kas	kass
viin	`viina
sisse	`sisse
või	või
piiritus	piirittust
kui	kui
tema	ta
käärima	`kääris
no	no
see	see
tegema	tegi
inimene	inimesed
juhm	juhmiks
loll	lol'liks
see	see
olema	põlnd
keegi	kedagi
ei	ei
panema	`pandud
mina	mina
küll	küll
ei	eij
olema	ole
panema	pand
meie	meije
küla	küläs
see	sedä
ei	ei
tegema	`tehtud
et	et
sinna	`sinna
juurde	`juure
miski	midagid
halb	`alba
asi	`as'ja
lisama	lisat'ti
jah	jahh
humal	omalid
saama	sai
panema	`panna
mina	mina
ikka	ikke
need	need
saama	said
ära	ära
keetma	keedettud
ja	ja
need	neid
saama	said
üks	üks
tund	tun'd
ehk	ehk
pool+teist	pool+deist
aeg	`aega
keetma	keedettud
ja	ja
siis	siiss
see	se
saama	sai
siis	siis
sinna	senna
meski	mes'ki
sisse	`sisse
panema	`pandud
need	neid
kasvama	kasosid
mets	`metses
ja	ja
meie	meil
olema	ol'i
oma	omal
aeg	aeal
humal	omala
aed	aed
suur	suur
ring	ring
olema	ol'i
ja	ja
siis	siss
suur	suured
pikk	pikkad
ritv	ridvad
olema	ol'id
püsti	`püs'ti
ja	ja
siis	siis
tema	temä
keerama	keerab
ju	ju
mööda	mööda
ritv	`ritva
ümber	`ümmer
nagu	nagu
pael	pael
ja	ja
minema	läb
üles	ülesse
kõrge	`kõrgesse
välja	`väl'la
ja	ja
seal	säl
üleval	üleval
tutt	`tut'tis
siis	siiss
õitsema	`õitsevad
seal	siäl
ja	ja
siis	siis
seal	siäl
olema	on
kasvama	kasvavad
suur	suured
humal	omala
käbi	käbid
ja	ja
siis	siiss
saama	saab
kui	kui
tema	ta
kui	ku
tema	ta
kasv+aeg	kasu+aeg
olema	on
täis	täis
pärtli+päev	`pärtli+päävä
aegu	`aegus
siis	siiss
saama	sai
need	nid
ritv	ridvad
maa	maha
võtma	`võettud
ja	ja
need	need
humal	omala
tutt	tut'tid
need	need
saama	said
tuba	`tuppa
viima	`viidud
ja	ja
saama	said
puhas	`puhtas
noppima	noppittud
ja	ja
siis	siis
saama	sai
ära	ärä
ka	koa
kuivatama	kuivattud
muidu	mud'u
tema	ta
minema	läb
läppuma	`läppuma
aga	aga
need	ned
andma	`an'tsid
viha	viha
välja	`väl'lä
ja	ja
mis	mida
viha	vihem
õlu	õlut
see	seda
hea	parem
olema	ol'i
mina	minul
õlu	õlut
noo	noo
mina	mina
panema	panin
ikka	ikke
pool	poole
setvert	`sitvergi
peale	`piale
ikka	ikke
nael	nael
humal	omalid
ja	ja
kui	kui
vähem	vähäm
olema	ol'i
siis	s
panema	panid
juurde	`juure
veel	veel
mina	mina
mage	magedad
õlu	õlud
ei	ei
tahtma	tahnd
jooma	`juuwa
mage	mage
õlu	õlu
võtma	`võt'tis
seest	seest
popsuma	`popsuma
ja	ja
võtma	võttab
gaas	`kaas'i
sisse	`sisse
ja	ja
aga	aga
kui	kui
viha	viha
õlu	õlot
siis	sis
mina	mull
olema	ol'i
hea	ia
jooma	`juuwa
pada	paea
sees	sees
tund	`tun'di
pool+teist	pool+deist
noo	noo
ja	ja
see	see
keema	keend
vesi	ves'i
see	see
siis	s
panema	`pan'di
siis	s
õlu	õlle
sisse	`sisse
need	need
panema	`pan'di
raba	raba
sisse	`sisse
ja	ja
see	see
kurnama	`kurnas
ise	is'i
sealt	seält
välja	`väl'la
jah	jahh
sinna	`sinna
kurn	kurna
astja	aesta
sisse	`sisse
just	jüst
naa+viisi	naa+visi
tegema	`tehti
kuidas	kuas
mina	ma
rääkima	räägin
aa	aa
millal	millas
see	sedä
võima	võis
iga+üks	iga+üks
tegema	tehä
see	sell
aeg	aal
kui	kui
keegi	`keegi
tahtma	`tahtis
püha	pühäde
aegu	`aegas
olema	ol'i
iga+üks	igä+öhöl
ja	ja
sõnnik+vedu	sõnikku+väo
aegu	as
olema	ol'i
iga+üks	igä+öhöl
mõni	mõn'i
tegema	tegi
tema	täda
rukis	`rukki
lõikus	`lõikkuse
aegu	`aegas
ja	ja
