masin	masinad
siis	siis
tahuma	tahuttakse
pealt	pialt
pealt	pialt
lai	laijaks
ja	ja
siis	siis
nii+sugune	nisugesed
äär	ääred
jääma	jäävad
sinna	`sinna
alt	alt
kiili+puu	kiili+puu
ema+puu	ema+buu
sedasi	sedasi
raiuma	raijuttaks
ära	ära
aga	aga
nii+sugune	niisukkene
äär	äär
natukene	nattukkene
nii	nii
noh	nohh
nii	nii
peaaegu	`peagu
natuke	nattikke
suur	suurem
kui	ku
see	se
laud	lauwa
äär	äär
tulema	tuleb
sedasi	sedasi
siit	siit
jälle	`jälle
alla	`alla
nii	nii
ja	ja
teine	teise
äär	`ääre
sedasi	sedasi
tulema	tuleb
teine	teine
ja	ja
nüüd	nüit
siis	siis
üks	üks
üks	üks
üks	üks
e	e
natuke	nattukke
panema	pannaks
üks	üks
üks	üks
looga+puu	looga+puu
siia	`siijä
sisse	`sissi
üks	üks
ainus	`ainus
olema	oli
kõige	keige
esiteks	`es'tiks
siis	siis
hakkama	akkattakse
laud	`laudu
ajama	aeam
laud	lavvad
saama	saavad
toru	toru
sees	sies
aur	auru
toru	toru
sees	seess
aur	auruga
tüma	tümaks
keetma	keededut
ja	ja
see	sie
oma	omal
see	sie
toru	toru
pihid	`pihtisi
veel	veel
ja	ja
suur	sured
puu+piht	puu+pihit
taguma	`taottud
peale	`piale
need	nendeg
saama	saab
kinni	`kinni
siis	siis
saama	saab
nael	`naelttega
sedasi	sedas
teine	teene
laud	lauwa
äärest	äärest
kinni	`kinni
lööma	`löödud
ja	ja
teine	teine
laskma	`lastud
siia	`seija
peale	`piale
siis	siiss
saama	saab
see	selle
teine	teise
äär	ääre
järel	järel
see	seda
kriips	kriipsu
joon	joon
või	vöi
siis	siss
seda+moodi	seda+modi
laud	laud
ära	ära
lõikama	lõegadut
ja	ja
jälle	`jälle
järjest	järjest
pihid	pihidega
pihid	pihideg
kinni	kinni
laud	lauwat
tubli	tubli
ja	ja
lööma	löö
nael	naelad
sisse	`sissi
ja	ja
siis	siis
ikka	`ikka
nii+moodi	nimodi
kuni	kuni
valmis	`val'mis
olema	on
kere	kere
laud	`laudadest
valmis	`val'mis
siis	siis
tulema	tuub
kaar	kaare
panemine	panemine
kaar	kaare
panemine	panemin
tulema	tuleb
pärast	pärast
siis	siiss
olema	on
kõver	köberad
kas	kass
üks	`üks
tema	ta
kõik	köik
mis	miss
puu	puud
mis	miss
sedasi	sedas
kõver	köverad
saama	said
kask	kas'k
ehk	ehk
tai	tai
ja	ja
aga	a
kõige	köege
rohkem	`rohkem
saama	sai
see	sie
et	ett
hea	paramad
tamm	tamme
tamm	tamme
oks	oksad
ehk	ehk
mänd	männa
lüli	lülid
ehk	ehk
mänd	männa
oks	oksad
ja	ja
siis	siis
ehk	ehk
kuusk	kuuse
lüli	lülid
mis	miss
kõik	köik
kõver	köveraks
kasvama	`kasvan
saama	saab
siis	siss
saama	saab
kõver	köverad
puu	puud
maksma	maksavad
kõige	keige
hea	paremad
hind	`inda
siis	siiss
paat	paadi
tegija	tegijalle
e	e
eks	eks
triipama	`triibas'
vahel	vahel
teine	teine
teine	teene
äär	äär
teine	teese
peale	`piale
saama	saab
panema	`pandut
kaks	kaks
laud	`laudä
sedasi	sedasi
vastamisi	`vastamisi
noh	nohh
ja	ja
kõik	keik
nii+viisi	nii+viisi
noh	nohh
ütlema	`ütleme
nagu	nagu
see	sie
nüüd	nüit
üks	üks
paar	paar
laud	laud
nüüd	nüit
see	sie
esimene	esimene
laud	laud
aga	aga
nüüd	nüit
siit	siit
panema	pannaks
üks	üks
see	sie
noh	nohh
ütlema	`ütleme
paar	paar
toll	`tol'li
ehk	ehk
natuke	nattukse
pool+teist	pool+deist
sedasi	sedasi
vahe	vahet
ja	ja
siis	siss
saama	saap
panema	`pandut
üks	üks
ülemalt	ülemalt
kaitse	kaitse
ehk	ehk
üks+kõik	üks+keik
siis	sis
olema	oli
poom+vill	poom+villa
vatt	`vat'ti
see	sie
saama	saab
tõrv	törvaga
alt	alt
siis	siis
mõlemad	mölemad
laud	`lauwa
äär	ääred
saama	saab
tõrv	törvaga
ära	ära
tõmbama	tömmat
see	se
poom+vill	poom+villa
vatt	vat't
saama	saab
siia	`siija
vahele	vahele
panema	pand
ja	ja
siis	siis
jälle	`jälle
see	sie
saama	sai
kaar	kaared
sisse	`sisse
siis	siiss
üles	ülessi
välja+poole	välla+`ppuule
äärde	`ääre
juba	juba
mudugi	mudugi
see	sie
laud	lavva
äär	äär
sinna	sinna
kolm+veerand+tolline	kolm+veerand+tol'line
laud	laud
või	vöi
siis	siis
kolm+veerand	kolm+veerand
või	vöi
pool	poole
väike	`väiksema
paat	paadil
olema	olid
poole+tolline	poole+tol'lised
siis	siss
see	sie
hüüdma	`üitti
parda+vits	`parda+vips
see	sie
jälle	jäll
üks	ükss
kaks	kaks
ja	ja
pool	pool
toll	`tol'li
lai	lai
see	sie
saama	sai
enne	`enne
ära	ää
tõmbama	tömmattud
ja	ja
jälle	`jälle
nii+samuti	nii+samatti
pulk	`pulkkadega
kinni	`kinni
siis	siis
olema+ki	ooligi
tema	ta
valmis	`val'mis
kah	kahh
seda+moodi	seda+`moodi
välja	`väl'la
poolt	ppult
see	see
ei	ei
üksi	üksi
ei	ei
saama	saa
tema	teda
tegema	tiha
kunagi	kunagi
kõige	keige
vähemasti	vähemast
pidama	piab
ikka	`ikka
kaks	kaks
mees	miest
olema	olemä
vaatama	`vaatta
üks	üks
kus	kus
sina	sa
olema	oled
pidama	piad
sina	sa
kinni	`kinni
ja	ja
kaks	kaks
ehk	ehk
kolm	kolm
pidama	piab
ikka	`ikka
esiteks	`es'tiks
laud	lauwa
koolutus	kooluttuse
aeg	aeg
kõige	keige
jaoks	jäoks
olema	olem
aga	a
kaar	kaared
võima	vöib
juba	juba
üks	üks
mees	mees
küll	küll
panema	pann
aga	aga
laud	lauwa
koolutus	kooluttuse
aeg	aeg
pidama	piab
ikka	`ikka
rohkem	`rohkem
olema	olem
kaks	kaks
ehk	ehk
kolm	kolm
nii	nii
et	ett
noh	nohh
eks	eks
need	nied
olema	olid
seal	sial
natuke	nattukkese
olema	olid
need	nied
töö	tüöd
võtma	vötta
aga	aga
ka	koo
tubli	tubli
kaks	kaks
ehk	ehk
kolm	kolm
kaks	kaks
ja	ja
pool	pool
kaks	kaks
ja	ja
pool	pool
süld	`sülda
aga	aga
meie	meil
üks	ükss
olema	`ol'li
see	sie
võrk	vörgu
paat	paat
olema	oli
olema	oli
laine	laine
aga	aga
teine	teine
olema	oli
kitsas	`kitsäm
väike	`väikse
masin	masinaga
paat	paadil
või	vöi
lest	`liesta
noot	nooda
paat	paadil
no	no
need	nied
olema	olid
ikke	`ikke
tükkis	`tükkis
tükkis	`tükkis
vähem	vähämad
kitsas	`kitsamad
ja	ja
kõik	köik
saama	said
paar	paar
aga	aga
korrallikult	korralikkuld
tõrv	`törva
saama	saab
ja	ja
korralikult	korraliguld
põlema	palavad
ja	ja
sedasi	`seasi
et	et
tema	ta
olema	oli
kõva	köva
et	et
eks	eks
tema	ta
sedasi	sedasi
seisma	seisab
ka	koa
aga	aga
pealt	pialt
aga	aga
paat	paadi
alt	alt
pidama	`piavad
tõrvama	`törvamatta
et	et
tema	ta
paljas	pal'las
ja	ja
alasti	alasti
olema	olt
siis	siis
tema	ta
ikka	iga
olema	onn
ikka	ikka
lühike	lühikke
kah	kahh
aeru+paat	aeru+`paadil
ei	ei
olema	ole
rohkem	`rohkem
no	nu
jah	jahh
kaks	kaks
kaks	kaks
iste+laud	iste+lauda
naa	naa
et	et
üks	üks
seisma	seisab
paik	paigal
alati	alatti
ütlema	`üittakse
piida+laud	piida+laud
või	vöi
keskel	`keskil
see	sie
olema	on
kohe	kohe
kinni	`kinni
äär	äärest
kinni	`kinni
panema	`pandut
nemad	nad
kartma	`kardavad
see	seda
et	ett
see	sie
pidama	piab
see	seda
aga	aga
siis	siis
ees	ies
mis	miss
esimene	esimine
mees	miess
sõudma	`souwab
kus	kuss
esimene	esimise
aer	aerude
peal	pial
tema	ta
olema	oli
seal	sial
see	sie
andma	annab
ära	ära
tõstma	`tösta
ja	ja
see	sie
käima	käib
lahti	`lahti
kaks	kaks
tükk	`tükki
ja	ja
kaks	kaks
laud	`lauda
olema	on
kui	kui
olema	oli
enne	`enni
tarve	`tarbe
kord	korral
kui	kui
sõudja	`söudjad
palju	`pal'lu
olema	`ol'li
kui	kui
olema+ki	oligi
kolm	kolm
sõudja	`söudjad
siis	siss
kesk	kesk
paat	`paattis
teine+teise	tene+teise
teine+teise	teine+teise
aer	aeruga
ja	ja
ees	ies
olema	oli
ikka	ikka
enamasti	änamasti
üks	üks
üks	üks
mees	mies
ja	ja
sõu+paat	söu+paadid
olema	olid
toll	tol'lid
toll	tol'lid
hüüdma	`üitti
toll	tol'lid
need	need
olema	olid
puu	puust
ja	ja
pärast	pärast
mõni	möni
tegema	tegi
raud	rauwast
kaa	kaa
raud	ravvast
olema	oli
üks+ainus	üks+ainus
haru	aru
all	all
ja	ja
siis	siis
pealt	pialt
haraline	aralene
nõnda	nönna
nagu	nagu
kroon	kroonu
ase	asemed
olema	olid
olema	pöhud
olema	olid
sees	sies
põhk	pöhude
peal	pial
saama	sai
magama	magattud
jälle	`jälle
jaa	jaa
ja	ja
siis	siis
lible+kott	lible+kot'tid
olema	olid
veel	veel
pea	pia
all	all
mis	miss
kaera+lible	`kaera+libled
saama	said
sisse	`sissi
panema	`pandud
kui	kui
palju	`patju
ei	ei
olema	oln
kõik	keik
kirjutama	kirjuttaks
nüüd	nüid
üles	üles
aga	aga
kui	kui
Juss	Jüss
aga	aga
ei	i
teadma	tia
kas	kass
Juss	Jüss
tahtma+ki	tahabgi
et	et
mina	ma
rääkima	räägin
selline	sellist
jutt	`juttusid
ei	ei
teadma	tia
jah	jahh
kaera+lible	kaera+libled
nojah	nojahh
jah	jahh
olema	olid
küll	küll
no	no
pärast	pärast
kui	kui
sulg	sule
mood	mood
lahti	`lahti
kana	kanu
kana+sulg	kana+`sul'ga
pealt	pialt
ära	ää
kiskuma	`kiskuma
kana	kanu
tapma	`tapma
siis	siiss
e	e
hakkama	akkatti
sulg	`sul'ga
noppima	`noppima
ja	ja
padi	`patjasi
tegema	tegem
aga	aga
no	noo
mõni	mönel
olema	oid
sees	ses
kui	ku
mina	ma
käima	käsin
kool	`kuolis
seal	sial
käima	käisin
Massi	Mas'silt
läbi	läbi
Massi	Mas'sil
olema	oli
sama+moodi	samma+`muodi
ka	kaa
kõik	keik
vana	vana
tuba	tuba
olema	oli
ja	ja
siis	siis
lible+kott	lible+kot'tid
ja	ja
tükk	tükk
heina+kott	eena+`kot'ti
pea	pia
all	all
inimene	inimesel
ja	ja
olema	oli
nee	nee
koht	koht
takune	takkused
ja	ja
kõik	keik
suur	suured
nii+sugune	nihukst
jäme	jämedad
olema	olid
kõik	keik
no	noo
ehk	ehk
villane	villased
tekk	tekkid
olema	olid
siis	siiss
olema	pöln
mitte	mitte
nii+sugune	nihukst
vatt	vat'tiga
tekk	`tekkisi
ega	ega
noh	noh
mõlemad	mölemas
noh	nohh
mõlemad	mölemades
saama	sai
magama	magada
kui	kui
rohkem	`rohkem
inimene	inimisi
olema	oli
olema	oli
kus	kus
sina	sa
panema	paned
vana	vanad
inimene	inimist
olema	olid
ka	koo
mina	minul
olema	oli
vana+ema	vana+ema
ja	ja
vana+isa	vana+isa
ja	ja
need	need
magama	magast
rehe+tuba	rihe+duas
ja	ja
siis	siis
ise	ise
magama	magasim
siis	siiss
toa+kamber	tua+kammer
olema	oli
seal	sial
ots	`otses
siis	siis
magama	magasim
seal	sial
e	e
laps	lapsed
ja	ja
no	noo
ei	ei
saama	saan
rehe+tuba	rihe+duast
kütma	`köötti
ja	ja
ja	ja
siis	siiss
see	sie
üks	üks
nii+sugune	nihuk
suur	suur
auk	auk
olema	oli
seal	sial
müür	müüri
sees	sies
see	sie
mis	miss
ahi	ahi
kus	kus
ahi	ahi
olema	oli
teine	teene
külg	külg
siis	sis
suur	suured
kriska	kriskad
ütlema	`öötti
need	need
olema	olid
peal	pial
siis	siis
siis	siis
see	selle
auk	augu
peal	pial
ja	ja
sealt	sialt
auk	august
tulema	tuli
siis	siis
nii+palju	nii+`bal'lu
soe	`sooja
et	ett
et	ett
e	e
soojendama	`soendas
see	seda
toa+kamber	tua+kammert
aken	`aknad
olema	olid
väike	`väiksid
ukse+lävi	`ukse+läved
olema	olid
nii	nii
kõrge	`körged
kohe	kohe
et	ett
saama	sai
e	e
et	et
sina	sa
üle	üle
hakkama	`akka
üle	üle
astuma	`astuma
nõnda	nönna
et	et
et	et
see	se
tükk	tükki
maa	maad
alla	`alla
enne	`enni
kui	kui
sina	sa
linastama	linastad
siin	siin
olema	oli
mitu	`mitmel
pool	pool
ula+tuba	ula+tuad
olema	olid
nii+sugune	nisukkesed
ja	ja
ja	ja
siis	siis
noh	nohh
mina	ma
ei	ei
teadma	tia
rääkima	`rääkkida
ka	ka
kõik	`köikki
jah	jahh
ja	ja
siis	siiss
kus	kus
need	ned
olema	olid
siin	siin
Jahu+kundru	Jahu+`gundrus
ja	ja
e	e
Karja+toome	Karja+dooma
ohh	ohh
need	neid
olema	oli
köik	köik
koht	kohad
täis	täis
mina	mina
teadma	tia
mäletama	määletta
enam	änam
ega	eiga
see	see
suur	suur
ei	ei
olema	oln
ega	ega
see	see
suur	suur
ei	ei
olema	oln
tuba	tuad
olema	olid
nii	nii
väike	`väiksed
kuidas	kudas
siis	siis
sööma+laud	süöma+laud
siis	siis
saama	sai
nii	nii
suur	suur
olema	`olla
õle+põhi	öle+pöhjaga
tool	toolid
õlg	ölest
olema	olid
punuma	punuttud
tool	toolid
e	e
valmis	`val'mis
eks	eks
see	sie
olema	oli
siis	sis
suur	suure
keerama	keeruttud
õlg	öledest
e	e
sees	ses
mina	ma
ei	i
teadma	tia
kui	kui
jäme	jämed
natuke	nattukke
jämedam	jämedam
kui	kui
sõrm	sörmed
see	se
olema	olid
siis	siis
põimima	pöimittud
kõik	keik
aga	aga
nägema	nää
vana	vanad
inimene	inimist
oskama	`oskasid
noh	noohh
see	see
olema	oli
ikka	`ikka
suur	suur
üks	üks
üks	üks
üks	üks
jagu	jägu
tuba	tuba
olema	oli
täis	täis
teine	teist
siis	siss
seal	sial
üleval	üleval
pars	parred
või	vöi
seal	sial
üleval	üleval
lagi	lae
all	all
saama	sai
veel	veel
liha	lihasi
suitsetama	suitsettud
küla	küla
inimene	inimistel
mina	ma
teadma	tian
kui	ku
köster	`köster
elama	elas
vana	vana
köster	`köster
tema	tema
tooma	töi
kange	`kanged
suur	suured
sink	singid
sinna	`senna
suits	`suitsu
nõnda	nönna
et	ett
tahtma	`tahtsid
lagi	lae
maha	maha
vajutama	vaodatta
nii+võrd	nii+vörd
suur	suured
siga	siad
olema	olit
tema	tall
tilkuma	`telkkus
kõik	keik
maha	maha
vesi	vesi
esiteks	esittiks
hakkama	`akkas
sool+vesi	sool+vett
tilkuma	`tilkkuma
maha	maha
panema	panim
nõu	nöu
alla	`alla
siis	siis
tilkuma	`tilkkus
sinna	`sõnna
siis	siss
kivi+põrand	kivi+parandad
olema	olid
kõik	keik
laud+põrand	laud+pörandaid
olema	pöln
üldse	`ültsi
üks	üks
pea+nimeline	Pia+nimelene
olema	oli
Nahk	Nahk
olema	oli
enne	ennem
ja	ja
Nahk	Nahk
ja	ja
Pea	Pia
meie	mee
pärast	pärast
laulma	`laulsim
Nahk	Nahk
ja	ja
Pea	Pia
saama	saab
Keila	`Keila
andma	`anttud
liha	liha
see	see
saama	saab
mõis	`möisa
kandma	`kanttud
Nahk	Nahk
olema	oli
enne	ennem
ja	ja
pärast	pärast
tulema	tuli
Pea	Pia
vene	vene
keel	keelt
saama	sai
ka	koo
ikka	`ikka
natuke	nattukke
õppima	öppittud
jah	jahh
nii+palju	nii+`bal'lu
ikka	`ikka
et	et
mina	ma
saama	sain
ikka	`ikka
e	e
natuke	nattukke
aru	aru
ka	koa
vene	vene
keel	keelest
ja	ja
noh	nohh
ikka	`ikka
olema	olid
ikka	ikka
siis	siis
olema	oli
ju	juu
see	se
usu+õpetus	usu+öppettus
laul	laulud
ja	ja
kõik	keik
olema	olid
ikka	ikka
iga	iga
hommiku	omikku
laulma	lauletti
ja	ja
jah	jahh
jah	jahh
e	e
ikka	ikka
maa+teadus	maade+`diadus
jah	jahh
ka	kaa
ja	ja
rehkendus	rehkendus
ja	ja
jaa	jaa
ja	ja
siis	siis
mis	mis
e	e
ikka	`ikka
olema	olid
veel	veel
tint	tindiga
ja	ja
see	selle
sulg	sulega
ah	ahh
krihvel	`krihvel
olema	oli
ka	kaa
tahvel	`tahvel
ja	ja
krihvel	`krihvel
olema	olid
esimene	esimist
klass	`klas'sis
jah	jahh
ei	ei
tõe+poolest	töe+buulest
vaatama	vatta
mina	mull
tulema	tuln
meel	`mieli
aga	aga
tahvel	`tahvel
ja	ja
krihvel	`krihvel
olema	olid
jah	jahh
kolm	kolm
aasta	`aastad
mina	maa
käima	käisin
ja	ja
rohkem	`rohkem
olema	pöld
tarvis	`tarvis
ohh	ohh
see	sie
olema	oli
nii+sugune	nisukke
kohe	kohe
et	ett
sama+sugune	sama+sugune
risu+hunnik	rüsu+unik
kõik	keik
need	need
vana	vanad
talu	talud
olema	olid
see	sii
olema	pöln
keegi	kedagi
nii	nii
kord	`korras
üks+ainuke	üks+aenukke
jah	jahh
seal	sial
olema	oli
ka	koo
rehe+tuba	rihe+duba
ots	`otsas
jaa	jaa
ja	ja
kooli+õpetaja	kooli+öppetta
elama	elas
ise	ise
üks	üks
väike	väkke
tagumine	tagumene
tuba	tuba
olema	oli
kus	kus
tema	ta
elama	elas
ei	ei
mina	mina
ei	ei
olema	old
seal	sial
seal	siall
kes	kiss
kaugemalt	`kaugemalt
olema	olid
e	e
muist	muist
veel	veel
need	nied
olema	olid
seal	sial
vahel	vahel
öö	üöd
ja	ja
ei	ei
mina	mina
ei	i
olema	oln
meie	mee
käima	käisim
ikka	`ikka
kodu	kodu
ja	ja
meie	mee
olema	olim
suur	suured
hakkama	`aksime
ju	ju
mis	mis
meie	me
hakkama	`akkasime
ühe+teist+aastaselt	öhö+deist+`aastaseld
kool	`koolis
käima	`käima
või	vöi
olema	oli
see	see
kümne+aastaselt	`kümne+`aastaseld
kümne+aastaselt	`kümne+`aastaseld
ikka	`ikka
jaa	jaa
ikka	`ikka
see	sie
olema	oli
ikka	`ikka
e	e
jõu+mees	jöu+mies
kes	`kellel
olema	oli
liha	liha
ja	ja
või	vöid
vahel	vahel
sama+moodi	samma+`muodi
kuiv	`kuiva
leib	`leiba
ja	ja
pudel	pudeliga
tükk	tükk
märg	`märga
juures	juurs
kaasas	`kaasas
noh	nohh
tee	tied
väheke	vähäkke
ehk	ehk
piim	`piima
kuidas	kudas
keegi	`kiegi
tahtma	`tahtis
võtma	`vötta
kottu	`kottu
härja+sahk	ärja+sahk
olema	oli
kohe	kohe
ja	ja
siis	siis
ike	ikke
ike	ige
olema	oli
pea	pias
e	e
siduma	`siutti
nöör	nööridega
sarv	sarvede
külge	külg
kinni	`kinni
teine	teene
härg	ärg
olema	oli
teisel+pool	tese+bool
teisel+pool	tesel+bol
äär	`ääris
ja	ja
siis	siiss
suur	sur
sahk	saha
aer	aer
mis	miss
see	see
olema	oli
seal	sial
puu	puu
olema	oli
keskel	`keskil
ja	ja
see	sie
olema	oli
siis	siis
kinni	`kinni
see	selle
sahk	saha
küljes	`külges
nii	nii
et	et
teine	teene
hark	ärk
käima	käis
teine+pool	teene+bol
see	selle
puu	puu
jaa	jaa
puu	puu
olema	oli
ikke	`ikke
küljes	`külges
kinni	`kinni
siis	siiss
see	sellega
ning	ning
need	need
põld	pöllud
olema	olid
kõik	keik
või	vöi
või	vöi
see	se
lagendik	lagendik
mis	miss
siit	siit
paistma	paestab
vastu	vastu
mänd	`mändasi
see	sie
olema	oli
kõik	keik
siis	siiss
põllu+maa	pöllu+maa
ja	ja
see	siee
kuusik	kuusik
siit	siit
ja	ja
jah	jahh
no	no
e	e
no	noo
Jüri	Jüri
olema	oli
üks	üks
vana	vana
poiss	poiss
olema	oli
siin	siin
isa	isa
vend	vend
see	sie
olema	oli
kange	`kange
härja+künni+mees	ärja+künni+mies
ja	ja
siis	siiss
mina	minu
mees	mies
olema	oli
ka	koa
kangesti	`kangesti
kündma	`kündis
hark	`ärgiga
vot	vött
ei	ei
kartma	kart
keegi	kedagi
need	neid
härg	`ärgi
ega	ega
kui	ku
vahel	vahel
suur	suured
pull	pul'lid
olema	oid
karja+maa	karja+mal
siis	siis
need	need
tallama	`tallasid
lehm	lehmad
kraav	`kraavi
siin	siin
mitu	mittu
kord	`korda
üks	üks
lehm	liehm
minema	läks
kraav	`kraavis
seljali	sel'lali
maha	maha
härg	ärja
tallamine	`tallamiseg
no	noo
need	need
olema	olid
jah	jahh
lõikama	leigattud
või	vöi
kohitsema	kohitsettud
jah	jahh
pull	pul'lid
pull	pul'lidega
ei	ei
kündma	`künttud
härg	ärjad
olema	olid
ikka	`ikka
teine	teesed
suur	sured
sarv	sarved
olema	olid
pea	pias
kes	kenel
väga	väga
terav	teravad
olema	olid
need	need
saagima	saaetti
veel	veel
ots	otsast
tükk	tükkid
ära	ära
et	ett
e	e
töntsim	tön'tsimaks
minema	läin
et	ett
ei	ei
saama	saan
kaevama	`kaevatta
nii+palju	nii+bal'lu
üks+teist	`ühte+deist
ohh	ohh
juudas	jüt'tas
mis	miss
siis	siiss
karja+maa	karja+mal
nemad	naad
jooksma	jookst
kiili	`kiili
ega	ega
siis	s
ega	ega
siin	siin
saama	saan
päeva+süda	pääva+südames
kündma	`künda
siis	siiss
kui	kui
päike	`päikke
kange	`kange
soe	soe
olema	oli
no	noo
siis	siiss
olema	pöln
ka	koo
just	üst
sui	sui
heina+aeg	eena+aeg
olema	pöln
künni+asi	künni+`as'sa
see	seda
saama	sai
sügis	sügisi
poolt	poolt
ja	ja
kevad	kevade
poolt	poolt
ei	ei
noh	nohh
kartul	kardula
muldamine	`muldamene
olema	oli
ikka	`ikka
heina+aeg	eena+aeg
jah	jahh
vedu	veo
jaoks	jaoks
jah	jahh
e	e
saadus	`saadisi
vedama	vedasid
ka	koa
heina+saadus	eina+`saadusi
meie	meil
olema	olid
kaugel	`kaugel
taga	taga
Kaarna+väli	`Kaarna+`väl'las
kus	kuss
olema	oli
seal	sial
taga	taga
teine+pool	teene+bool
Jõberna	Jöberna
jälle	`jälle
ja	ja
siis	siis
Lahe	Lahe
olema	oli
seal	sial
ja	ja
siis	siis
üks	üks
olema	oli
siis	siis
Unt+augu	Un't+augu
hüüdma	`üitti
see	sie
olema	oli
siis	siiss
siin+samas	siin+samas
noh	nohh
et	et
just	jüst
Külati	Külatti
takka	`takka
läbi	läbi
minema	`mi·nna
olema	oli
siis	s
ja	ja
Kaar+lauda	Kaar+laudast
jah	jahh
oh	o·hh
eks	eks
need	ned
olema	olid
vilets	vi·letsad
ikka	`ikka
mis	miss
see	sii
Lahe	Lahe
hein	ein
olema	oli
see	se
olema	oli
puha	puha
vesi	vie
sees	sies
vahel	vahel
Kaarna+väli	`Kaarna+`väl'lal
Kaarna+välja	`Kaarna+väl'la
olema	oli
seal	sial
taga	taga
Kiriku+mõisa	Kirikku+möisa
heina+maa	eena+mad
olema	olid
ka	koo
seal	sial
taga	taga
olema	oli
vesi	vie
sees	sies
nõnda	nönna
et	ett
riisuma	riisu
sinna	`senna
siis	siis
olema	oli
mets	mets
peal	pial
see	sie
olema	oli
puha	puha
raag	`raagu
täis	täis
küll	küll
saama	sai
ikka	`ikka
heina+maa	eena+maid
koristama	koristada
iga	iga
kevade	kevade
puha	puha
rao+hunnik	rao+unikkud
mis	miss
need	need
kask	kased
laskma	`las'sid
nii+palju	nii+`bal'lu
maha	maha
et	ett
et	ett
kõik	keik
saama	sai
ikke	`ikke
kohe	kohe
ära	ä·ra
tegema	`tehtud
et	et
puhas	puhas
olema	on
siis	siis
see	seks
aeg	aaks
kui	kui
niitmine	`niitmene
tulema	tuleb
vikat	vikkattidega
saama	sai
kõik	keik
niitma	nidettud
jah	ja·hh
ja	ja
nii+sugune	nisuk
soo+hein	suo+ein
mis	miss
ikka	`ikka
vesi	vie
vesi	vie
nii+sugune	nisukse
soo	suo
koht	koha
peal	pial
kasvama	kasvab
soo	suo
maa	maa
peal	pial
seal	sial
olema	oli
parem	parem
jah	jahh
no	noo
orvike	orvikkesed
ikka	`ikka
olema	olid
seas	sias
ja	ja
siis	siss
nii+sugune	nisukst
leht	leht
leht	`liehte
rohkem	`rohkem
ja	ja
olema	pöln
olema	pöln
nii	nii
vesine	vesise
koht	`kohtas
jõe+kallas	jõe+kallas
olema	oli
seal+samas	sial+sammas
meie	mee
heina+maa	eina+ma
ääres	`ääres
jah	jahh
Pisk+jõgi	Pisk+jõgi
jah	jahh
mis+sugune	misukke
heina+maa	einam
noh	nohh
seal	sial
mina	ma
ütlema	`ütlen
see	see
see	see
soo	suo
soo+maa	suo+maa
olema	oli
vesi	vett
täis	täis
ja	ja
mis	miss
üleval	üleval
olema	oli
mets	miets
see	sie
olema	oli
puhta	`puhta
raag	`raagu
täis	täis
e	e
sealt	sialt
mets	metsa
alt	alt
ei	ei
korjama	korjan
miski	midagi
nii	nii
vähe	vähä
saama	sai
hein	`einu
kohe	kohe
et	ett
et	ett
saama	sai
veel	vieel
kuskilt	`kuskilt
kaha	kaha
hein	`eina
tegema	`tehtud
kus	kus
saama	sai
siis	siiss
saama	sait
kaha	kahasse
kui	kui
kene	kene
ei	ei
olema	oln
iga+üks	iga+öhöl
noh	nohh
nii+palju	nii+balu
pere	peret
laskma	`las'kid
kaha	kaha
hein	`eina
tegema	tiha
siis	siis
saama	said
pool	poole
oma	omale
ja	ja
pool	poole
siis	ses
andma	`an'tsid
ära	ära
see	selle
eest	iist
et	et
sina	sa
tegema	tegid
valmis	`val'mis
nii+moodi	nii+`moodi
saama	sai
tegema	`tehtud
ja	ja
enne	ennem
siis	siis
veel	veel
kui	ku
mina	ma
Antsu	Antsul
elama	elasin
siis	siiss
käima	käisim
Suure+soo	Suure+soos
ja	ja
see	sii
olema	onn
taga	taga
taga	taga
lääs	lääne
rada	raea
ääres	`ääres
sinna	`senna
tegema	tegim
kuhi	`kuhja
ja	ja
talvel	`talve
käima	`käidi
järel	järel
lumi	lumega
seal	sial
kell	kell
üks	üks
minema	läksid
kodunt	kodunt
ära	ära
öösi	`öösi
et	ett
saama	said
päev	pääva
valge	`valges
jälle	jälle
koorem	`kuormadega
tagasi	tagasi
jah	jahh
seal	sial
küll	küll
Villboum	`Villboumiga
kas	kas
sina	sa
teadma	tiad
see	seda
see	sie
käima	käis
ka	ko
seal	sial
tegema	tegemes
meie	mee
olema	olime
seal	sial
öö	`üösid
magama	magasime
seal	sial
tegema	`tehti
onn	on'nid
kask	kase
kask	kasedest
e	e
kus	kuss
siis	siss
panema	`pan'di
hein	`einu
ümber	`ümmere
ja	ja
siis	siiss
nädala+päev	nädali+päävad
olema	olime
seal	sial
esmaspäev	esmas+pä
minema	läksime
ja	ja
laupäev	`lau+bä
õhtu	`öhtu
tulema	tulime
noh	nohh
mis	mis
meie	mee
ikka	`ikka
võtma	`vöt'sim
kartul	kardulest
ja	ja
leib	`leiba
ja	ja
silk	`silkku
ja	ja
pütt	pütt
silk	`silkku
täis	täis
seal	sial
saama	sai
keetma	keedettud
ka	koa
väike	väkke
pada	pada
olema	oli
juures	`juures
jõgi	jögi
olema	oli
seal+samas	sial+sammas
ligidal	ligidal
siis	siis
mina	ma
teadma	tian
küll	küll
need	neid
kord	`kordasi
kui	ku
meie	me
sööma	söime
liha	liha
olema	oli
ka	koo
