niisukene	niisukkeses
kuri+vaim	kuri+vaim
see	seda
ragin	raginad
jooksma	juoseb
ja	ja
lammas	`lammad
jooksma	`juosid
mets	`metsa
see	nied
ei	ei
teadma+ki	`tiagi
kus	kuss
see	nied
kahekesi	kahekkesi
olema	onn
teine	teisel
olema	on
kell	kell
või	või
see	se
nöör	nüör
järel	järel
kett	ket’t
järel	järel
no	no
ütlema	`ütsin
et	et
ootama	`uotsin
istuma	`istusin
et	et
pidama	piaks
Ants	Ants
kodu	koeo
tulema	tulem
et	et
tema	ta
minema	läheks
otsima	ot’siks
see	ned
lammas	`lammad
üles	ülesse
noh	noohh
ega	ega
mina	mull
nüüd	nüd
tüdruku+põlv	tüdrukku+`bõlves
keegi	kedagi
mure	muret
olema	põld
isa	isa
ema	ema
olema	olid
kodu	kodu
mina	mina
olema	olin
väline	väline
töö	tüöd
olema	oli
see	se
künni+töö	kün’ni+düö
ehk	ehk
kus	kuss
tahes	`tahte
ega	ega
mina	mull
siis	siis
häda	äda
olema	old
mina	ma
ütlema	`ütlen
nüüd	nüid
olema	oleks
mina	mull
ka	koa
hea	ia
olema	olema
olema	old
ega	ega
mina	minu
poeg	poeg
ei	ei
olema	ole
mina	`mulle
halb	`alba
sõna	sõna
andma	and
ega	ega
olema	põle
ütlema	ütteld
et	et
mina	ma
pidama	pean
sina	sind
toitma	`toitma
aga	aga
siis	siis
see	sie
nüüd	nüid
et	et
mina	mull
enam	enam
tervis	tervit
ei	eij
olema	ole
mina	maa
ei	ei
võima	või
pikali	pikkali
ase	asemel
olema	`olla
ka	koa
kuigi	`kuigi
kaua	kauwa
siis	siis
siis	siis
lööma	lüöb
siit	siit
kõrv	`kõrvade
seest	siest
siit	siit
tegema	tieb
nagu	nagu
üks	üks
uua	uuwa
uua	uuwa
uua	ouwa
siis	siis
pea	pia
hakkama	`akkab
huugama	`uugama
aga	aga
istuma	istun
sedasi	sedasi
siis	siis
siis	siis
enam	enam
ei	eij
olema	ole
rind	rinnad
nõnda	nõnna
kinni	`kinni
ega	ega
siis	siis
kui	kui
mina	ma
istuma	istun
oh	õuh
kodu	kodu
kodu	kodu
ei	ei
kolm	kolm
aasta	`oastad
olema	olin
ja	ja
seal	seal
oma	oma
küla	külas
ee	e
olema	olin
kaks	kaks
Sepa	Seppal
olema	oli
sedasi	sedasi
tema	temal
olema	oli
kaks	kaks
koht	`kohta
teine	teene
Lõõla	`Lõõlas
ja	ja
teine	teene
olema	oli
siin	siin
Sepa	Seppal
Väätsa	`Viatsel
ja	ja
siis	siis
siin	siin
taga	taga
paos	paos
olema	oli
üksik	üksik
koht	koht
see	neid
kaks	`kahte
pere+mees	pere+mest
mina	ma
teenima	`tienisin
kolm	kolm
aasta	`oastad
aga	aga
siis	siis
ega	ega
mina	mull
mina	minul
ei	eij
olema	ole
mina	minu
aeg	aeg
ei	eij
olema	old
ju	ju
keegi	kedagi
siis	siis
olema	oli
vabadus	vabadus
kõik	kõik
iga+üks	iga+ühel
oma	oma
siis	siis
tulema	tulin
kodu	koeo
siia	`siija
ja	ja
siin	siin
hakkama	`akkasin
see	seda
koht	`kohta
pidama	pidama
ja	ja
nüüd	nüid
olema	olen
mina	ma
see	sellega
jälle	`jälle
olema	old
noh	nohh
see	sie
mis	miss
siit	siit
tuba	tua
takka	`takka
olema	onn
see	sie
põld	põld
see	sie
olema	onn
kõik	kõik
karja+maa	karjas+moalt
mina	mu
mees	mies
tegama	tegi
üles	ülesse
see	sie
olema	onn
see	selle
aegne	`aegne
siin	siin
kui	kui
see	sie
nüüd	nüid
mis	miss
see	se
kraav	kroav
nägema	`näätte
või	või
vall	val’l
see	sie
olema	on
siis	siiss
seal	seal
olema	on
see	see
kivi	kivi
aga	aga
eks	eks
tema	ta
nüüd	nüid
olema	onn
nüüd	nüid
tema	ta
lõhkuma	lõhuttasse
tasa	tasa
ega	ega
nüüd	nüid
enam	enam
jääma	jää
sealt	sialt
maa	moalt
olema	onn
uus	uus
heina+maa	eena+m
ja	ja
karja+maa	karjas+moa
kõik	kõik
siis	siis
põld	põld
ei	eij
olema	old
täis	täit
kuus	kuut
post	`pos’ti
see	seda
eest	iest
põld	`põldu
ja	ja
see	se
eest	iest
ja	ja
ega	ega
see	se
põld	põld
olema	oli
sama	samma
tükk	tükki
kaupa	`kauppa
üles	ülesse
tegema	`tehtud
see	seda
ega	ega
seal	sial
mina	minu
isa	isa
aeg	aeg
isa	isa
aegne	`aegest
põld	`põldu
olema	oli
veel	viel
saama	sai
üles	ülesse
tegema	tiha
seal	seal
nemad	nad
lõhkuma	`lõhkusid
nüüd	nüid
täitma	`täitsid
see	selle
vana	vana
kelder	`keldre
ära	ära
seal	sial
mägi	määl
küngas	`künkkal
seal	seal
olema	oli
suur	suur
lage	lage
sööt	süöt
kõik	kõik
seal	seal
pohl	pohlad
ja	ja
veel	vel
pohl	pohla
vars	varred
kasvama	`kas’vid
ja	ja
olema	oli
hea	ia
laps	lastel
alati	alatti
pohl	`pohle
sööma	`süija
enne	`enne
olema	oli
tema	ta
olema	oli
pisike	pisikke
ega	ega
tema	teda
olema	põld
kuigi	`kuigi
palju	paelu
aga	aga
siis	sis
mina	minu
mees	mies
nüüd	nüid
tegama	tegi
tema	ta
nõnda	nõnna
et	et
siia	`siija
nüüd	nüid
olema	onn
siin	siin
veel	viel
see	selle
mis	mis
see	se
juga	juga
olema	onn
seal	sial
olema	onn
veel	viel
üks	üks
tegema	`tehtud
üles	üless
saama	soab
nägema	näha
kas	kas
nüüd	nüid
ajama	`aettakse
tema	ta
jälle	`jälle
üles	ülesse
või	või
nüüd	nüid
olema	onn
küll	küll
see	see
mets	metsa
vahel	vahel
mis	miss
mis	miss
mina	ma
ei	i
mäletama	määletta
endine	`endise
inimene	inimestele
ega	ega
siis	siis
sedasi	sedasi
ei	eij
olema	old
nüüd	nüid
ei	ei
tohtima	tohi
ju	ju
hobune	obusega
minema	`minna
välja	`väl’la
olema	onn
masin	masinad
ja	ja
peletama	pelettavad
ega	ega
see	sell
aeg	aal
kui	kui
mina	mina
olema	olin
noor	nuor
see	sell
aeg	aal
nihuke	nihukkest
asi	`as’ja
ei	eij
olema	old
selle+pärast	selle+bärast
mina	ma
ütlema	`ütlen
et	et
mina	mina
ei	ei
teadma	tia
nihuke	nihukkest
asi	`as’jadest
enam	enam
keegi	kedagi
rääkima	`rääkkida
ega	ega
olema	`olla
siis	siis
see	sie
see	sie
aeg	aeg
mis	miss
nüüd	nüid
olema	onn
mina	ma
ütlema	`ütlen
iga	iga
vahest	vahest
enamasti	enamaste
iga	iga
päev	päe
Ants	Antsule
et	et
mis	miss
jaoks	jäoks
tema	teda
mina	minule
näitama	näedattakse
kuidas	kuda
nüüd	nüid
elama	elattakse
ega	ega
inimene	inimestel
nüüd	nüid
elamine	elamisel
häda	äda
olema	põle
sööma	`süija
jooma	`juuwa
nemad	neil
olema	onn
küll	küll
ja	ja
aga	aga
kuidas	kuda
vana	vanad
aeg	aead
tulema	tulevad
ette	`ette
ütlema	üttelda
mina	minu
isa	isa
ütlema	`ütles
ikka	`ikke
alati	alatti
et	et
küll	küll
teie	te
nägema	`näätte
küll	küll
teie	te
nägema	`näätte
enne	`enne
viimne	`viimist
päev	`pääva
kündma	`künttakse
kõik	kõik
tugi+teivas	tugi+`deiva
ase	asemed
ja	ja
vahe	vahe
peenar	`piendrad
ja	ja
risti	risti
kivi	kivid
ja	ja
lõhkuma	lõhuttakse
üles	ülesse
ja	ja
nüüd	nüid
olema	on
käes	kää
see	seda
mina	ma
ütlema	`ütlen
enda	`ende
laps	lastele
üks	`ühte
puhk	`puhku
et	et
ära	ärge
nurisema	nurisege
eks	eks
vanasti	vanasti
kui	kui
kui	kui
see	sie
see	sie
see	sie
vee+uputus	vie+upputtus
olema	onn
olema	old
siis	siis
olema	onn
rahvas	rahvas
ju	juo
see	sell
aeg	aal
sööma	süönd
ka	koa
sedasi	sedasi
nagu	nagu
nüüd	nüid
praegu	`paergu
veel	vel
nemad	nad
jooksma	juosevad
ja	ja
praalima	praalivad
küll	küll
ja	ja
jooma	juovad
mina	ma
olema	olen
nüüd	nüd
ütlema	ütteld
ikka	ikke
ise	`endile
siin	siin
laps	lastele
ütlema	`ütlen
ütlema	`ütsin
nüüd+ki	`nüitki
tütar	tüttar
ja	ja
väi+mees	väi+mes
käima	käisid
et	et
siin	siin
püha+päev	püha+be
väljas	`väl’las
et	et
nüüd	nüid
teie	teil
olema	onn
see	se
viimne	`viimne
ei	ei
ega	ega
las	las
tema	ta
olema	`olla
viimne	`viimne
aeg	aeg
nägema	näha
et	et
varsti	`varsti
tulema	tuleb
see	se
viimne+päev	`viimne+bää
ka	koa
et	et
kuidas	kuda
vana	vana
kiri	kiri
ütlema	`ütleb
et	et
enne	`enne
tegama	tegi
vee+uputus	vie+upputtusega
et	et
enam	enam
tema	ta
olema	on
tõotama	`tõottand
et	et
enam	enam
vee+uputus	vie+upputtust
ei	ei
tegema	tie
et	et
nüüd	nüid
saama	soab
tuli	tule
ja	ja
väävel	`väävlega
tasa	tasa
tegema	`tehtud
et	et
küll	küll
teie	te
nägema	`näätte
üks	üks
suur	suur
sõda	sõda
tulema	tuleb
ja	ja
lööma	lüöb
see	selle
maha	maha
kummuli	kummuli
ei	eij
olema	old
sahk	`sahkadega
kündma	`kün’tti
kõik	kõik
põld	põllud
rehi	rihega
käsitsi	käsitsi
pint	`pinttadega
peksma	peksetti
see	nied
rehi	rihed
ära	ää
meie	me
ise	ise
meie	meije
olema	olime
ise	ise
siin	siin
kui	kui
mina	mina
ju	juu
oma	oma
mees	mihega
siin	siin
hakkama	`akkasin
siis	siis
tegema	tegime
mõis	mõisale
peksma	`peksime
mõis	mõisa
see	selle
suur	suure
mõis	mõisa
rehi	rehe
kaks+teist	kaks+teist
koorem	`kuormad
oma	oma
inimene	inimestega
peksma	`peksime
see	nie
ära	ära
see	selle
sauna+hütt	sauna+üt’ti
pealt	pialt
ja	ja
siis	siis
see+samune	sii+sammune
posti+vahe	pos’ti+vahe
lõikama	`lõikkasime
rukis	`rukkid
oma	oma
inimene	inimestega
ikka	ikke
rent	rendiks
ja	ja
siis	siis
see+samune	sii+sammune
posti+vahe	pos’ti+vahe
niitma	`niitsime
kaer	`kaera
kokku	`kokku
panema	panime
rõuk	`rõukku
ehk	ehk
olema	oli
tema	ta
siis	siis
oder	odra
posti+vahe	pos’ti+vahe
niitma	`niitsime
hein	`eina
see	selle
loog	lou
võtma	`võt’sime
üles	ülesse
panema	panime
küün	`küine
siin	sii
olema	oli
see	nied
vaba	vaba
päev	päävad
siis	siis
sedasi	sedasi
 pealt	pialt
maks	maksu
aga	aga
siis	siis
iga	iga
nädal	nädalis
käima	`käidi
siit	siit
teine	teese
nädal	nädali
kaks	kaks
päev	`pääva
inimene	inime
siit	siit
mõis	`mõisast
kündma	`kündmas
teine	teese
päev	pääva
nädal	nädali
kolm	kolm
päev	`pääva
see	sie
olema	oli
siis	siis
raha	raha
eest	iest
ega	ega
raha	raha
maks	`maksu
ei	eij
olema	old
aga	aga
aga	aga
nüüd	nüid
jälle	`jälle
kui	kui
tema	ta
nüüd	nüid
minema	läks
kui	kui
see	se
tulema	tuli
paraku	parakku
see+samune	sie+sammune
koht	kohad
kõik	kõik
et	et
pidama	pidid
ära	ää
ostma	ostettud
saama	`soama
noh	nohh
siis	siis
meie	meil
meie	meije
koht	kohad
noh	nohh
raamat	raamattud
meie	meije
koht	kohad
olema	olid
siis	siis
ka	koa
et	et
tema	ta
ei	i
teadma	tia
mis	miss
tema	taga
tegema	teha
meie	meil
võtma	`võt’tis
ka	koa
minema	läks
siis	siis
ostma	`os’tis
oma	omal
ka	koa
ost	ostu
alla	`alla
sada	sada
rubla	rubla
saama	said
pidama	piad
sisse	`sisse
mõis	`mõisale
saama	sai
maksma	maksettud
ja	ja
siis	siis
mõis	mõisale
saama	sai
kolm+kümmend	kolm+gümmed
rubla	rubla
aasta	`oastas
veel	viel
maksma	`maksa
sedasi	sedas
siis	siis
maksma	maksetti
ikka	ikk
laskma	`las’ti
koht	`kohta
tasa	tasa
ja	ja
siis	siis
Tallinn	Talinasse
sinna	`sõnna
pank	`pankka
tulema	tuli
meie	meil
kaks+teist	kaks+teist
rubla	rubla
iga	iga
aasta	`oasta
maksma	`maksa
no	nuu
eks	eks
meie	me
pidama	piand
ee	e
kodu	kodu
teenima	`tienima
ja	ja
ja	ja
kasvatama	kasvatta
loom	`luoma
ja	ja
müüma	müi
ja	ja
eks	eks
sina	sul
olema	oli
see	sest
hea	ia
ega	ega
siis	siis
karja+maa	karjas+mad
olema	oli
sina	sul
heina+maa	eena+mad
olema	oli
nii+palju	nii+bal’lu
kui	kui
sina	sa
jõudma	`jõutsid
tegema	teha
see	see
pidama	pidi
alati	alatti
olema	olema
iga	iga
sügis	sügise
kui	kui
sina	sa
ju	ju
saama	said
see	nied
see	selle
aasta	`oasta
maks	maksud
maksma	maksettud
siis	siis
saama	sai
võtma	`võtta
kas	kass
võtma	`võt’sid
üks	ühe
loom	luoma
oma	omale
kasvama	kasuma
ehk	ehk
kas	kass
panema	panid
kas	kass
siga	sia
jälle	`jälle
kasvama	`kasvama
nõnda	nõnna
et	et
sina	sa
raha	raha
saama	said
ega	ega
sina	sull
mujalt	mõealt
raha	raha
saamine	`soamist
olema	põld
sina	sa
pidama	pidid
oma	oma
koht	kohast
elama	elama
kõik	kõik
noh	nohh
ei	ei
jõudma	`jõudnud
põllu+töö	põllu+düö
see	seda
pidama	pidid
ikka	ikke
kui	kui
sina	sa
vili	vil’la
ära	ää
korjama	`korjasid
rehi	rehe
alla	`alla
saama	sai
kõik	kõik
meie	meil
olema	oli
nii	nii
kaua	kauwa
üks	`ühte
puhk	`puhku
veel	viel
saama	sai
enamasti	enamesti
rehi	rehega
peksma	`peksa
nii+kaua	nii+gauwa
kui	kui
nüüd	nüid
ju	juo
see	sie
mina	minu
mees	mies
ära	ää
surema	suri
ja	ja
ära	ää
minema	läks
siis	siis
alles	alles
meie	meije
hakkama	`akkasime
masin	masinaid
siia	`siija
masin	masinattega
peksma	`peksma
oh	ohh
üle	üle
kolm+kümmend	kolm+gümmend
aasta	`oastad
aeg	`aega
mina	ma
ise	ise
jääma	jäin
kui	kui
mina	ma
lesk	leseks
jääma	jäin
olema	olin
nii+palju	nii+bal’lu
kui	kui
neli+kümmend	neli+gümmend
üheksa	üheksa
vana	vana
mina	ma
ei	ij
olema	old
viis+kümmend	viit+kümmend
ja	ja
no	no
nüüd	nüid
olema	olen
mina	ma
ju	ju
üle	üle
üheksa+kümmend	üheksa+`gümne
saama	soab
varsti	`varsti
üheksa+kümmend	üheks+kümmend
viis	viis
jah	jahh
no	no
ju	ju
see	se
kaua	kauwa
olema	onn
neh	nehh
no	no
mina	maa
ju	ju
ütlema	`ütlen
vahel	vahel
laps	lastele
et	et
mina	minu
isa	isa
just+kui	üst+kui
needma	`niedis
ära	ää
et	et
mina	minule
surm	surm
ei	ei
võima	võind
tulema	`tulla
enne	ennem
kui	kui
kõik	kõik
mina	mu
õde	õde
ei	ei
olema	oli
ka	ka
õde	`õega
kaks	kaks
ainus	aenust
laps	last
see	selle
isa	isal
olema	oli
õde	õde
olema	oli
seitse+kümmend	seitse+gümmend
saama	sai
näär	`nääris
vana	vanaks
ja	ja
siis	siis
märts	`martsi
kuu	kuu
sees	sies
olema	oli
matma	`matta
kümnes	`kümnemal
surema	suri
ära	ää
et	et
et	et
mina	mina
nüüd	nüid
olema	olen
nii+kaugele	nii+`gaugele
olema	olen
üle	üle
tema	tema
elama	eland
siis	sis
et	et
isa	isa
alati	alatti
ütlema	`ütles
sedasi	sedasi
noh	nohh
küll	küll
olema	on
hull	ull
mina	minu
koht	koha
peale	peale
enam	enam
ei	eij
olema	ole
poeg	`poega
ega	ega
no	no
mina	minul
olema	oli
poeg	`poegasi
küll	küll
aga	aga
nägema	nää
sõda	sõda
võtma	`võt’tis
mina	minu
poeg	poead
ära	ää
ja	ja
nüüd	nüid
ei	ei
veel	viel
mis	mis
see	si
üks	üks
mina	mull
olema	onn
siin	siin
järel	järel
ega	ega
mina	ma
teadma	tia
see	seda
olema	oleks
see	seda
veel	viel
noor	nooremattele
nüüd	nüid
see	need
hakkama	`akkavad
ee	e
lina+tegu	lina+degu
mina	ma
rääkima	`rääksin
et	et
vaatama	vatta
kui	kui
sina	sa
nüüd	nüid
üles	ülesse
kiskuma	kisud
kammima	kammid
tegema	tied
kõik	kõik
peo	`peosse
kammima	kammid
siis	siis
kupar	`kuprad
ära	ää
kupar	`kuprad
saama	said
uuesti	uuwesti
seeme	`siemned
saama	said
panema	`pandud
kuivama	`kuivama
ja	ja
külvama	külitti
teine	teise
aasta	`oasta
jälle	jälle
maha	maha
meie	meil
meie	meil
olema	oli
meie	meil
veel	veel
see	sell
aeg	aal
ei	eij
olema	old
see	seda
seal	seal
rehe+alune	reij+alse
otsa	`otsa
ära	ää
lagunema	lagunes
sinna	`sõnna
sein	seena
äärde	ääre
siis	siis
Ants	Ants
ee	e
loopima	`looppind
sinna	`sõnna
vastu	vast
sein	`seina
kõik	kõik
trull	trul’lid
ja	ja
see	ned
trullimine	`trul’limese
käsi+puu	käsi+bud
ja	ja
see	ned
seeme	`siemed
ostma	ostetti
ära	ää
oma	oma
jagu	jäo
jätma	`jät’sid
külvama	külida
jälle	`jälle
seeme	`siemed
minema	läksid
nägema	nää
see	seda
lina+seeme	lina+siemne
õli	eli
ju	ju
hüüdma	`üitti
vist	vist
et	et
poom+õli	puom+eli
või	või
meie	meil
Endel+ki	`Endelgi
viima	viis
siin	siin
ikka	`ikke
üle	üle
setvert	`sitverdi
ja	ja
vahest	vahest
ja	ja
kaks	kaks
ja	ja
müüma	müis
ära	ää
pars	parsil
ju	ju
kuivatama	kuivattasime
ära	ää
ja	ja
hobune	`uostega
tallama	tallattasse
panema	`pan’di
hobune	obusele
vanker	vanger
järele	järele
rehi	reij
all	al
ja	ja
koorem	kuorm
peale	`piale
kas	ks
kivi	kiva
ehk	ehk
või	või
kui	kui
olema	oli
kott	`kot’ta
kott	`kot’tidega
vaat	voat
paljas	pal’las
jalg	jalg
ei	ei
hobune	obuse
jalg	jalg
üksi	üksi
ei	ei
tegema	teind
see	neid
peen	`pieneks
ega	ega
see	seda
asi	`asja
olema	põld
nagu	nagu
nüüd	nüid
nüüd	nüid
olema	oli
siin	siin
ajama	aasid
ee	e
olema	oli
tema	ta
kupar	kuppar
ehk	ehk
mis	mis
tahes	taht
viskama	`viskasid
masin	masinasse
minema	läks
läbi	läbi
seeme	`siemed
tulema	tulid
välja	`väl’la
aga	aga
siis	siis
sina	sa
pidama	pidid
kui	kui
sina	sa
saama	said
peen	`pieneks
pidama	pidid
tuul	tuulega
rehe+alune	reij+alse
värav	värava
all	all
sari	`sarjas
tuulama	`tuulama
see	selleks
olema	oli
kaks	kaks
seltsi	`seltsi
sari	`sarja
peenike	pienikke
sari	sari
ja	ja
jäme	jäme
sari	sari
nüüdne	`nüitse
aeg	aa
inimene	inimsed
enam	enam
ei	ei
tegema	tie
see	seda
ega	ega
laskma	lase
see	seda
tegema	tiha
ka	koa
kes	kiss
veel	viel
elama	elab
lina	linadega
või	vä
ropsima	`ropsisid
ära	ää
masindama	masindasid
ära	ää
kuivatama	kuevattasid
ära	ää
noh	nohh
no	noo
kuulma	kuule
mina	ma
rääkima	`rääksin
nemad	nad
olema	olid
ju	ju
ligu	leos
vesi	vie
sees	sis
olema	olid
ju	ju
lina	linad
auk	`aukkudes
mööda	möda
jõgi	jõe
ääres	`ääres
olema	oli
siin+samas	siin+sammus
meie	meije
jõgi	jõe
ääres	ääres
siin	siin
olema	oli
olema	oli
see	neid
auk	`aukkusi
veel	viel
küll	küll
vana	vana
jõgi	jõe
asemel	asemel
auk	`aukku
panema	`pan’di
ligu	`likku
panema	`pan’di
tema	`talle
siis	siis
mate	`matted
peale	`peale
siis	siis
nemad	nad
ligunema	ligonesid
seal	sial
olema	olid
kivi	kivide
ja	ja
siis	siis
mate	mattette
all	all
nõnda	nõnna
kui	kui
pehme	`pehmeks
minema	läks
võtma	`võt’sid
välja	`väl’la
istutama	istuttasid
ehk	ehk
panema	panid
sina	sa
lade	lademesse
siis	siis
kuivama	`kuivasid
ära	ää
siis	siis
võtma	`võt’sid
siit	siit
köitma	`keitsid
kubu	kubusse
siis	siis
tegema	tie
siit	siit
saama	sai
lina	linu
ega	ega
jõgi	jõgi
jõgi	`jõkke
ei	ei
tohtima	`tohtind
panema	`panna
vesi	vesi
jooksma	`juosis
siis	siis
jõgi	jões
läbi	läbi
ei	ei
tohtima	`tohtind
olema	`olla
kui	kui
olema+ki	oligi
auk	auk
nii	nii
ligi	ligi
et	et
või	või
kui	kui
sina	sa
arvama	`arvasid
et	et
ja	ja
kuiv	kuivaks
jääma	jääb
siis	siis
sina	sa
pidama	pidid
sealt	sialt
kraav	kroavi
kaevama	`kaevama
ja	ja
oma	oma
auk	augu
vesi	vett
täis	täis
laskma	`laskma
ja	ja
jälle	`jälle
kinni	`kinni
matma	`matma
et	et
tema	ta
välja	`väl’la
ei	ei
jooksma	juose
ega	ega
minema	lähe
saama	sai
ju	ju
see	neid
käima	`käija
ühte+puhku	`ühte+`buhku
sedasi	sedasi
vesi	vett
peale	`piale
laskma	`lasmas
meie	meil
olema	oli
tooma	tõid
küla	külast
ju	juo
küla	küla
auk	`aukkudest
minema	läks
ju	juo
jääma	jäid
jõgi	jõe
äärest	äärest
sedasi	sedasi
ei	ei
saama	soand
leotama	`leottada
tooma	tõid
ju	jo
küla	külasse
siia	`siija
Venevere	Venevere
all	all
siin	siin
olema	oli
see	neid
auk	`aukkusi
küll	küll
jälle	`jälle
uus	uuwed
auk	augud
ja	ja
auk	`aukku
vesi	vesi
meie	meil
olema	olid
madal	madalad
põld	põllud
meie	meije
meie	meil
palju	pal’lu
ei	eij
olema	old
meie	meil
olema	oli
ise	`endil
heina+maa	eena+mal
siin	siin
siin	siin
praegust	`paergast
siin	siin
all	all
veel	viel
olema	onn
üks	üks
auk	auk
nägema	näha
ja	ja
siis	siis
olema	onn
see	sie
kraav	kraav
sisse	`sisse
tegema	`tehti
siis	siis
jääma	jäi
just	üst
parajasti	parajas
kraav	kraavi
sisse	`sisse
jälle	`jälle
üks	üks
auk	auk
meie	meil
ei	ei
käima+ki	`käintki
oma	oma
lina	linadega
jõgi	jões
noh	nohh
sina	sa
pidama	pidid
vaatama	`voattama
kui	kui
tema	ta
pehme	`pehmeks
minema	läks
et	et
tema	ta
sündima	`sün’dis
välja	`väl’la
võtma	`võtta
tema	ta
pidama	pidi
nii	nii
pehme	`pehme
olema	olema
ju	juo
no+jah	no+jahh
kuivatama	kuivattasid
ära	ära
masindama	masindasid
saama	said
lina	linu
ropsima	`ropsisid
mina	ma
ei	i
teadma	tia
mina	minul
vist	vist
pidama	piab
praegu	`paergu
veel	viel
kaks	kaks
rops	ropsi
mõõk	`mõekka
ait	`aittas
seal	sial
tugi	toe
vahel	vahel
olema	olema
noh	nohh
ega	ega
meie	meil
suur	suurt
pere	peret
olema	põld
siis	siis
laps	lapsed
kasvama	`kasvid
laps	lapsed
hakkama	`akkasid
ju	ju
jääma	jäid
nõnda	nõnna
kui	kui
see+samune	see+sammune
esimene	esimene
poeg	poeg
saama	sai
kaheksa+teist	kaheksa+deist
aasta	`oastad
vana	vana
üheksa+teist	üheksa+deist
peal	pial
minema	läks
kroonu	kroonusse
vist	vist
jääma	jäi
teine	teene
poiss	poiss
jälle	`jälle
see	sie
mis	miss
nüüd	nüid
olema	onn
see	sie
olema	onn
see	selle
vana	vanema
poeg	poea
järgmine	`järgmine
saama	sai
jälle	`jälle
mis	miss
tema	ta
jaanuar	`jaanuari
kolme+kümnes	kolme+`gümnemal
jah	jahh
saama	sai
üheksa+teist	üheksa+deist
minema	läks
kevade	kevade
ära	ää
siis	siis
kõige	kõige
vana	vanemaks
jääma	jäi
mina	mull
kaks+teist	kahe+deist
aastane	`oastane
poiss	poiss
kodu	koeo
ja	ja
teine	teene
üheksa	üheksa
aastane	`oastane
siis	siis
olema	olid
mina	mu
poeg	`poegade
läbi	läbi
aga	aga
kõik	kõik
saama	said
kroonu	kruonut
ikka	`ikke
katsuma	`katsuda
aga	aga
siis	siis
kolm	kolm
tükk	`tükki
see	nied
olema	onn
teadma	tiada
see	nied
olema	onn
ikka	`ikke
jääma	jäänd
August	Augusti
oma	omale
ja	ja
naine	naene
ja	ja
kaks	kaks
laps	last
ja	ja
nägema	nääd
see	need
viima	`viidi
nüüd	nüid
ära	ää
ja	ja
ja	ja
nüüd	nüid
olema+ki	`ongi
tuul	`tuulde
kaduma	kadunud
et	et
kas	kas
tema	ta
olema	on
surema	surnd
eks	eks
tema	ta
olema	ole
ikka	ikke
surema	surnd
noh	nohh
viima	viisid
ära	ää
jälle	`jälle
leisikas	leesikkasse
saama	sai
panema	`pandud
aga	aga
mis	mis
sina	sa
oma	omale
jätma	`jät’sid
see	seda
ju	ju
tegama	tegid
ise	ise
riie	`riideks
ja	ja
sugema	sugesid
mina	minul
olema	onn
hari	ari
ait	`aittas
praegu	`paergu
mina	ma
ostma	`os’tsin
kohe	kohe
et	et
kui	kui
meie	me
paar	`poari
minema	läksime
see	selle
vana	vana
hari	ari
olema	oli
isa+aegne	isa+`aegne
olema	oli
väga	väga
lühike	löhikse
pii	`piidega
siis	siis
ostma	`os’tsime
uus	uuwe
nüüd	nüid
olema	onn
tema	ta
nii	nii
rooste	`roostes
jälle	`jälle
et	et
ei	ei
sündima	sün’ni
kuskile	`kuskile
enam	enam
olema	põle
tarvis	`tarvis
mina	ma
ikka	`ikke
naerma	naeran
et	et
las	lass
tema	ta
seisma	seesab
inimene	inimestel
vaatama	voadatta
vahest	vahest
noh	nohh
kas	kass
seal	sial
vähe	vähe
saama	sai
käima	`käija
nüüd	nüid
olema	on
see	se
Kotku	Kotku
kaduma	kadund
kas	kass
tema	teda
olema	onn
ehk	ehk
enam	enam
üks	üks
ee	e
hoone	`uone
ase	ase
pidama	piab
ikka	ikke
olema	olem
veel	vil
Jaan	Jaani
tuba	toa
ase	ase
pidama	piab
veel	viel
olema	olema
ikka	`ikke
seal	sial
veel	viel
aga	aga
Mart	Mardi
tuba	tua
ase	ase
pidama	piab
nõnda	nõnna
lage	lage
ju	juo
olema	olema
seal	sial
Kotku	`Kotkus
olema	oli
enne	`enne
kolm	kolm
maja	maea
üks	üks
olema	oli
kohe	kohe
siin	siin
kuusik	kuusikkus
see	sie
Tiina	Tiina
tuba	tuba
Tiina	Tiina
olema	oli
sedasi	sedasi
noh	nohh
isa	isa
jaotama	`jäottas
vana	vana
Peeter	`Pietter
jaotama	`jäottas
nemad	neile
kolm	kolmeks
see	selle
Kotku	Kotku
koht	koha
esiteks	`es’tiks
kui	kui
nemad	nad
ostma	`os’tsid
kui	kui
nemad	nad
Kotku	`Kotku
tulema	tulid
siis	siis
olema	olid
nemad	nad
enne	`enne
ikka	ikk
Kotku	`Kotkus
üks	üks
tuba	tuba
aga	aga
siis	siis
see	sie
vana+mees	vana+mes
Peeter	`Pietter
ära	ää
ostma	`os’tis
see	sie
siis	siis
andma	`an’dis
oma	oma
poeg	`poegele
pool	poole
koht	`kohta
andma	`an’dis
Mart	Mardile
pool	poole
Jaan	Joanile
ja	ja
siis	siis
Tiina	Tiina
see	sie
olema	oli
sant	san’di
kiri	`kirjas
sedasi	sedassi
olema	oli
laps	lapsest
pea	piast
ära	ää
põlema	põlend
enese	enese
kõik	kõik
kael	kael
ja	ja
olema	oli
koos	kuos
siis	siis
ee	e
Tiina	Tiinale
andma	`an’dis
siis	siis
saun	saana
maa	moad
mõõtma	`mõettis
kohe	kohe
laskma	`las’kis
